team_id,researcher_id
0,12
0,47
0,50
0,62
1,16
1,59
2,15
2,65
3,3
3,46
3,50
3,60
4,9
4,30
4,44
4,57
5,10
5,18
6,23
6,41
6,69
7,32
7,53
7,61
7,66
8,25
8,28
8,61
9,1
9,11
9,31
9,49
10,7
10,38
10,48
11,9
11,25
11,29
12,2
12,20
12,50
12,59
13,45
13,66
14,29
14,39
14,56
14,60
15,19
15,41
16,30
16,35
16,36
17,3
17,12
17,56
17,62
18,19
18,25
18,69
19,46
19,58
20,33
20,35
20,44
20,66
21,6
21,18
21,38
21,58
22,2
22,10
22,34
22,59
23,11
23,30
24,22
24,27
24,39
24,51
25,33
25,34
25,42
25,58
26,3
26,37
26,50
26,63
27,21
27,44
27,59
28,7
28,22
28,32
28,54
29,1
29,23
29,46
29,55
30,37
30,44
30,64
31,8
31,25
31,46
32,28
32,50
33,32
33,61
33,68
34,13
34,42
34,45
34,50
35,32
35,44
35,61
36,15
36,53
36,62
37,17
37,58
37,67
38,22
38,24
38,48
38,51
39,46
39,61
40,53
40,57
40,64
40,67
41,0
41,20
41,34
41,52
42,0
42,17
42,69
43,5
43,25
43,52
43,65
44,57
44,69
45,39
45,47
45,54
45,60
46,14
46,64
47,12
47,26
48,3
48,25
48,59
48,69
49,1
49,20
49,33
49,69
50,1
50,41
50,55
51,26
51,40
51,60
52,6
52,22
52,29
53,34
53,45
53,52
54,5
54,17
54,25
55,31
55,52
56,17
56,42
56,43
56,47
57,5
57,9
57,53
57,56
58,2
58,4
58,27
58,65
59,7
59,14
59,15
59,34
60,8
60,25
60,54
61,18
61,19
