time_id,activity_code,required_staff,under_penalty,over_penalty
40,a2,1,1000000.0,5.599776
41,a2,1,1000000.0,5.599776
42,a2,1,1000000.0,5.599776
43,a2,1,1000000.0,5.599776
44,a1,4,0.918488,0.994662
44,a2,1,1000000.0,2.926006
45,a1,4,0.918488,0.994662
45,a2,1,1000000.0,2.926006
46,a1,4,0.918488,0.994662
46,a2,1,1000000.0,2.926006
47,a1,4,0.918488,0.994662
47,a2,1,1000000.0,2.926006
48,a1,4,1.00866,0.804104
48,a2,1,1000000.0,1.73935
49,a1,4,1.00866,0.804104
49,a2,1,1000000.0,1.73935
50,a1,4,1.00866,0.804104
50,a2,1,1000000.0,1.73935
51,a1,4,1.00866,0.804104
51,a2,1,1000000.0,1.73935
52,a1,5,0.833016,0.853368
52,a2,2,1000000.0,2.262879
53,a1,5,0.833016,0.853368
53,a2,2,1000000.0,2.262879
54,a1,5,0.833016,0.853368
54,a2,2,1000000.0,2.262879
55,a1,5,0.833016,0.853368
55,a2,2,1000000.0,2.262879
56,a1,5,0.993131,0.716738
56,a2,2,1000000.0,2.146543
57,a1,5,0.993131,0.716738
57,a2,2,1000000.0,2.146543
58,a1,5,0.993131,0.716738
58,a2,2,1000000.0,2.146543
59,a1,5,0.993131,0.716738
59,a2,2,1000000.0,2.146543
60,a1,5,1.015962,0.698311
60,a2,2,1000000.0,2.450979
61,a1,5,1.015962,0.698311
61,a2,2,1000000.0,2.450979
62,a1,5,1.015962,0.698311
62,a2,2,1000000.0,2.450979
63,a1,5,1.015962,0.698311
63,a2,2,1000000.0,2.450979
64,a2,1,1000000.0,2.917919
65,a2,1,1000000.0,2.917919
66,a2,1,1000000.0,2.917919
67,a2,1,1000000.0,2.917919
72,a2,2,1000000.0,2.201957
73,a2,2,1000000.0,2.201957
74,a2,2,1000000.0,2.201957
75,a2,2,1000000.0,2.201957
76,a2,1,1000000.0,2.206961
77,a2,1,1000000.0,2.206961
78,a2,1,1000000.0,2.206961
79,a2,1,1000000.0,2.206961
