employee_id,time_id,activity_code,cost
0,40,a2,5.599776
0,41,a2,5.599776
0,42,a2,5.599776
0,43,a2,5.599776
0,44,a1,0.994662
0,44,a2,2.926006
0,45,a1,0.994662
0,45,a2,2.926006
0,46,a1,0.994662
0,46,a2,2.926006
0,47,a1,0.994662
0,47,a2,2.926006
0,48,a1,0.804104
0,48,a2,1.73935
0,49,a1,0.804104
0,49,a2,1.73935
0,50,a1,0.804104
0,50,a2,1.73935
0,51,a1,0.804104
0,51,a2,1.73935
0,52,a1,0.853368
0,52,a2,2.262879
0,53,a1,0.853368
0,53,a2,2.262879
0,54,a1,0.853368
0,54,a2,2.262879
0,55,a1,0.853368
0,55,a2,2.262879
0,56,a1,0.716738
0,56,a2,2.146543
0,57,a1,0.716738
0,57,a2,2.146543
0,58,a1,0.716738
0,58,a2,2.146543
0,59,a1,0.716738
0,59,a2,2.146543
0,60,a1,0.698311
0,60,a2,2.450979
0,61,a1,0.698311
0,61,a2,2.450979
0,62,a1,0.698311
0,62,a2,2.450979
0,63,a1,0.698311
0,63,a2,2.450979
0,64,a2,2.917919
0,65,a2,2.917919
0,66,a2,2.917919
0,67,a2,2.917919
0,72,a2,2.201957
0,73,a2,2.201957
0,74,a2,2.201957
0,75,a2,2.201957
0,76,a2,2.206961
0,77,a2,2.206961
0,78,a2,2.206961
0,79,a2,2.206961
1,40,a2,5.599776
1,41,a2,5.599776
1,42,a2,5.599776
1,43,a2,5.599776
1,44,a1,0.994662
1,44,a2,2.926006
1,45,a1,0.994662
1,45,a2,2.926006
1,46,a1,0.994662
1,46,a2,2.926006
1,47,a1,0.994662
1,47,a2,2.926006
1,48,a1,0.804104
1,48,a2,1.73935
1,49,a1,0.804104
1,49,a2,1.73935
1,50,a1,0.804104
1,50,a2,1.73935
1,51,a1,0.804104
1,51,a2,1.73935
1,52,a1,0.853368
1,52,a2,2.262879
1,53,a1,0.853368
1,53,a2,2.262879
1,54,a1,0.853368
1,54,a2,2.262879
1,55,a1,0.853368
1,55,a2,2.262879
1,56,a1,0.716738
1,56,a2,2.146543
1,57,a1,0.716738
1,57,a2,2.146543
1,58,a1,0.716738
1,58,a2,2.146543
1,59,a1,0.716738
1,59,a2,2.146543
1,60,a1,0.698311
1,60,a2,2.450979
1,61,a1,0.698311
1,61,a2,2.450979
1,62,a1,0.698311
1,62,a2,2.450979
1,63,a1,0.698311
1,63,a2,2.450979
1,64,a2,2.917919
1,65,a2,2.917919
1,66,a2,2.917919
1,67,a2,2.917919
1,72,a2,2.201957
1,73,a2,2.201957
1,74,a2,2.201957
1,75,a2,2.201957
1,76,a2,2.206961
1,77,a2,2.206961
1,78,a2,2.206961
1,79,a2,2.206961
2,40,a2,5.599776
2,41,a2,5.599776
2,42,a2,5.599776
2,43,a2,5.599776
2,44,a1,0.994662
2,44,a2,2.926006
2,45,a1,0.994662
2,45,a2,2.926006
2,46,a1,0.994662
2,46,a2,2.926006
2,47,a1,0.994662
2,47,a2,2.926006
2,48,a1,0.804104
2,48,a2,1.73935
2,49,a1,0.804104
2,49,a2,1.73935
2,50,a1,0.804104
2,50,a2,1.73935
2,51,a1,0.804104
2,51,a2,1.73935
2,52,a1,0.853368
