Location_ID,Hangar_1,Hangar_2,Hangar_3
A1,zz03,zz04,zz06
A2,zz04,zz05,zz07
A3,zz01,zz05,zz08
A4,zz01,zz02,zz09
A5,zz02,zz03,zz10
A6,zz02,zz05,zz06
A7,zz01,zz03,zz07
A8,zz02,zz04,zz08
A9,zz03,zz05,zz09
A10,zz01,zz04,zz10
A11,zz08,zz09,zz11
A12,zz09,zz10,zz12
A13,zz06,zz10,zz13
A14,zz06,zz07,zz14
A15,zz07,zz08,zz15
A16,zz07,zz10,zz11
A17,zz06,zz08,zz12
A18,zz07,zz09,zz13
A19,zz08,zz10,zz14
A20,zz06,zz09,zz15
A21,zz01,zz13,zz14
A22,zz02,zz14,zz15
A23,zz03,zz11,zz15
A24,zz04,zz11,zz12
A25,zz05,zz12,zz13
A26,zz01,zz12,zz15
A27,zz02,zz11,zz13
A28,zz03,zz12,zz14
A29,zz04,zz13,zz15
A30,zz05,zz11,zz14
A31,zz01,zz06,zz11
A32,zz02,zz07,zz12
A33,zz03,zz08,zz13
A34,zz04,zz09,zz14
A35,zz05,zz10,zz15
A36,zz18,zz19,zz21
A37,zz19,zz20,zz22
A38,zz16,zz20,zz23
A39,zz16,zz17,zz24
A40,zz17,zz18,zz25
A41,zz17,zz20,zz21
A42,zz16,zz18,zz22
A43,zz17,zz19,zz23
A44,zz18,zz20,zz24
A45,zz16,zz19,zz25
A46,zz23,zz24,zz26
A47,zz24,zz25,zz27
A48,zz21,zz25,zz28
A49,zz21,zz22,zz29
A50,zz22,zz23,zz30
A51,zz22,zz25,zz26
A52,zz21,zz23,zz27
A53,zz22,zz24,zz28
A54,zz23,zz25,zz29
A55,zz21,zz24,zz30
A56,zz16,zz28,zz29
A57,zz17,zz29,zz30
A58,zz18,zz26,zz30
A59,zz19,zz26,zz27
A60,zz20,zz27,zz28
A61,zz16,zz27,zz30
A62,zz17,zz26,zz28
A63,zz18,zz27,zz29
A64,zz19,zz28,zz30
A65,zz20,zz26,zz29
A66,zz16,zz21,zz26
A67,zz17,zz22,zz27
A68,zz18,zz23,zz28
A69,zz18,zz24,zz29
A70,zz20,zz25,zz30
A71,zz33,zz34,zz36
A72,zz34,zz35,zz37
