move_id,move_row,move_col
1,1,1
2,1,2
3,1,3
4,1,4
5,1,5
6,1,6
7,1,7
8,1,8
9,1,9
10,1,10
11,1,11
12,2,1
13,2,2
14,2,3
15,2,4
16,2,5
17,2,6
18,2,7
19,2,8
20,2,9
21,2,10
22,2,11
23,3,1
24,3,2
25,3,3
26,3,4
27,3,5
28,3,6
29,3,7
30,3,8
31,3,9
32,3,10
33,3,11
34,4,1
35,4,2
36,4,3
37,4,4
38,4,5
39,4,6
40,4,7
41,4,8
42,4,9
43,4,10
44,4,11
45,5,1
46,5,2
47,5,3
48,5,4
49,5,5
50,5,6
51,5,7
52,5,8
53,5,9
54,5,10
55,5,11
56,6,1
57,6,2
58,6,3
59,6,4
60,6,5
61,6,6
62,6,7
63,6,8
64,6,9
65,6,10
66,6,11
67,7,1
68,7,2
69,7,3
70,7,4
71,7,5
72,7,6
73,7,7
74,7,8
75,7,9
76,7,10
77,7,11
78,8,1
79,8,2
80,8,3
81,8,4
82,8,5
83,8,6
84,8,7
85,8,8
86,8,9
87,8,10
88,8,11
89,9,1
90,9,2
91,9,3
92,9,4
93,9,5
94,9,6
95,9,7
96,9,8
97,9,9
98,9,10
99,9,11
100,10,1
101,10,2
102,10,3
103,10,4
104,10,5
105,10,6
106,10,7
107,10,8
108,10,9
109,10,10
110,10,11
111,11,1
112,11,2
113,11,3
114,11,4
115,11,5
116,11,6
117,11,7
118,11,8
119,11,9
120,11,10
121,11,11
