item_id,constraint_id,value
1,1,0.9162472414
2,1,2.1305313306
3,1,1.1855368781
4,1,2.1550530193
5,1,3.4720905966
6,1,3.1114984127
7,1,-0.1856769
8,1,-0.49047741
9,1,7.2141509487
10,1,2.1895538918
11,1,0.3960665133
12,1,0.8624132205
13,1,0.7375816782
14,1,0.8891424483
15,1,1.616197392
16,1,2.283885561
17,1,3.6773791923
18,1,5.1227117333
19,1,0.0951592263
20,1,-0.023929911
21,1,-0.67892419
22,1,3.2692128489
23,1,0.4713949513
24,1,6.8766789024
25,1,2.2195468312
26,1,3.3966120877
27,1,1.0940641579
28,1,2.4093646868
29,1,0.6925449499
1,2,0.9096247492
2,2,2.8045947548
3,2,1.2251940348
4,2,2.0914675105
5,2,2.476887905
6,2,4.3959235788
7,2,-0.10978379
8,2,0.4366586988
9,2,7.2496391599
10,2,3.306222748
11,2,1.3737057354
12,2,1.3805475658
13,2,0.3453212267
14,2,1.3436271057
15,2,1.9080783976
16,2,3.3792332469
17,2,3.1155783238
18,2,5.3309357712
19,2,0.204309198
20,2,2.0041834272
21,2,0.6899322527
22,2,4.3206129932
23,2,1.5851898511
24,2,6.0963546642
25,2,2.1890687693
26,2,5.3056860265
27,2,1.2008685623
28,2,2.759747694
29,2,1.1750011911
1,3,-1.1080812
2,3,2.2811315702
3,3,-0.18383992
4,3,0.7511373534
5,3,1.5003933488
6,3,2.4105614345
7,3,-1.80712262
8,3,-1.63364197
9,3,5.3501141356
10,3,1.3935443337
11,3,-1.23985628
12,3,0.357354847
13,3,-1.7507093
14,3,-1.32329764
15,3,-0.13355741
16,3,1.0157630111
17,3,2.1711077318
18,3,2.3755137147
19,3,-0.75904961
20,3,-0.034447179
21,3,-1.27551532
22,3,2.7598740589
23,3,-0.9247555
24,3,5.23612414
25,3,1.1270391287
26,3,4.2210698984
27,3,-0.77267215
28,3,2.8573727236
29,3,-0.90835244
1,4,-0.79508594
2,4,3.2285751036
3,4,2.0700434576
4,4,3.2944471961
5,4,2.8665488746
6,4,3.8618352537
7,4,-0.290047
8,4,0.4250404436
9,4,7.4558838223
10,4,2.2853805315
11,4,1.8364666452
12,4,2.2425595978
13,4,1.2268146033
14,4,0.8637313274
15,4,0.5170620256
16,4,4.4743426182
17,4,4.6385259666
18,4,5.6121471602
19,4,-0.48141931
20,4,1.3648516697
21,4,-0.15680369
22,4,4.6749513131
23,4,1.0043938011
24,4,6.7671616115
25,4,3.1704770179
26,4,5.1599354872
27,4,0.2132571176
28,4,3.6528896705
29,4,0.5550305329
1,5,-0.60043288
2,5,2.7685425595
3,5,1.3911882278
4,5,2.6196567611
5,5,3.3539186244
6,5,2.807090882
7,5,-0.32371398
8,5,-0.47655586
9,5,7.0208634451
10,5,2.1782424976
11,5,0.0264268342
12,5,0.8695513812
13,5,0.5030449173
14,5,1.6613888438
15,5,0.4700427932
16,5,2.7553722187
17,5,3.5628465329
18,5,4.1192974723
19,5,-0.15638844
20,5,1.538637455
21,5,-0.20603243
22,5,2.7242701604
23,5,0.8814049336
24,5,6.4293056538
25,5,1.2986685513
26,5,5.6850080609
27,5,-0.40233199
28,5,2.5110278446
29,5,-0.36072592
1,6,0.7368394616
2,6,3.0109251607
3,6,2.2943224061
4,6,1.7024894992
12,6,0.7266926273
15,6,2.7661804744
16,6,4.3073714038
17,6,4.887045269
19,6,0.8436477786
20,6,1.5883587704
21,6,0.185466702
22,6,3.8123149885
24,6,6.2078573846
25,6,1.994841291
26,6,5.7206940465
27,6,0.7971466823
28,6,2.1389006957
29,6,1.805581591
1,7,1.433145695
2,7,3.4982516379
3,7,1.9831663472
4,7,2.8990719571
5,7,3.0941230891
6,7,5.0920837922
7,7,0.4406772569
8,7,0.3205844907
9,7,7.7508382693
10,7,3.429270948
11,7,0.5858705323
12,7,1.6146045127
13,7,0.668093645
14,7,2.1878107327
15,7,0.6321225936
16,7,3.1160868287
17,7,4.2265295385
18,7,3.5094648679
19,7,0.988259821
20,7,1.0559376908
21,7,0.2500074857
22,7,4.4939512331
23,7,0.998393034
24,7,7.1769092843
25,7,3.4270932733
26,7,5.3700505677
27,7,0.5370225273
28,7,3.0783346484
29,7,-0.083771437
1,8,-0.73264004
2,8,1.4686596068
3,8,0.9706432464
4,8,1.6566916973
5,8,2.2674512331
6,8,2.7676773731
7,8,-0.27419497
8,8,-0.60106643
9,8,6.4931594972
10,8,2.0318054648
11,8,0.3517377793
12,8,1.4722088262
13,8,0.6060291437
14,8,0.5321728843
15,8,0.7894999864
16,8,3.0183167724
17,8,3.1998087123
18,8,2.8825835192
19,8,-1.03589124
20,8,1.019665951
21,8,-0.31845434
22,8,3.5435159236
23,8,0.6304684205
24,8,5.9897584495
25,8,2.921012915
26,8,5.4566790914
27,8,-0.30780767
28,8,1.4299939958
29,8,-0.97216674
1,9,0.9381571857
2,9,2.9905837011
3,9,1.2135625958
4,9,2.8507693747
5,9,3.1160360239
6,9,4.7560776908
7,9,0.0745684668
