cell_id,row,col,initial_state
1,1,1,1
2,1,2,0
3,1,3,0
4,1,4,0
5,1,5,0
6,1,6,0
7,1,7,0
8,1,8,0
9,2,1,0
10,2,2,0
11,2,3,0
12,2,4,0
13,2,5,0
14,2,6,0
15,2,7,0
16,2,8,0
17,3,1,0
18,3,2,0
19,3,3,0
20,3,4,0
21,3,5,0
22,3,6,0
23,3,7,0
24,3,8,0
25,4,1,0
26,4,2,0
27,4,3,0
28,4,4,0
29,4,5,0
30,4,6,0
31,4,7,0
32,4,8,0
33,5,1,0
34,5,2,0
35,5,3,0
36,5,4,0
37,5,5,0
38,5,6,0
39,5,7,0
40,5,8,0
41,6,1,0
42,6,2,0
43,6,3,0
44,6,4,0
45,6,5,0
46,6,6,0
47,6,7,0
48,6,8,0
49,7,1,0
50,7,2,0
51,7,3,0
52,7,4,0
53,7,5,0
54,7,6,0
55,7,7,0
56,7,8,0
57,8,1,0
58,8,2,0
59,8,3,0
60,8,4,0
61,8,5,0
62,8,6,0
63,8,7,0
64,8,8,0
