course_id,course_name,lectures,min_days
0,AntCul,2,2
1,ArcCla1,3,3
2,ArcCla2,2,2
3,ArcClaCS,2,2
4,ArcCriMed,2,2
5,ArcMedCS,2,2
6,ArcStoArtMus,2,2
7,ArcVicOriAnt,3,3
8,Archiv,3,3
9,ArchivCS,3,3
10,BioarcCS,2,2
11,Cartog,3,3
12,ChiResCS,2,2
13,Codico,3,3
14,CodicoCS,2,2
15,EcoAzi,3,3
16,EleInfSciCatBenCulM2,2,2
17,EleInfSciCatBenCulM3,3,3
18,EpiLat,3,3
19,Esteti,3,3
20,EtrAntIta,3,3
21,FilCla2,3,3
22,FilTeo,3,3
23,FonSoc,3,3
24,Geo1,3,3
25,GeoTur,3,3
26,Glotto,3,3
27,InfDoc,3,3
28,ItaScr,2,2
29,LabScr,1,0
30,LegBenCul2,2,2
31,LetCriAnt,3,3
32,LinGen,3,3
33,LinGreA,2,2
34,LinIta,3,3
35,LinLatA,2,2
36,LinLatB,3,3
37,LinLetGre1,3,3
38,LinLetLat2,3,3
39,LinLetLatCS,2,2
40,LogFilMat,2,2
41,MatCarCosResEdiSto,3,3
42,MatTecAppArcM3,2,2
43,MetRicStoArt,2,2
44,NumismCS,2,2
45,OrientCS,2,2
46,PalLat,3,3
47,Paleoa,3,3
48,PapiroCS,2,2
49,ProMedCS,3,3
50,PsiTur,3,3
51,SocArt,3,3
52,Sociol1,3,3
53,StoAntStaItaCS,2,2
54,StoArc,3,3
55,StoArcCon,2,2
56,StoArcMed,2,2
57,StoArt,3,3
58,StoArtCon2CS,2,2
59,StoArtMod2CS,2,2
60,StoBib,3,3
61,StoColIstMus,2,2
62,StoConCS,2,2
63,StoCriArt,2,2
64,StoCriCin,2,2
65,StoDisGra,2,2
66,StoFilCS,2,2
67,StoFilMedCS,2,2
68,StoFriCS,2,2
69,StoGre,3,3
70,StoLibSta,3,3
71,StoLibStaCSM1,2,2
72,StoLibStaCSM2,2,2
73,StoLinItaCS,2,2
74,StoMed2,3,3
75,StoMod2,3,3
76,StoModCS,2,2
77,StoMus,2,2
78,StoProArtCulMatMed,2,2
79,StoRes,3,3
80,StoRom,2,2
81,StoRomCS,2,2
82,StoTecArtCS,2,2
83,StoTecArtM12,3,3
84,StoTecArtM3,3,3
85,StoTecFot,2,2
86,TedUma,3,3
87,TopRilMonAnt,3,3
