course_id,slot_label
0,D5P2
0,D5P3
0,D5P4
0,D5P5
1,D5P2
1,D5P3
1,D5P4
1,D5P5
2,D0P0
2,D0P1
2,D0P2
2,D4P3
2,D4P4
2,D4P5
2,D5P0
2,D5P1
2,D5P2
2,D5P3
2,D5P4
2,D5P5
3,D0P0
3,D0P1
3,D0P2
3,D4P3
3,D4P4
3,D4P5
3,D5P0
3,D5P1
3,D5P2
3,D5P3
3,D5P4
3,D5P5
4,D0P0
4,D0P1
4,D0P2
4,D2P0
4,D2P1
4,D2P2
4,D2P3
4,D2P4
4,D2P5
4,D4P0
4,D4P1
4,D4P2
4,D4P3
4,D4P4
4,D4P5
4,D5P0
4,D5P1
4,D5P2
4,D5P3
4,D5P4
4,D5P5
5,D0P0
5,D0P1
5,D0P2
5,D2P0
5,D2P1
5,D2P2
5,D2P3
5,D2P4
5,D2P5
5,D4P0
5,D4P1
5,D4P2
5,D4P3
5,D4P4
5,D4P5
5,D5P0
5,D5P1
5,D5P2
5,D5P3
5,D5P4
5,D5P5
6,D5P2
6,D5P3
6,D5P4
6,D5P5
7,D0P0
7,D0P1
7,D0P2
7,D0P5
7,D1P0
7,D1P1
7,D1P2
7,D1P5
7,D2P0
7,D2P1
7,D2P2
7,D2P5
7,D3P0
7,D3P1
7,D3P2
7,D3P5
7,D4P0
7,D4P1
7,D4P2
7,D4P5
7,D5P0
7,D5P1
7,D5P2
7,D5P3
7,D5P4
7,D5P5
8,D0P0
8,D0P1
8,D0P2
8,D0P3
8,D0P4
8,D0P5
8,D1P3
8,D1P4
8,D1P5
8,D2P3
8,D2P4
8,D2P5
8,D3P3
8,D3P4
8,D3P5
8,D4P3
8,D4P4
8,D4P5
8,D5P0
8,D5P1
8,D5P2
8,D5P3
8,D5P4
8,D5P5
9,D0P0
9,D0P1
9,D0P2
9,D0P3
9,D0P4
9,D0P5
9,D1P0
9,D1P1
9,D1P2
9,D2P0
9,D2P1
9,D2P2
9,D3P0
9,D3P1
9,D3P2
9,D4P0
9,D4P1
9,D4P2
9,D5P0
9,D5P1
9,D5P2
9,D5P3
9,D5P4
9,D5P5
10,D0P0
10,D0P1
10,D0P2
10,D1P0
10,D1P1
10,D1P2
10,D2P3
10,D2P4
10,D2P5
10,D3P0
10,D3P1
10,D3P2
10,D3P3
10,D3P4
10,D3P5
10,D4P0
10,D4P1
10,D4P2
10,D4P3
10,D4P4
10,D4P5
10,D5P0
10,D5P1
10,D5P2
10,D5P3
10,D5P4
10,D5P5
11,D5P2
11,D5P3
11,D5P4
11,D5P5
12,D0P0
12,D0P1
12,D0P2
12,D0P3
12,D0P4
12,D0P5
12,D1P0
12,D1P1
12,D1P2
