curriculum_id,course_ids
0,"24,32,35"
1,"8,28,34"
2,"13,28,34"
3,"28,34,46"
4,"28,34,70"
5,"11,19,29,77"
6,"24,32,33,35"
7,"1,26,28,37,69"
8,"21,31,38,80"
9,"1,28,37,69,80"
10,"18,26,31"
11,"18,26,87"
12,"18,21,31"
13,"18,21,87"
14,"0,23,24,32,35"
15,"0,28,52"
16,"34,52,77"
17,"0,34,77"
18,"34,52,64"
19,"0,34,64"
20,"8,28,46"
21,"74,75,80"
22,"31,74,75"
23,"0,23,31"
24,"4,19,28"
25,"0,4,23,28"
26,"24,36,56,83"
27,"24,36,56,84"
28,"24,36,78,83"
29,"6,24,36,83"
30,"6,24,36,84"
31,"16,43,63,79"
32,"17,43,63,79"
33,"16,61,63,79"
34,"17,61,63,79"
35,"16,63,65,79"
36,"17,63,65,79"
37,"6,16,63,79"
38,"6,17,63,79"
39,"41,51,55,64"
40,"41,51,55,85"
41,"41,51,55,77"
42,"19,41,55,64"
43,"19,41,55,85"
44,"19,41,55,77"
45,"1,24,36,47,69"
46,"2,33,80,87"
47,"4,33,80,87"
48,"7,33,80,87"
49,"20,26,31,41"
50,"0,20,26,41"
51,"20,27,31,41"
52,"0,20,27,41"
53,"20,26,31,42"
54,"0,20,26,42"
55,"20,27,31,42"
56,"0,20,27,42"
57,"8,24,36"
58,"27,46,77"
59,"27,46,64"
60,"27,46,85"
61,"37,46,77"
62,"37,46,64"
63,"37,46,85"
64,"46,70,77"
65,"46,64,70"
66,"46,70,85"
67,"13,27,37"
68,"13,27,70"
69,"13,27,60"
70,"27,37,70"
71,"27,37,60"
72,"27,60,70"
73,"13,37,70"
74,"13,60,70"
75,"37,60,70"
76,"0,27,50,52,54,80"
77,"15,25,30,61,85"
78,"0,27,50,52,57,74"
79,"0,27,50,52,57,75"
80,"15,25,30,61,74,85"
81,"15,25,30,61,75,85"
82,"19,22,40,69"
83,"19,22,40,80"
84,"19,22,40,74"
85,"8,64,67,73,76"
86,"8,64,67,68,73"
87,"8,62,64,67,73"
88,"8,53,64,67,73"
89,"46,64,67,73,76"
90,"46,64,67,68,73"
91,"46,62,64,67,73"
92,"46,53,64,67,73"
93,"64,67,70,73,76"
94,"64,67,68,70,73"
95,"62,64,67,70,73"
96,"53,64,67,70,73"
97,"8,64,66,73,76"
98,"8,64,66,68,73"
99,"8,62,64,66,73"
100,"8,53,64,66,73"
101,"46,64,66,73,76"
102,"46,64,66,68,73"
103,"46,62,64,66,73"
104,"46,53,64,66,73"
105,"64,66,70,73,76"
106,"64,66,68,70,73"
107,"62,64,66,70,73"
108,"53,64,66,70,73"
109,38
110,"18,21,38,46,81"
111,"18,31,38,46,81"
112,"18,38,39,46,81"
113,"18,21,31,38,46,81"
114,"18,21,38,39,46,81"
115,"18,31,38,39,46,81"
116,"39,48,67"
117,"39,48,86"
118,"31,48,67"
119,"31,48,86"
120,"2,7,20,21,38,80"
121,"2,7,21,38,80,87"
122,"2,20,21,38,80,87"
123,"7,20,21,38,80,87"
124,"2,7,20,26,38,80"
125,"2,7,26,38,80,87"
126,"2,20,26,38,80,87"
127,"7,20,26,38,80,87"
128,"48,81,86"
129,"6,31,53,62,64,66,67,68,77,80"
130,"0,52,53,55,56,61,68,76,78"
131,"3,5,10,20,44,45,48,49,81"
132,10
133,"9,30,71,72"
134,"9,14,30"
135,"14,30,71,72"
136,"9,71,72"
137,"9,48"
138,"9,12"
139,"9,14"
140,"14,71,72"
141,"14,48"
142,"12,14"
143,"48,71,72"
144,"12,71,72"
145,"12,48"
