course_id,capacity,penalty_weight
0,28,2
0,30,10
0,40,6
0,46,14
0,60,5
0,65,65
0,130,40
1,28,2
1,30,1
6,28,2
6,30,10
6,40,6
6,46,14
8,28,2
8,30,6
15,28,2
15,30,10
15,40,6
15,46,14
15,60,5
15,65,39
19,28,2
19,30,10
19,40,6
19,46,14
19,60,5
19,65,9
22,28,2
22,30,3
23,28,2
23,30,10
23,40,1
24,28,2
24,30,10
24,40,6
24,46,14
24,60,5
24,65,65
24,130,9
25,28,2
25,30,10
25,40,6
25,46,14
25,60,5
25,65,39
27,28,2
27,30,10
27,40,6
27,46,14
27,60,5
27,65,56
28,28,2
28,30,10
28,40,6
28,46,14
28,60,5
28,65,2
30,28,2
30,30,10
30,40,6
30,46,14
30,60,5
30,65,45
31,28,2
31,30,10
31,40,6
31,46,14
31,60,5
31,65,4
32,28,2
32,30,10
32,40,6
32,46,7
34,28,2
34,30,2
35,28,2
35,30,10
35,40,6
35,46,7
36,28,2
36,30,10
36,40,6
36,46,14
36,60,5
36,65,21
40,28,2
40,30,3
41,28,2
41,30,10
41,40,6
41,46,10
46,28,2
46,30,10
46,40,5
50,28,2
50,30,10
50,40,6
50,46,14
50,60,5
50,65,39
52,28,2
52,30,10
52,40,6
52,46,14
52,60,5
52,65,65
52,130,13
55,28,2
55,30,10
55,40,6
55,46,14
55,60,3
56,28,2
56,30,3
57,28,2
57,30,10
57,40,6
57,46,14
57,60,5
57,65,25
61,28,2
61,30,10
61,40,6
61,46,14
61,60,5
61,65,65
61,130,1
63,28,2
63,30,10
63,40,6
63,46,8
64,28,2
64,30,10
64,40,6
64,46,14
64,60,5
69,28,2
69,30,9
74,28,2
74,30,10
74,40,6
74,46,14
74,60,5
74,65,50
75,28,2
75,30,10
75,40,6
75,46,14
75,60,5
75,65,39
77,28,2
77,30,10
77,40,6
77,46,5
78,28,2
78,30,3
79,28,2
79,30,10
79,40,6
79,46,2
80,28,2
80,30,10
80,40,6
80,46,14
80,60,5
80,65,11
83,28,2
83,30,6
85,28,2
85,30,10
85,40,6
85,46,14
85,60,5
85,65,61
87,28,1
