variant_id,checkpoint_id,denominator,rhs,sense_id
0,0,230.0,230.0,1
0,1,198.0,198.0,1
0,2,199.0,199.0,1
0,3,195.0,195.0,1
0,4,190.0,190.0,1
0,5,206.0,206.0,1
0,6,169.0,169.0,1
0,7,169.0,169.0,1
0,8,150.0,150.0,1
0,9,134.0,134.0,1
0,10,155.0,155.0,1
0,11,155.0,155.0,1
0,12,138.0,138.0,1
0,13,136.0,136.0,1
0,14,126.0,126.0,1
0,15,135.0,135.0,1
0,16,138.0,138.0,1
0,17,136.0,136.0,1
0,18,138.0,138.0,1
0,19,132.0,132.0,1
0,20,120.0,120.0,1
0,21,114.0,114.0,1
0,22,119.0,119.0,1
0,23,123.0,123.0,1
0,24,111.0,111.0,1
0,25,33.0,33.0,1
0,26,33.0,33.0,1
1,0,220.0,220.0,1
1,1,179.0,179.0,1
1,2,180.0,180.0,1
1,3,187.0,187.0,1
1,4,188.0,188.0,1
1,5,184.0,184.0,1
1,6,160.0,160.0,1
1,7,160.0,160.0,1
1,8,130.0,130.0,1
1,9,135.0,135.0,1
1,10,139.0,139.0,1
1,11,139.0,139.0,1
1,12,140.0,140.0,1
1,13,135.0,135.0,1
1,14,134.0,134.0,1
1,15,123.0,123.0,1
1,16,121.0,121.0,1
1,17,126.0,126.0,1
1,18,117.0,117.0,1
1,19,120.0,120.0,1
1,20,115.0,115.0,1
1,21,116.0,116.0,1
1,22,115.0,115.0,1
1,23,109.0,109.0,1
1,24,98.0,98.0,1
1,25,17.0,17.0,1
1,26,17.0,17.0,1
2,0,220.0,220.0,1
2,1,180.0,180.0,1
2,2,179.0,179.0,1
2,3,180.0,180.0,1
2,4,183.0,183.0,1
2,5,180.0,180.0,1
2,6,161.0,161.0,1
2,7,161.0,161.0,1
2,8,140.0,140.0,1
2,9,120.0,120.0,1
2,10,140.0,140.0,1
2,11,140.0,140.0,1
2,12,118.0,118.0,1
2,13,120.0,120.0,1
2,14,114.0,114.0,1
2,15,120.0,120.0,1
2,16,121.0,121.0,1
2,17,120.0,120.0,1
2,18,115.0,115.0,1
2,19,120.0,120.0,1
2,20,110.0,110.0,1
2,21,100.0,100.0,1
2,22,97.0,97.0,1
2,23,105.0,105.0,1
2,24,99.0,99.0,1
2,25,20.0,20.0,1
2,26,20.0,20.0,1
3,0,90.0,90.0,1
3,1,84.0,84.0,1
3,2,80.0,80.0,1
3,3,60.0,60.0,1
3,4,72.0,72.0,1
3,5,84.0,84.0,1
3,6,80.0,80.0,1
3,7,80.0,80.0,1
3,8,60.0,60.0,1
3,9,55.0,55.0,1
3,10,46.0,46.0,1
3,11,46.0,46.0,1
3,12,56.0,56.0,1
3,13,53.0,53.0,1
3,14,57.0,57.0,1
3,15,55.0,55.0,1
3,16,58.0,58.0,1
3,17,54.0,54.0,1
3,18,51.0,51.0,1
3,19,44.0,44.0,1
3,20,48.0,48.0,1
3,21,47.0,47.0,1
3,22,43.0,43.0,1
3,23,45.0,45.0,1
3,24,48.0,48.0,1
3,25,12.0,12.0,1
3,26,12.0,12.0,1
4,0,92.0,92.0,1
4,1,72.0,72.0,1
4,2,67.0,67.0,1
4,3,56.0,56.0,1
4,4,60.0,60.0,1
4,5,75.0,75.0,1
4,6,71.0,71.0,1
4,7,71.0,71.0,1
4,8,45.0,45.0,1
4,9,50.0,50.0,1
4,10,35.0,35.0,1
4,11,35.0,35.0,1
4,12,48.0,48.0,1
4,13,48.0,48.0,1
4,14,45.0,45.0,1
4,15,50.0,50.0,1
4,16,42.0,42.0,1
4,17,46.0,46.0,1
4,18,44.0,44.0,1
4,19,47.0,47.0,1
4,20,47.0,47.0,1
4,21,34.0,34.0,1
4,22,42.0,42.0,1
4,23,41.0,41.0,1
4,24,33.0,33.0,1
4,25,1.0,0.15,0
4,26,1.0,0.15,0
5,0,164.0,164.0,1
5,1,130.0,130.0,1
5,2,132.0,132.0,1
5,3,108.0,108.0,1
5,4,93.0,93.0,1
5,5,131.0,131.0,1
5,6,128.0,128.0,1
5,7,128.0,128.0,1
5,8,60.0,60.0,1
5,9,88.0,88.0,1
5,10,84.0,84.0,1
5,11,84.0,84.0,1
5,12,87.0,87.0,1
5,13,93.0,93.0,1
5,14,84.0,84.0,1
5,15,84.0,84.0,1
5,16,91.0,91.0,1
5,17,85.0,85.0,1
5,18,82.0,82.0,1
5,19,77.0,77.0,1
5,20,72.0,72.0,1
5,21,84.0,84.0,1
5,22,82.0,82.0,1
5,23,72.0,72.0,1
5,24,69.0,69.0,1
5,25,12.0,12.0,1
5,26,12.0,12.0,1
6,0,5.0,5.0,1
6,1,10.0,10.0,1
6,2,12.0,12.0,1
6,3,12.0,12.0,1
6,4,14.0,14.0,1
6,5,12.0,12.0,1
6,6,5.0,5.0,1
6,7,5.0,5.0,1
6,8,10.0,10.0,1
6,9,7.0,7.0,1
6,10,7.0,7.0,1
6,11,7.0,7.0,1
6,12,7.0,7.0,1
6,13,7.0,7.0,1
6,14,6.0,6.0,1
6,15,7.0,7.0,1
6,16,8.0,8.0,1
6,17,7.0,7.0,1
6,18,5.0,5.0,1
6,19,5.0,5.0,1
6,20,4.0,4.0,1
6,21,4.0,4.0,1
6,22,4.0,4.0,1
6,23,6.0,6.0,1
6,24,5.0,5.0,1
6,25,1.0,0.15,0
6,26,1.0,0.15,0
