variant_id,checkpoint_id,operation_id,station_id,coefficient
0,0,17,0,2100.0
0,0,44,0,2100.0
0,0,76,0,6300.0
0,0,77,0,10500.0
0,0,86,0,12600.0
0,0,100,0,63000.0
0,0,155,0,2100.0
0,0,201,0,2100.0
0,0,205,0,8400.0
0,0,213,0,2100.0
0,0,311,0,4200.0
0,0,317,0,2100.0
0,0,318,0,6300.0
0,0,323,0,2100.0
0,0,336,0,21000.0
0,0,337,0,6300.0
0,0,344,0,16800.0
0,0,347,0,4200.0
0,0,353,0,14700.0
0,0,365,0,2100.0
0,0,388,0,2100.0
0,0,389,0,2100.0
0,0,390,0,2100.0
0,0,391,0,2100.0
0,0,392,0,8400.0
0,0,393,0,2100.0
0,0,397,0,2100.0
0,0,399,0,2100.0
0,0,401,0,6300.0
0,0,404,0,25200.0
0,0,405,0,2100.0
0,0,454,0,2100.0
0,0,470,0,2100.0
0,0,547,0,2100.0
0,0,548,0,2100.0
0,0,549,0,8400.0
0,0,550,0,4200.0
0,1,13,0,3450.0
0,1,17,0,1150.0
0,1,19,0,1150.0
0,1,31,0,1150.0
0,1,33,0,1150.0
0,1,74,0,51750.0
0,1,79,0,1150.0
0,1,80,0,1150.0
0,1,99,0,2300.0
0,1,111,0,1150.0
0,1,159,0,1150.0
0,1,298,0,2300.0
0,1,309,0,1150.0
0,1,310,0,1150.0
0,1,311,0,13800.0
0,1,312,0,1150.0
0,1,313,0,1150.0
0,1,314,0,2300.0
0,1,315,0,1150.0
0,1,316,0,1150.0
0,1,317,0,1150.0
0,1,318,0,3450.0
0,1,319,0,4600.0
0,1,320,0,4600.0
0,1,321,0,1150.0
0,1,322,0,1150.0
0,1,323,0,1150.0
0,1,324,0,1150.0
0,1,325,0,1150.0
0,1,326,0,1150.0
0,1,327,0,2300.0
0,1,328,0,2300.0
0,1,329,0,1150.0
0,1,330,0,1150.0
0,1,331,0,1150.0
0,1,332,0,1150.0
0,1,333,0,1150.0
0,1,334,0,1150.0
0,1,335,0,2300.0
0,1,336,0,14950.0
0,1,337,0,1150.0
0,1,338,0,16100.0
0,1,339,0,1150.0
0,1,340,0,3450.0
0,1,341,0,1150.0
0,1,342,0,1150.0
0,1,343,0,2300.0
0,1,344,0,3450.0
0,1,345,0,1150.0
0,1,346,0,9200.0
0,1,347,0,8050.0
0,1,348,0,5750.0
0,1,349,0,1150.0
0,1,350,0,4600.0
0,1,351,0,1150.0
0,1,352,0,1150.0
0,1,353,0,9200.0
0,1,354,0,5750.0
0,1,355,0,3450.0
0,1,356,0,1150.0
0,1,357,0,1150.0
0,1,358,0,1150.0
0,1,359,0,1150.0
0,1,360,0,2300.0
0,1,361,0,1150.0
0,1,362,0,1150.0
0,1,364,0,1150.0
0,1,365,0,1150.0
0,1,368,0,1150.0
0,1,369,0,1150.0
0,1,370,0,1150.0
0,1,371,0,1150.0
0,1,372,0,1150.0
0,1,373,0,1150.0
0,1,375,0,1150.0
0,1,376,0,1150.0
0,1,377,0,1150.0
0,1,378,0,1150.0
0,1,379,0,1150.0
0,1,380,0,1150.0
0,1,381,0,1150.0
0,1,382,0,1150.0
0,2,13,0,3435.0
0,2,17,0,1145.0
0,2,19,0,1145.0
0,2,31,0,1145.0
0,2,33,0,1145.0
0,2,74,0,51525.0
0,2,79,0,1145.0
0,2,80,0,1145.0
0,2,99,0,2290.0
0,2,111,0,1145.0
0,2,159,0,1145.0
0,2,298,0,2290.0
0,2,309,0,1145.0
0,2,310,0,1145.0
0,2,311,0,13740.0
0,2,312,0,1145.0
0,2,313,0,1145.0
0,2,314,0,2290.0
0,2,315,0,1145.0
0,2,316,0,1145.0
0,2,317,0,1145.0
0,2,318,0,3435.0
0,2,319,0,4580.0
0,2,320,0,4580.0
0,2,321,0,1145.0
0,2,322,0,1145.0
0,2,323,0,1145.0
0,2,324,0,1145.0
0,2,325,0,1145.0
0,2,326,0,1145.0
0,2,327,0,2290.0
0,2,328,0,2290.0
0,2,329,0,1145.0
0,2,330,0,1145.0
0,2,331,0,1145.0
0,2,332,0,1145.0
0,2,333,0,1145.0
0,2,334,0,1145.0
0,2,335,0,2290.0
0,2,336,0,14885.0
0,2,337,0,1145.0
0,2,338,0,16030.0
0,2,339,0,1145.0
0,2,340,0,3435.0
0,2,341,0,1145.0
0,2,342,0,1145.0
0,2,343,0,2290.0
0,2,344,0,3435.0
0,2,345,0,1145.0
0,2,346,0,9160.0
0,2,347,0,8015.0
0,2,348,0,5725.0
0,2,349,0,1145.0
0,2,350,0,4580.0
0,2,351,0,1145.0
0,2,352,0,1145.0
0,2,353,0,9160.0
0,2,354,0,5725.0
0,2,355,0,3435.0
0,2,356,0,1145.0
0,2,357,0,1145.0
0,2,358,0,1145.0
0,2,359,0,1145.0
0,2,360,0,2290.0
0,2,361,0,1145.0
0,2,362,0,1145.0
0,2,364,0,1145.0
0,2,365,0,1145.0
0,2,368,0,1145.0
0,2,369,0,1145.0
0,2,370,0,1145.0
0,2,371,0,1145.0
0,2,372,0,1145.0
0,2,373,0,1145.0
0,2,375,0,1145.0
