C0001,2.47
C0002,6.49
C0003,7.55
C0004,6.38
C0005,6.84
C0006,6.96
C0007,6.42
C0008,6.12
C0009,7.3
C0010,6.12
C0011,7.82
C0012,6.03
C0013,6.45
C0014,6.46
C0015,6.18
C0016,2.57
C0017,7.99
C0018,7.22
C0019,7.15
C0020,6.28
C0021,6.87
C0022,6.04
C0023,7.59
C0024,7.84
C0025,6.28
C0026,7.82
C0027,6.14
C0028,6.27
C0029,6.14
C0030,2.87
C0031,7.09
C0032,6.23
C0033,7.34
C0034,7.27
C0035,7.79
C0036,7.72
C0037,6.91
C0038,6.64
C0039,6.81
C0040,7.69
C0041,7.15
C0042,7.23
C0043,6.74
C0044,2.29
C0045,7.68
C0046,7.63
C0047,6.11
C0048,7.83
C0049,7.27
C0050,7.96
C0051,6.9
C0052,6.13
C0053,7.99
C0054,7.9
C0055,6.54
C0056,7.46
C0057,7.94
C0058,6.41
C0059,2.94
C0060,7.45
C0061,7.01
C0062,7.86
C0063,7.25
C0064,7.24
C0065,7.99
C0066,6.66
C0067,7.58
C0068,7.37
C0069,6.78
C0070,6.6
C0071,6.3
C0072,7.07
C0073,7.96
C0074,2.94
C0075,7.65
C0076,7.75
C0077,7.5
C0078,7.34
C0079,6.96
C0080,6.73
C0081,7.74
C0082,6.95
C0083,6.1
C0084,6.63
C0085,7.71
C0086,6.48
C0087,7.5
C0088,6.92
C0089,7.54
C0090,6.37
C0091,6.47
C0092,7.81
C0093,7.91
C0094,7.87
C0095,1.35
C0096,7.58
C0097,7.58
C0098,7.78
C0099,7.87
C0100,6.7
C0101,7.66
C0102,7.61
C0103,7.16
C0104,7.72
C0105,6.87
C0106,6.52
C0107,6.56
C0108,7.37
C0109,6.39
C0110,6.4
C0111,1.46
C0112,7.06
C0113,6.69
C0114,7.02
C0115,6.69
C0116,7.66
C0117,6.51
C0118,6.37
C0119,6.51
C0120,7.93
C0121,6.36
C0122,6.61
C0123,7.06
C0124,6.29
C0125,7.66
C0126,1.29
C0127,6.19
C0128,7.41
C0129,6.54
C0130,6.64
C0131,6.85
C0132,7.57
C0133,6.17
C0134,7.37
C0135,8.0
C0136,7.57
C0137,6.29
C0138,6.4
C0139,7.36
C0140,7.1
C0141,7.37
C0142,7.7
C0143,7.16
C0144,1.46
C0145,7.87
C0146,6.97
C0147,6.19
C0148,7.59
C0149,7.79
C0150,6.57
C0151,7.66
C0152,6.08
C0153,6.98
C0154,7.81
C0155,7.52
C0156,6.64
C0157,7.91
C0158,7.57
C0159,6.66
C0160,6.6
C0161,6.77
C0162,7.47
C0163,6.49
C0164,7.55
C0165,6.38
C0166,6.84
C0167,6.96
C0168,6.42
C0169,6.12
C0170,7.3
C0171,6.12
C0172,7.82
C0173,6.03
C0174,6.45
C0175,6.46
C0176,6.18
C0177,9.0
C0178,7.57
C0179,7.99
C0180,7.22
C0181,7.15
C0182,6.28
C0183,6.87
C0184,6.04
C0185,7.59
C0186,7.84
C0187,6.28
C0188,7.82
C0189,6.14
C0190,6.27
C0191,6.14
C0192,9.0
C0193,7.87
C0194,7.09
C0195,6.23
C0196,7.34
C0197,7.27
C0198,7.79
C0199,7.72
C0200,6.91
C0201,6.64
C0202,6.81
C0203,7.69
C0204,7.15
C0205,7.23
C0206,6.74
C0207,9.0
C0208,7.29
C0209,7.68
C0210,7.63
C0211,6.11
C0212,7.83
C0213,7.27
C0214,7.96
C0215,6.9
C0216,6.13
C0217,7.99
C0218,7.9
C0219,6.54
C0220,7.46
C0221,7.94
C0222,6.41
C0223,9.0
C0224,7.94
C0225,7.45
C0226,7.01
C0227,7.86
C0228,7.25
C0229,7.24
C0230,7.99
C0231,6.66
C0232,7.58
C0233,7.37
C0234,6.78
C0235,6.6
C0236,6.3
C0237,7.07
C0238,7.96
C0239,9.0
C0240,7.94
C0241,7.65
C0242,7.75
C0243,7.5
C0244,7.34
C0245,6.96
C0246,6.73
C0247,7.74
C0248,6.95
C0249,6.1
C0250,6.63
C0251,7.71
C0252,6.48
C0253,7.5
C0254,6.92
C0255,7.54
C0256,6.37
C0257,6.47
C0258,7.81
C0259,7.91
C0260,7.87
C0261,9.0
C0262,6.35
C0263,7.58
C0264,7.58
C0265,7.78
C0266,7.87
C0267,6.7
C0268,7.66
C0269,7.61
C0270,7.16
C0271,7.72
C0272,6.87
C0273,6.52
C0274,6.56
C0275,7.37
C0276,6.39
C0277,6.4
C0278,9.0
C0279,6.46
C0280,7.06
C0281,6.69
C0282,7.02
C0283,6.69
C0284,7.66
C0285,6.51
C0286,6.37
C0287,6.51
C0288,7.93
C0289,6.36
C0290,6.61
C0291,7.06
C0292,6.29
C0293,7.66
C0294,9.0
C0295,6.29
C0296,6.19
C0297,7.41
C0298,6.54
C0299,6.64
C0300,6.85
C0301,7.57
C0302,6.17
C0303,7.37
C0304,8.0
C0305,7.57
C0306,6.29
C0307,6.4
C0308,7.36
C0309,7.1
C0310,7.37
C0311,7.7
C0312,7.16
C0313,9.0
C0314,6.46
C0315,7.87
C0316,6.97
C0317,6.19
C0318,7.59
C0319,7.79
C0320,6.57
C0321,7.66
C0322,6.08
C0323,6.98
C0324,7.81
C0325,7.52
C0326,6.64
C0327,7.91
C0328,7.57
C0329,6.66
C0330,6.6
C0331,6.77
C0332,9.0
