C0001,C0002,0,0,1.49
C0002,C0003,C0345,4.0,-1.45
C0003,C0004,C0384,4.0,-2.62
C0004,C0005,C0392,4.0,-2.16
C0005,C0006,C0365,4.0,-2.04
C0006,C0007,C0364,4.0,-2.58
C0007,C0008,C0337,4.0,-2.88
C0008,C0009,C0382,4.0,-1.7
C0009,C0010,C0402,4.0,-2.88
C0010,C0011,C0366,4.0,-1.18
C0011,C0012,C0351,4.0,-2.97
C0012,C0013,C0418,4.0,-2.55
C0013,C0014,C0343,4.0,-2.54
C0014,C0015,C0385,4.0,-2.82
C0016,C0017,C0336,4.0,-1.01
C0017,C0018,C0397,4.0,-1.78
C0018,C0019,C0346,4.0,-1.85
C0019,C0020,0,0,1.28
C0020,C0021,C0371,4.0,-2.13
C0021,C0022,C0351,4.0,-2.96
C0022,C0023,C0358,4.0,-1.41
C0023,C0024,0,0,2.84
C0024,C0025,C0380,4.0,-2.72
C0025,C0026,C0335,4.0,-1.18
C0026,C0027,C0389,4.0,-2.86
C0027,C0028,C0418,4.0,-2.73
C0028,C0029,C0391,4.0,-2.86
C0030,C0031,C0381,4.0,-1.91
C0031,C0032,C0401,4.0,-2.77
C0032,C0033,C0343,4.0,-1.66
C0033,C0034,C0413,4.0,-1.73
C0034,C0035,C0335,4.0,-1.21
C0035,C0036,C0365,4.0,-1.28
C0036,C0037,C0341,4.0,-2.09
C0037,C0038,C0384,4.0,-2.36
C0038,C0039,C0414,4.0,-2.19
C0039,C0040,0,0,2.69
C0040,C0041,C0350,4.0,-1.85
C0041,C0042,C0392,4.0,-1.77
C0042,C0043,0,0,1.74
C0044,C0045,C0373,4.0,-1.32
C0045,C0046,C0336,4.0,-1.37
C0046,C0047,C0347,4.0,-2.89
C0047,C0048,C0407,4.0,-1.17
C0048,C0049,0,0,2.27
C0049,C0050,C0405,4.0,-1.04
C0050,C0051,C0366,4.0,-2.1
C0051,C0052,C0362,4.0,-2.87
C0052,C0053,C0418,4.0,-1.01
C0053,C0054,C0394,4.0,-1.1
C0054,C0055,C0359,4.0,-2.46
C0055,C0056,C0408,4.0,-1.54
C0056,C0057,C0341,4.0,-1.06
C0057,C0058,C0399,4.0,-2.59
C0059,C0060,C0411,4.0,-1.55
C0060,C0061,C0409,4.0,-1.99
C0061,C0062,0,0,2.86
C0062,C0063,C0359,4.0,-1.75
C0063,C0064,C0339,4.0,-1.76
C0064,C0065,C0349,4.0,-1.01
C0065,C0066,C0421,4.0,-2.34
C0066,C0067,C0412,4.0,-1.42
C0067,C0068,C0405,4.0,-1.63
C0068,C0069,C0367,4.0,-2.22
C0069,C0070,C0343,4.0,-2.4
C0070,C0071,C0389,4.0,-2.7
C0071,C0072,C0362,4.0,-1.93
C0072,C0073,C0391,4.0,-1.04
C0074,C0075,C0404,4.0,-1.35
C0075,C0076,C0371,4.0,-1.25
C0076,C0077,C0416,4.0,-1.5
C0077,C0078,C0344,4.0,-1.66
C0078,C0079,C0405,4.0,-2.04
C0079,C0080,C0337,4.0,-2.27
C0080,C0081,C0397,4.0,-1.26
C0081,C0082,C0339,4.0,-2.05
C0082,C0083,0,0,1.1
C0083,C0084,0,0,1.63
C0084,C0085,C0410,4.0,-1.29
C0085,C0086,C0382,4.0,-2.52
C0086,C0087,C0353,4.0,-1.5
C0087,C0088,C0381,4.0,-2.08
C0088,C0089,C0386,4.0,-1.46
C0089,C0090,C0362,4.0,-2.63
C0090,C0091,C0399,4.0,-2.53
C0091,C0092,C0334,4.0,-1.19
C0092,C0093,C0403,4.0,-1.09
C0093,C0094,C0350,4.0,-1.13
C0095,C0096,0,0,2.58
C0096,C0097,C0371,4.0,-1.42
C0097,C0098,C0421,4.0,-1.22
C0098,C0099,C0374,4.0,-1.13
