Candidate_Route_ID,Cost
C0001,291.131989
C0002,374.428986
C0003,518.659973
C0004,548.161011
C0005,48.412399
C0006,155.070999
C0007,480.096985
C0008,74.9151
C0009,65.515404
C0010,4791.169922
C0011,13.2517
C0012,1254.77002
C0013,198.222
C0014,140.442001
C0015,389.178986
C0016,501.90799
C0017,139.009003
C0018,1097.339966
C0019,258.095001
C0020,737.103027
C0021,46.218201
C0022,92.436302
C0023,647.054016
C0024,293.321991
C0025,49.382099
C0026,865.481995
C0027,178.042007
C0028,200.011993
C0029,139.009003
C0030,1014.559998
C0031,240.223007
C0032,353.053986
C0033,1060.119995
C0034,80.687401
C0035,17.080299
C0036,64.549896
C0037,176.526993
C0038,176.035995
C0039,371.445007
C0040,670.879028
C0041,837.64502
C0042,1459.699951
C0043,1271.109985
C0044,856.567993
C0045,882.679993
C0046,685.046021
C0047,673.633972
C0048,801.288025
C0049,1493.01001
C0050,1190.300049
C0051,818.354004
C0052,779.218994
C0053,633.728027
C0054,765.997009
C0055,1457.719971
C0056,1155.01001
C0057,783.062988
C0058,842.664001
C0059,645.030029
C0060,756.237976
C0061,792.596008
C0062,816.377014
C0063,1617.599976
C0064,729.913025
C0065,746.586975
C0066,1321.780029
C0067,949.828979
C0068,755.810974
C0069,764.830994
C0070,741.512024
C0071,977.799011
C0072,780.164978
C0073,768.752991
C0074,791.007019
C0075,1495.540039
C0076,1193.449951
C0077,860.909973
C0078,1374.290039
C0079,1233.910034
C0080,809.062012
C0081,864.89502
C0082,667.260986
C0083,1447.959961
C0084,1320.079956
C0085,1336.76001
C0086,1911.949951
C0087,1470.400024
C0088,1441.369995
C0089,1441.23999
C0090,1366.920044
C0091,1669.52002
C0092,1471.880005
C0093,1460.469971
C0094,1510.319946
C0095,1169.199951
C0096,775.663025
C0097,1192.140015
C0098,761.234009
C0099,791.622986
C0100,1145.25
C0101,1336.420044
C0102,1157.73999
C0103,1168.290039
C0104,1153.209961
C0105,1366.810059
C0106,1169.180054
C0107,1157.77002
C0108,1207.609985
C0109,994.864014
C0110,797.22998
C0111,785.817993
C0112,835.666016
C0113,801.565002
C0114,800.635986
C0115,765.182007
C0116,832.903992
C0117,810.239014
C0118,845.419006
C0119,818.369019
C0120,647.784973
C0121,676.396973
C0122,843.163025
C0123,752.849976
C0124,1465.219971
C0125,701.440979
C0126,1276.630005
C0127,862.085999
C0128,865.473999
C0129,738.499023
C0130,679.151978
C0131,729.0
C0132,807.872009
C0133,717.559021
C0134,1429.930054
C0135,666.148987
C0136,1241.339966
C0137,826.794983
C0138,852.906982
C0139,703.208008
C0140,643.861023
C0141,693.708984
C0142,798.112
C0143,847.224976
C0144,884.325989
C0145,1596.699951
C0146,812.885986
C0147,832.916016
C0148,1408.109985
C0149,993.560974
C0150,811.026978
C0151,821.939026
C0152,806.841003
C0153,1019.669983
C0154,869.974976
C0155,810.627014
C0156,860.474976
C0157,1467.76001
C0158,1279.77002
C0159,864.419983
C0160,892.26001
C0161,742.560974
C0162,1451.780029
C0163,1320.23999
C0164,889.900024
C0165,929.361023
C0166,779.661987
C0167,720.315002
C0168,770.161987
C0169,1420.170044
C0170,1403.060059
C0171,1423.089966
C0172,1998.280029
C0173,1545.380005
C0174,1433.079956
C0175,1444.0
C0176,1428.900024
C0177,1641.72998
C0178,1492.030029
C0179,1432.680054
C0180,1482.530029
C0181,1255.530029
C0182,827.531982
C0183,857.921021
C0184,708.221985
C0185,1278.469971
C0186,847.562988
C0187,877.950989
C0188,728.252014
C0189,668.905029
C0190,1231.579956
C0191,1422.75
C0192,1244.069946
C0193,1254.609985
C0194,1239.540039
C0195,1453.140015
C0196,1303.439941
C0197,1244.089966
C0198,1293.939941
C0199,817.034973
C0200,829.948975
C0201,840.861023
C0202,825.763977
C0203,1038.599976
C0204,888.896973
C0205,829.549988
C0206,879.39801
C0207,856.062012
C0208,857.203979
C0209,717.275024
C0210,837.119019
C0211,843.146973
C0212,915.01001
C0213,855.663025
C0214,905.51001
C0215,705.963989
C0216,694.53302
C0217,696.463989
C0218,781.828003
C0219,658.611023
C0220,1463.22998
C0221,1160.530029
C0222,788.580017
C0223,758.133972
C0224,698.482971
C0225,639.135986
C0226,688.982971
C0227,772.067993
C0228,801.846008
C0229,825.377991
C0230,1630.0
C0231,736.14502
C0232,752.10498
C0233,1327.290039
C0234,955.346985
C0235,762.047974
C0236,758.335999
C0237,725.224976
C0238,924.900024
C0239,833.617981
C0240,784.583984
C0241,824.117981
C0242,1501.060059
C0243,1198.959961
C0244,826.205994
C0245,797.437988
C0246,716.729004
C0247,1379.810059
C0248,1239.430054
C0249,814.580017
C0250,844.955017
C0251,720.713989
C0252,661.367004
C0253,1453.469971
C0254,1325.599976
C0255,1342.280029
C0256,1917.469971
C0257,1475.910034
C0258,1446.880005
C0259,1393.180054
C0260,1313.339966
C0261,1506.76001
