id,gene_id,value
1,1,10.193632
1,2,2.05618
1,3,1.514553
1,4,5.60405
1,5,2.49014
1,6,-0.64322
1,7,6.032461
1,8,2.776457
1,9,2.585125
1,10,-1.243535
1,11,-2.079549
1,12,5.593184
1,13,4.289636
1,14,0.966941
1,15,-3.83929
1,16,-1.897051
1,17,4.765457
1,18,1.495061
1,19,0.135879
1,20,0.877655
1,21,1.743027
1,22,3.210641
1,23,0.97255
1,24,-1.500732
1,25,2.041808
1,26,2.348253
1,27,2.999318
1,28,4.280522
1,29,-3.09437
1,30,5.167433
1,31,3.118503
1,32,1.29102
1,33,6.157253
1,34,5.468419
1,35,-6.653053
1,36,-0.265954
1,37,11.047452
1,38,2.49499
1,39,5.373005
1,40,-1.532324
1,41,-3.717241
1,42,2.216004
1,43,3.150212
1,44,1.479056
1,45,-1.441473
1,46,4.273551
1,47,10.1719
1,48,3.832693
1,49,8.737605
1,50,0.934988
1,51,2.155729
1,52,3.875265
1,53,4.685518
1,54,6.599832
1,55,-11.897379
1,56,-11.614233
1,57,-11.746523
1,58,-11.851412
1,59,-11.744101
1,60,-11.277672
2,1,2.05618
2,2,9.752113
2,3,-1.303444
2,4,5.961561
2,5,1.48326
2,6,-1.679674
2,7,2.918869
2,8,5.156925
2,9,4.818158
2,10,-0.321598
2,11,0.654137
2,12,0.523456
2,13,0.562221
2,14,-0.381978
2,15,-1.967891
2,16,1.624867
2,17,-2.840937
2,18,1.658624
2,19,3.99854
2,20,0.568178
2,21,2.538251
2,22,2.557336
2,23,3.770962
2,24,-2.24181
2,25,-0.242089
2,26,3.491054
2,27,2.213653
2,28,3.388307
2,29,-0.967705
2,30,-1.371738
2,31,7.11684
2,32,1.128471
2,33,-0.216773
2,34,-2.192134
2,35,-1.991002
2,36,-0.411415
2,37,7.106956
2,38,5.931374
2,39,-2.600945
2,40,-2.01271
2,41,-2.518918
2,42,0.046325
2,43,-3.475384
2,44,-2.909708
2,45,3.545631
2,46,4.969104
2,47,7.728063
2,48,1.645567
2,49,4.453026
2,50,0.698074
2,51,-0.118924
2,52,6.704376
2,53,3.910254
2,54,-0.112856
2,55,-9.970527
2,56,-10.111466
2,57,-9.117629
2,58,-9.689418
2,59,-9.925838
2,60,-9.610051
3,1,-1.514553
3,2,1.303444
3,3,-9.875301
3,4,-8.564297
3,5,-6.020331
3,6,-10.993072
3,7,-0.649279
3,8,-6.329763
3,9,-6.145269
3,10,1.221302
3,11,-3.83349
3,12,0.274014
3,13,-6.688449
3,14,4.942647
3,15,3.463826
3,16,0.677521
3,17,-1.859845
3,18,-2.404938
3,19,-4.195426
3,20,-7.920006
3,21,-1.71245
3,22,-3.509222
3,23,-1.681087
3,24,-2.659126
3,25,-2.051536
3,26,-1.596811
3,27,-7.869431
3,28,0.423318
3,29,6.547877
3,30,-0.271688
3,31,1.539764
3,32,0.363042
3,33,3.930711
3,34,2.230173
3,35,1.551005
3,36,-1.931332
3,37,-3.390929
3,38,4.696157
3,39,-6.891499
3,40,-2.312142
3,41,-2.491539
3,42,-6.590252
3,43,-1.701519
3,44,-3.740894
3,45,-4.759813
3,46,-4.939048
3,47,4.603454
3,48,-2.041624
3,49,-5.996929
3,50,2.938993
3,51,1.188105
3,52,2.352843
3,53,-6.393442
3,54,0.901537
3,55,10.279825
3,56,9.909154
3,57,10.3194
3,58,10.523336
3,59,10.838352
3,60,10.618308
4,1,-5.60405
4,2,-5.961561
4,3,-8.564297
4,4,-21.716288
4,5,-10.240161
4,6,-5.750397
4,7,-7.651938
4,8,-10.63544
4,9,-12.379886
4,10,1.788012
4,11,-6.887863
4,12,-2.447371
4,13,-13.374342
4,14,1.702248
4,15,6.772891
4,16,-2.018969
4,17,-4.914652
4,18,-3.32186
4,19,-9.431577
4,20,-7.636776
4,21,-5.495603
4,22,-11.37565
4,23,-3.751668
4,24,-0.849949
4,25,-1.891405
4,26,-5.193072
4,27,-11.850061
4,28,-6.459074
4,29,9.642705
4,30,0.757827
4,31,-4.290955
4,32,2.838821
4,33,5.066192
4,34,2.581991
4,35,3.944048
4,36,-2.186054
4,37,-12.324013
4,38,-5.248921
4,39,-6.437884
4,40,0.85988
4,41,-0.368947
4,42,-8.286143
4,43,-3.289364
4,44,-6.572297
4,45,-8.806739
4,46,-8.754332
4,47,-9.246814
4,48,-8.050748
4,49,-9.228802
4,50,-0.23476
4,51,4.087171
4,52,-4.226248
4,53,-10.26186
4,54,-0.219447
4,55,31.647161
4,56,30.4466
4,57,30.541784
4,58,31.366446
4,59,31.461254
4,60,31.442642
5,1,-2.49014
5,2,-1.48326
5,3,-6.020331
5,4,-10.240161
5,5,-16.57232
5,6,-8.017628
5,7,-5.586522
5,8,-5.549863
5,9,-11.235511
5,10,2.083482
5,11,-1.942325
5,12,-1.381898
5,13,-9.9568
5,14,4.094954
5,15,-0.670697
5,16,2.727702
5,17,-10.053526
5,18,-7.306635
5,19,-14.180792
5,20,-4.895787
5,21,-1.536795
5,22,-14.46169
5,23,-0.685296
5,24,-6.834708
5,25,-2.295089
5,26,-1.361821
5,27,-10.333547
5,28,-8.487766
5,29,1.487935
5,30,-0.338138
5,31,-10.109883
5,32,3.641258
5,33,-1.816516
5,34,3.849359
5,35,1.114731
5,36,-4.373004
5,37,-12.764417
5,38,-3.197092
5,39,-9.225346
5,40,0.241129
5,41,-4.519684
5,42,-6.59456
5,43,-4.935987
5,44,1.288513
5,45,-8.121321
5,46,-10.023509
5,47,-11.36781
5,48,-7.486471
5,49,-8.86884
5,50,-1.879688
5,51,-0.016927
5,52,-8.389709
5,53,-13.250606
5,54,-8.659753
5,55,37.150946
5,56,36.582765
5,57,36.903617
5,58,37.787784
5,59,37.405113
5,60,36.93081
6,1,-0.64322
6,2,-1.679674
6,3,10.993072
6,4,5.750397
6,5,8.017628
6,6,20.399252
6,7,-6.907206
6,8,3.247146
6,9,8.419691
6,10,-2.137357
6,11,4.456117
6,12,-2.35966
6,13,8.428295
6,14,-12.674535
6,15,-1.394411
6,16,0.762964
6,17,-0.889775
6,18,3.269019
6,19,6.316047
6,20,7.114799
6,21,3.940621
6,22,5.16807
6,23,-1.086251
6,24,6.348042
6,25,1.096956
6,26,-2.217585
6,27,7.431699
6,28,-4.874961
6,29,-8.940926
6,30,-0.468152
6,31,-2.300326
6,32,-2.052672
6,33,-7.534525
6,34,-2.186569
6,35,0.271424
6,36,1.687306
6,37,1.641002
6,38,-10.468973
6,39,11.593018
6,40,2.380411
6,41,3.370477
6,42,6.621176
6,43,1.871338
6,44,2.134019
6,45,7.730307
6,46,5.794114
6,47,-8.714874
6,48,1.040839
6,49,5.181671
6,50,-2.002042
6,51,-2.647367
6,52,-0.614301
6,53,8.400991
6,54,-1.156986
6,55,-7.602969
6,56,-7.733696
6,57,-8.122266
6,58,-8.091397
6,59,-8.831715
6,60,-8.267891
7,1,-6.032461
7,2,-2.918869
7,3,-0.649279
7,4,-7.651938
7,5,-5.586522
7,6,6.907206
7,7,-12.763795
7,8,-4.765379
7,9,-4.431153
7,10,2.203451
7,11,-0.24552
7,12,-4.189607
7,13,-2.549508
7,14,-6.914311
7,15,2.699963
7,16,1.924267
7,17,-6.262718
7,18,-2.290069
7,19,-2.275144
7,20,-3.243457
7,21,2.029575
7,22,-3.949068
7,23,-5.09494
7,24,1.532024
7,25,-1.513965
7,26,-4.850073
7,27,-4.77874
7,28,-9.886535
7,29,-1.579265
7,30,-1.402222
7,31,-8.467368
7,32,-1.38788
7,33,-6.342851
7,34,-1.535572
7,35,3.082829
7,36,-1.407842
7,37,-11.602724
7,38,-8.42594
7,39,-0.360438
7,40,0.906679
7,41,-0.238557
7,42,-4.032277
7,43,-2.120319
7,44,-0.034251
7,45,-2.71724
7,46,-4.027731
7,47,-14.346455
7,48,-5.45519
7,49,-7.309845
7,50,-0.762603
7,51,-1.428509
7,52,-3.808545
7,53,-6.09699
7,54,-6.199109
7,55,23.97888
7,56,23.301342
7,57,23.060592
7,58,23.863961
7,59,23.383909
7,60,23.317059
8,1,-2.776457
8,2,-5.156925
8,3,-6.329763
8,4,-10.63544
8,5,-5.549863
8,6,-3.247146
8,7,-4.765379
8,8,-12.663188
8,9,-4.939434
8,10,-1.66998
8,11,-3.614298
8,12,-0.378581
8,13,-3.171896
8,14,0.552402
8,15,4.751429
8,16,0.701809
8,17,-2.873889
8,18,-2.504049
8,19,-7.758414
8,20,-6.099134
8,21,-3.116526
8,22,-5.414096
8,23,-4.488067
8,24,1.536695
8,25,-1.749209
8,26,-6.64401
8,27,-9.130949
8,28,-3.474021
8,29,1.980513
8,30,-1.696217
8,31,-0.976635
8,32,-0.630806
8,33,3.646094
8,34,7.708047
8,35,4.221192
8,36,-1.919629
8,37,-8.687622
8,38,-2.113592
8,39,-2.314125
8,40,-1.762973
8,41,0.889126
8,42,-3.255245
8,43,2.664022
8,44,-2.834096
8,45,-2.419474
8,46,-6.073651
8,47,-0.423805
8,48,-4.491674
8,49,-5.119718
8,50,2.924096
8,51,-1.702781
8,52,-2.677571
8,53,-6.149187
8,54,-0.532869
8,55,13.253791
8,56,12.911207
8,57,12.773793
8,58,13.621212
8,59,13.400713
8,60,13.100016
9,1,-2.585125
9,2,-4.818158
9,3,-6.145269
9,4,-12.379886
9,5,-11.235511
9,6,-8.419691
9,7,-4.431153
9,8,-4.939434
9,9,-13.114342
9,10,2.815138
9,11,-4.128714
9,12,-1.186395
9,13,-8.032929
9,14,3.38647
