team_id,researcher_id
0,15
0,22
0,102
1,13
1,22
1,65
2,32
2,86
3,21
3,61
3,101
4,33
4,73
4,75
5,37
5,42
5,48
6,32
6,78
6,90
7,39
7,43
8,4
8,7
8,47
9,14
9,56
9,95
9,96
10,29
10,35
11,16
11,60
11,71
12,28
12,79
13,38
13,54
13,57
13,92
14,43
14,61
14,84
15,21
15,51
15,59
15,103
16,27
16,41
16,60
17,66
17,68
17,69
17,89
18,29
18,59
19,20
19,48
20,18
20,57
20,62
21,13
21,17
21,80
21,91
22,2
22,40
23,22
23,32
23,49
23,64
24,10
24,22
24,87
25,31
25,57
25,75
26,86
26,95
27,15
27,26
27,59
27,69
28,6
28,35
28,43
29,4
29,28
29,60
29,94
30,2
30,67
30,72
30,79
31,42
31,104
32,36
32,64
33,2
33,30
33,71
34,35
34,41
34,53
34,84
35,18
35,66
35,90
35,93
36,22
36,38
36,44
36,76
37,43
37,66
37,70
37,98
38,1
38,15
38,59
38,94
39,3
39,50
39,82
39,105
40,74
40,98
41,30
41,92
41,100
42,34
42,39
42,53
43,59
43,101
43,105
44,69
44,75
44,97
44,102
45,23
45,25
45,33
46,31
46,44
47,15
47,16
47,29
47,33
48,8
48,45
48,97
48,99
49,7
49,11
49,59
49,77
50,4
50,5
50,10
50,57
51,41
51,85
51,92
52,5
52,16
52,29
52,87
53,2
53,53
53,78
53,100
54,27
54,46
55,7
55,81
56,0
56,88
56,90
57,55
57,89
58,19
58,64
59,5
59,24
60,7
60,56
60,98
61,9
61,87
61,90
61,95
62,1
62,38
62,75
62,77
63,58
63,87
64,36
64,78
65,7
65,49
65,91
66,12
66,24
66,51
67,14
67,31
67,62
68,48
68,50
68,70
69,63
69,88
69,89
70,5
70,13
70,85
71,52
71,83
