eq_id,rhs
EQ42fde8e1e877,0.0
EQc24b4300c167,0.0
EQ7011ac6ffc19,0.0
EQ4f78ccaad3c3,0.0
EQb1fdb485952b,0.0
EQa7b432bf88a9,0.0
EQ7a1e129f2242,0.0
EQcb3c04ae2693,0.0
EQ0607433079ed,0.0
EQbc2229f8647e,0.0
EQ837013937826,0.0
EQ472a9735e624,0.0
EQb59a697372e5,0.0
EQc54f5c5fabcb,0.0
EQ5a3acf7fa796,0.0
EQ1cb541883816,0.0
EQ332e1ed106f6,0.0
EQf23e109af0f5,0.0
EQ8c11e2fd7cf1,0.0
EQd3a6e2ed195a,0.0
EQafd7ddb9046f,0.0
EQd5c4ceabac41,1.0
EQd2ba1f81980b,0.0
EQ1723e058e8e8,0.0
EQ132f7f251110,0.0
EQe1e3bc4d0ffa,0.0
EQ576131b20691,0.0
EQfb44f08ed8e5,0.0
EQ3c31561005d2,0.0
EQc85a0f49fc32,0.0
EQ61f1ca465bc2,0.0
EQ7eca2720ccd9,0.0
EQ6853e247ba79,0.0
EQ540a74588282,0.0
EQb6eabe883b37,0.0
EQ549f8044039b,0.0
EQ3c355199600f,0.0
EQ154d8fc0ef63,0.0
EQ112222388c4a,0.0
EQa0d31190c5dc,0.0
EQe179197ad358,0.0
EQ22eded346781,0.0
EQcb8fc4fed1d6,0.0
EQ092d40c0c67e,0.0
EQ054e6cc9b539,0.0
EQ12ef5e9d8b60,0.0
EQ9c4081365179,0.0
EQb74841803e79,0.0
EQc7fa86027393,0.0
EQ6fcf5e9fbfe0,0.0
EQ5969c791ec20,0.0
EQ03e9c86c7219,0.0
EQ8f07c8d404cf,0.0
EQa883f52bf737,0.0
EQ5710665f3921,0.0
EQfb9c26fc9323,0.0
EQ8eff46f3007c,0.0
EQ7e46806e57a5,0.0
EQ59b485646f16,0.0
EQa83882e16e8d,0.0
EQ7c47ca153bf0,0.0
EQdec508bb224e,0.0
EQ83b9767a5320,0.0
EQ6a17a615f7fb,0.0
EQ135202a145ec,0.0
EQee41c27a7fdd,0.0
EQ08e5097ea02d,0.0
EQ2cbad2752f22,0.0
EQ5f50ec7d9586,0.0
EQ70de8b8b1ae1,0.0
EQb4508b5ff269,0.0
EQeb704b11e4d7,0.0
EQf8b3941f3c5b,0.0
EQ975bb48652c1,0.0
EQ968ffb05e814,0.0
EQ97681ee4a94b,0.0
EQ4a87c30d0c41,0.0
EQ1bf833b5869a,0.0
EQe8ee4c9a6725,0.0
EQ816251fb8b17,0.0
EQc5ba2bf91b88,0.0
EQ15469c1f5640,0.0
EQ0b297f1a7d11,0.0
EQa6b5cb86f6ce,0.0
EQ0bb21fdab57b,0.0
EQ83ee65a63a03,0.0
EQ066666348c07,0.0
EQ4cd82e3a99f9,0.0
EQeae5ceb0244c,0.0
EQ8c9d6a1834a2,0.0
EQ5dda6df09ef6,0.0
EQ8498929ebfc9,0.0
EQ55d38eba3210,0.0
EQ5393c40aa920,0.0
EQ8ed7e78404ce,0.0
EQ8608ebbbcf61,0.0
EQfac638e1bef1,0.0
EQ9e65ec646d0d,0.0
EQ88a56314169f,0.0
EQ9265b7a05313,0.0
EQ02bf47a3f04e,0.0
EQ7819d088f495,0.0
EQ661792fed459,0.0
EQf22badfab60b,0.0
EQ05650f4ce0da,0.0
EQe640db3f9ac6,0.0
EQ6edf47851601,0.0
EQcf880ee7ceef,0.0
EQ3c48bdaedeb8,0.0
EQf5d6f1e35a08,0.0
EQ97ead7efc4af,0.0
EQ3982be29f66c,0.0
EQd1f301658f83,0.0
EQ7b2c398c8dda,0.0
EQ8ac6a84ca1f9,0.0
EQ218fdbab40fd,0.0
EQ979f9928d6ae,0.0
EQ720432bf4323,0.0
EQ5ac9a4693019,0.0
EQ2b26e0f6d66d,0.0
EQe2cc6c77c495,0.0
EQf2a945894609,0.0
EQf58927ad4a3e,0.0
EQc1c5c21755a3,0.0
EQ76f06ffe29a3,0.0
EQ301e5828888b,0.0
EQac9710628e47,0.0
EQ5d4f272488f8,0.0
EQdf69e4a82b76,0.0
EQ392e7c064f8f,0.0
EQ2da10d97710a,0.0
EQ51898fdc5748,0.0
EQ80d6e62507d3,0.0
EQacca55e75eca,0.0
EQdb59b810e5b3,0.0
EQ00254cdd1873,0.0
EQf456828b7712,0.0
EQef9ba4171763,0.0
EQ8a7fbe8b203c,0.0
EQc57c6fe140d5,0.0
EQf53921e9d568,0.0
EQ7e0e1fd1dc04,0.0
EQda9a94cdbe38,0.0
EQ9ba39cca81c3,0.0
EQe9fb7c9a662b,0.0
EQ0666086fa61f,0.0
EQ54c5201acfa0,0.0
EQ647cbba5f24e,0.0
EQ279e1d8483c9,0.0
EQecdaa8644a83,0.0
EQ1dde54c2c3fb,0.0
EQdc5af06cbd9e,0.0
EQdf50b245417a,0.0
EQ4efd6bbf10e9,0.0
EQe7652a786c39,0.0
EQ12d3d3c3765c,0.0
EQ251562bf1e8e,0.0
EQ838f10867bb3,0.0
EQ64f7e2a410e0,0.0
EQ2c48d3e32d95,0.0
EQf4de544e4d81,0.0
EQ921db93cc91a,0.0
EQb03e2dc8bb4d,0.0
EQ201186d054d6,0.0
EQ50d2bd7d9492,0.0
EQd1f447cd6b6f,0.0
EQd31de1fdbc8d,0.0
EQf9b17218db0a,0.0
EQ1aad925b5017,0.0
EQec728e721b1f,0.0
EQ5745739f7e75,0.0
EQc672b70e9fed,0.0
EQ04216a99ecfe,0.0
EQ579657139b73,0.0
EQ2f12bc139db5,0.0
EQe8475531ca63,0.0
EQ54fd9e17d78b,0.0
EQ6ec37025bd1e,0.0
EQ229fef5bff94,0.0
EQ3f50b17a3b6d,0.0
EQ7f6f63a7fca9,0.0
EQ226cb494c32e,0.0
EQ6d3c55bb7e03,0.0
EQec503d81be02,0.0
EQ361492c3aa39,0.0
EQ6e3ddde5ea1e,0.0
EQ6a76a18c30f7,0.0
EQb297eba7aca7,0.0
EQ2b6a9af32b23,0.0
EQ2681b9b9a2c5,0.0
EQb385ddd2693a,0.0
EQ8432036ff9ce,0.0
EQ78ebdfc804b1,0.0
EQ27e014406a73,0.0
EQf0e07d79b560,0.0
EQ917139fa93ab,0.0
EQ7560ddb78257,0.0
EQac83f0af1c94,0.0
EQbef7c27d424a,0.0
EQdb6eeeb81944,0.0
EQc4df97e390b6,0.0
EQf827655eefeb,0.0
EQ5c7a45e9b7f0,0.0
EQ6052f1544818,0.0
EQ0ac13665f676,0.0
EQ19e65c41d01c,0.0
EQ87ddd6bb0e9b,0.0
EQecfe362df8b9,0.0
EQ59c18f9eb1a7,0.0
EQ4bfd538fdb9a,0.0
EQ02a395565801,0.0
EQ7c743930478e,0.0
EQ49f3b56016a0,0.0
EQb9c36986a8fe,0.0
EQc918c8892a01,0.0
EQd6307156a5d3,0.0
EQ008afeecbf90,0.0
EQbb057132d335,0.0
EQ0d656bc3aaab,0.0
EQ6dd7a1b8af60,0.0
EQf96f51665376,0.0
EQ30a4cf637d14,0.0
EQ725f69a7231c,1.0
EQdd08de88ed8b,0.0
EQ3c453ff048b3,0.0
EQ6032a9d50230,0.0
EQ4bbe9db9e3d2,0.0
EQ047e4361c38f,0.0
EQbf60a9cf0dd9,0.0
EQ18949edfb621,0.0
EQ782c10119266,0.0
EQ09de44163f02,0.0
EQb4d6d8699564,0.0
EQ140fa7f03a73,0.0
EQ5e015f6ba3a8,0.0
EQcafa991f13ba,0.0
EQ33f84e9c369a,0.0
EQd26693d216fa,0.0
EQ02b49dfa563e,0.0
EQ849c0f9a82a1,0.0
EQ4fcd9316dd1a,0.0
EQ4b2d5a69fb95,0.0
EQ5fbda485488e,0.0
EQb7932f5db6f6,0.0
EQ6497dbb5e68f,0.0
EQef60d007cb9d,0.0
EQ963a42c4377e,0.0
EQ5df322614c91,0.0
EQf3f7f7183dab,0.0
EQ0ccebd48be7a,0.0
EQe0f7a7236981,0.0
EQce3e1d31dd4d,0.0
EQ0cbd71e6d9e9,0.0
EQcd565e168f0f,0.0
EQdd9ad7c8d362,0.0
EQ5b1751585caa,0.0
EQ2840daef6dcb,0.0
EQ9f498aa487fe,0.0
EQdb6a8525f8b0,0.0
EQa56c5a813a28,0.0
EQ28f83c73b93b,0.0
EQcaec219d6322,0.0
EQ01af7619e32b,0.0
EQ30afcd0b9e48,0.0
EQf3b774ca790c,0.0
EQ3a97c13ca7cd,0.0
EQef7740c16160,0.0
EQ13b57f6d5eb2,0.0
EQb2e27365d4a7,0.0
