action_id,fixed_price
ACT7c2d3b01db,15302.685
ACT6aabd3eeff,338.7184
ACT0a661197e5,6550.54875
ACT3a02d947b3,27895.744714
ACT153ff98a64,28299.0075
ACT112eb70cc2,111.23627
ACTae65b1121d,338.7184
ACTd6bfe915f4,6550.54875
ACT3c0a90b723,1956.37425
ACT28d0674a8e,33.68547
ACTe43bf71985,15302.685
ACTc5c5b84649,111.23627
ACTfa28256719,338.7184
ACT1ed63a7265,6550.54875
ACT62c9ff045a,27895.744714
ACT81756a0b07,16450.305
ACTe5afb33db9,33.68547
ACTa2a41d0723,86.587465
ACT6195bbba76,28299.0075
ACT74eecfce8e,17933.055
ACT162acc6271,8598.9
ACT143e7f8366,28299.0075
ACTbda65f49ce,6711.66
ACT008acfb132,28299.0075
ACT3169e7aab5,1077.7
ACT17fb366a4b,338.7184
ACTf3571f22c2,4657.0368628
ACTdb4fdd4da2,6711.66
ACTd5c60c6c39,338.7184
ACT140e8be762,17933.055
ACTf4f298a09f,28299.0075
ACTd8d308df11,33.68547
ACTc5cf409aa8,8935.68
ACT338f868d90,9538.15
ACT98a84e8841,21496.8925
ACT922772f6a6,813.2625
ACT622c3aa074,111.23627
ACT7ee17749ab,1971.6745
ACTf220e8c048,111.23627
ACT798ca7cab5,6550.54875
ACT4f010cfd23,16450.305
ACTd702b13d8b,16460.9181
ACT5f5db30d05,7645.9005
ACT6a951cd7b6,9020.61875
ACT6061450ab2,7882.87995
ACTb93ac99da8,4657.0368628
ACT3dce59b6d6,28299.0075
ACT1014f7f77f,16450.305
ACT33a8f914df,16450.305
ACT396763db2e,7645.9005
ACT2cbd528e05,7882.87995
ACTbc40f7b49b,377.680968
ACTfddeb9293c,15302.685
ACT96ab1ff241,7877.7975
ACTa55f6c6629,16460.9181
ACTfe2ab43ac8,377.680968
ACT02e842f119,16450.305
ACT3e06735dbf,4871.2669485
ACT455c9012ef,7645.9005
ACT2dcfc69454,27895.744714
ACTc4e8aa6be3,813.2625
ACT4331a25872,111.23627
ACT8db7826520,9020.61875
ACT7d304c64e1,16460.9181
ACT1409124dd7,4871.2669485
ACT7cf4f6f768,338.7184
ACT4ed2280cfc,4871.2669485
ACT182fcb6440,338.7184
ACT172062fdd0,377.680968
ACTcbe10dda27,7882.87995
ACTc08d072cc8,7882.87995
ACTb367380288,21496.8925
ACTdacd9b78f4,4657.0368628
ACT21ec95bafb,15302.685
ACTdaa82820ae,33.68547
ACT7d5b4ebc61,1077.7
ACTdf8ae7b9f3,16460.9181
ACT852ef5a9ea,9020.61875
ACTd1ca5388c8,7969.122
ACT3c5905d36f,4657.0368628
ACTe4debb5b57,1971.6745
ACT3339c79325,9538.15
ACT913b860c48,28299.0075
ACT17af8be42f,813.2625
ACT068cd072c1,6711.66
ACTde743d48cc,7969.122
ACT1f6e4e8ba6,338.7184
ACT84ca64eeca,338.7184
ACT536771a8c3,16450.305
ACTb7e8cd5ce3,9538.15
ACTc07abe2d9a,28299.0075
ACTc7a4d34464,377.680968
ACT45a8986a11,7645.9005
ACT8969482934,16450.305
ACT2e0d674539,28299.0075
ACTd3ce192189,6550.54875
ACTca339cdcdb,33.68547
ACT58259d7c27,16460.9181
ACT884f3de7fd,7969.122
ACT5153fe6fcd,15302.685
ACT51f2d05c89,23140.4875
ACT6ea91d9461,16460.9181
ACTb0cae81189,7882.87995
ACTd6e8dbc8dd,27895.744714
ACT8eace4526f,7882.87995
ACT97f91e2878,7877.7975
ACT8f2014abf7,4871.2669485
ACTd5cdbbbc7e,6711.66
ACT87dcc43ed9,16450.305
ACT2a07d13b53,17933.055
ACT3360a24e4f,16460.9181
ACTb14efb853f,86.587465
ACT23839702b1,7882.87995
ACTb4c7633833,16460.9181
ACTd2a35958e2,813.2625
ACTc07006f18e,28299.0075
ACTf785e2b703,27895.744714
ACT22ae01ede8,7882.87995
