slot_id,requirement
TS0ae713d1a5,1599.0
TS2b7842f554,1406.4
TSf0e592f52c,1708.75
TS6b2a8043e4,1601.0
TS5c28dfa9ca,1665.75
TS8a4ad29ceb,1621.0
TS8c634a4f2c,1625.5
TS0e2a47f426,1610.5
TS7742df5bec,1394.65
TS5624c05049,1485.15
TS2caf91eb09,1128.895
TSe6714cbfdd,1301.925
TS6f1fc6830c,1388.65
TSf25add6f3a,1684.0
TSc9b8f16ba0,1628.0
TS632a2e8ee3,1605.0
TS50f763e077,1662.5
TSe4260e2609,1292.9
TSa2bddef18e,1611.75
TS25116cbe77,1700.5
TS26b55ccfc1,1401.65
TS3856554761,1640.0
TS8b14b0e305,1595.0
TS0c0829db4c,1655.75
TS55c54cd19d,1635.0
TS443ac81312,1672.0
TS4bbcbe666d,1644.0
TS0064756dcb,1034.145
TSf0553561e8,1587.0
TS78f161f2ff,1117.895
TSf0f0a49e31,1451.65
TS7c3e8eda03,1651.0
TS478fa29d45,1650.5
TS242b6d35a5,1595.0
TS6e1a677fa1,1656.0
TS25e8984bfe,1587.5
TSa55de547fe,1408.65
TSf2f132c858,1411.495
TS666767b301,1660.5
TS36061ce77d,1464.9
TS7143fb07ff,1671.5
TS1f1def30c4,1456.9
TSc11915e3ee,1062.895
TS2661a11a3f,1590.0
TS5368b7fc42,1104.895
TS70c9f1cdf8,1595.75
TSe9505e645a,1474.65
TSaf4f280f49,1535.47
TScb0b285159,1150.895
TSd18d3cfa89,1046.645
TS3f4a752d20,1630.0
TS68bd1ddae5,1634.0
TSc84e67f3cf,1673.25
TSff6b080e7d,1613.5
TSe0b6ccf3df,1082.895
TS6ef1672b5d,1728.25
TSf426558a2a,1176.175
TSf8f59db910,1620.0
TSd5ab48622e,1184.675
TSee8f79fd45,1027.895
TS6ff2389c54,1666.0
TSc7c50e9162,1688.5
TS04c42a0beb,1066.895
TSe8cf6380ac,1659.25
TSe5a8bddd9e,1601.25
TSf98c56f109,1605.5
TS4c537bf323,1180.425
TSbe35f40078,1027.145
TS2130a64621,1625.5
TS4f3da44342,1680.0
TScbb1097136,1474.65
TS872840c56f,1585.0
TS7376d266d9,1601.0
TSbc57395db7,1627.25
TSf988146cfc,1624.0
TSf7c05ecaf1,1649.0
TS030306ac46,1468.65
TSfeb615966d,1462.15
TS249557872b,1604.0
TS9dba1a3b01,1606.5
TS87c63a4e02,1600.0
TS432824cef5,1594.0
TS5be34975d7,1596.0
TS31165b053e,1397.65
TSf450088623,1634.75
TSf3c4cf7d55,1670.0
TS0e0b71e89c,1653.5
TSa114592a6e,1093.895
TSeb58535d43,1580.5
TSe9513bdbd6,1058.895
TSd08b69a66f,1679.75
TS24132c2e53,1600.5
TS8a860b9b72,1652.0
TS4aff6b5863,1627.0
TS09c93edef7,1579.0
TS8895174cf3,1640.0
TS31df6c22e6,1616.0
TSfa31d84579,1611.5
TS73837dcaff,1457.4
TS07d3a63e2b,1650.0
TS4447a8fd1d,1693.0
TS3f6b29d3d4,1400.15
TS87d83de23a,1404.72
TSea8ddd055f,1600.75
TS3d7ccb0210,1391.65
TS469a3b02e2,1652.5
TSf6619c37bf,1615.25
TS4d5a110698,1609.25
TSda410e142f,1622.5
TS874720f008,1617.75
TS7cb9d4122f,1610.25
TS025d083f40,1646.0
TS7cf3133006,1663.0
TS49044e168e,1582.0
TS2e3a4076ec,1692.25
TS5b76c70c04,1551.97
TSb0a72470c9,1595.5
TS98b842dd92,1479.9
TS97e6bd8f9b,1608.0
TS9215f23210,1290.15
TS68cccee489,1625.0
TSeb9415d128,1736.5
TS7b7bafb0fa,1612.0
TS42d0b628c0,1673.0
TSb32f93b444,1425.65
TS77f91674dc,1617.0
TS055580bf5d,1608.0
TSc43ca385e8,1139.895
TSba51d6f88e,1546.47
TS0c139ee02f,1477.65
TS443166fe6c,1676.5
TS543272cc34,1683.0
TSd29e70c128,1623.75
TSa442a672e5,1595.25
TS278d9f1fcc,1417.15
TS8ea511c0a1,1623.5
TSe9c90cedfa,1663.0
TS37ff698958,1683.0
TSf5bb5644d6,1618.5
TS21c7a3001a,1054.895
TS7bda0322ac,1621.0
TS04fcc74874,1654.0
TS0e5dfbabce,1490.4
TS0afeb9f6ae,1660.0
TScfb121d745,1461.15
TSfa3e5079a3,1592.5
TS5ea5d90b6c,1644.25
TS76d4197a5d,1066.895
TS5f1586151b,1467.4
TS84b8520c28,1665.25
TSde0255c439,1040.395
TSec107a29d2,1635.5
TS40e6d8607e,1071.895
TS30f6b06801,1170.925
TSa790cd60e5,1540.97
TS2f96a4be85,1583.5
TS25a9345498,1720.0
TSc99f6324df,1597.0
TS8d4c8ca0ac,1480.65
TSa18c1ed2d2,1606.0
TS32530bb46a,1640.0
TSa5f1ec3f85,1630.0
TSda9affbe11,1595.0
TSd0fc980b3a,1622.0
TSa0373678c6,1744.75
TS741a1f1b80,1630.0
TS8bd964e3f8,1411.245
TS05928b46fe,1639.5
