action_id,slot_id,contribution
ACT5685524076,TSf988146cfc,41.6667
ACT9ffc37c12e,TS249557872b,2.39583
ACTc77e7fe733,TS8895174cf3,92.5
ACTa27a2485c6,TS05928b46fe,59.8958
ACT396763db2e,TS5624c05049,45.0
ACT82b00a6994,TS7b7bafb0fa,50.3125
ACT11c512bbae,TS98b842dd92,11.9792
ACTa5034cef00,TS25116cbe77,6.5
ACTb69b7f0b2a,TS8a860b9b72,45.5
ACTbec397be44,TS8b14b0e305,45.5
ACT8009c0c057,TS8bd964e3f8,8.33333
ACT5cf46adff2,TS7cb9d4122f,58.5
ACT2de1a26668,TSd29e70c128,58.5
ACTd7ddf7a311,TS04fcc74874,62.5
ACTaefde5fcde,TS5c28dfa9ca,58.5
ACT864e56a910,TS8b14b0e305,112.604
ACTf87dd8606d,TS42d0b628c0,41.6667
ACT7586449583,TSf3c4cf7d55,45.5208
ACT9b573a3ee2,TS2661a11a3f,103.021
ACT540e58f625,TS6ef1672b5d,93.4375
ACT0da20c73eb,TS3856554761,77.55
ACT56a7884ed8,TSc7c50e9162,7.5
ACTd5b94f04aa,TS25e8984bfe,19.5
ACT57ac887c7d,TS5be34975d7,59.8958
ACTd1190e83bf,TSe8cf6380ac,93.4375
ACTf29afa055b,TS6e1a677fa1,107.813
ACT47daface14,TS07d3a63e2b,21.5625
ACT8710df7edb,TS7cb9d4122f,50.3125
ACT8ded0c5936,TS741a1f1b80,26.3542
ACTfb00bdfd1e,TSa18c1ed2d2,77.5
ACT4ac754450e,TS8a860b9b72,19.5
ACT338efd84f7,TSf7c05ecaf1,2.968
ACTfa70995320,TSff6b080e7d,5.0
ACT80e9b5de50,TS31165b053e,45.5
ACT0ab0596b66,TSbc57395db7,59.8958
ACT1f7375eb58,TSe5a8bddd9e,25.0
ACT0e84aacda8,TSa442a672e5,6.5
ACT7e5f1ac30b,TS36061ce77d,7.5
ACT891d079660,TSbc57395db7,62.5
ACTdf8ae7b9f3,TS8a860b9b72,155.1
ACT7b1644f728,TSea8ddd055f,16.7708
ACTffe09ca6ab,TS4447a8fd1d,69.4792
ACT37693224b4,TSf25add6f3a,40.7292
ACTe56791fd4b,TS05928b46fe,88.6458
ACT5ede4615ca,TS68cccee489,50.0
ACT7fc4126157,TS25116cbe77,62.5
ACT66080adfcf,TS242b6d35a5,45.0
ACTb5f8120a56,TS97e6bd8f9b,8.33333
ACTc29ac9a559,TS242b6d35a5,31.1458
ACT736061cdd1,TS50f763e077,127.5
ACT176f681807,TS0c139ee02f,12.5
ACT9485ef4b0b,TS31165b053e,12.5
ACT3f52616086,TS77f91674dc,6.5
ACT3005624c8b,TS0ae713d1a5,6.5
ACT2609c767f8,TS3f4a752d20,74.2708
ACT493e1bc64b,TS77f91674dc,45.5
ACT2fcf7ee49c,TS5c28dfa9ca,59.8958
ACTab07fb56d6,TSda410e142f,75.0
ACT152b7f56c3,TS8c634a4f2c,155.0
ACTf92e2ab1cf,TS84b8520c28,57.5
ACTc78fc0d9df,TS21c7a3001a,7.5
ACT55f924cc61,TS1f1def30c4,62.5
ACT5ae872636a,TS8ea511c0a1,19.5
ACT954eb76aa5,TS242b6d35a5,69.4792
ACT1496e008a9,TSc99f6324df,83.8542
ACT0e5ae716fc,TS469a3b02e2,19.5
ACT1a5054df78,TS77f91674dc,50.3125
ACTab9dc8427b,TSe8cf6380ac,50.0
ACTfd4673a19f,TS8a860b9b72,8.33333
ACT311d5aa834,TS84b8520c28,58.5
ACTec3e22e866,TS68cccee489,57.5
ACT7dc9a8187c,TS432824cef5,6.5
ACT2609c767f8,TS0c0829db4c,50.3125
ACT4ed2d7e93a,TS6f1fc6830c,93.4375
ACT2b02c000af,TSeb9415d128,127.5
ACTbf82508bad,TS7143fb07ff,45.5
ACTdf56ee0e41,TS432824cef5,26.3542
ACTbfbc213c39,TSf450088623,155.0
ACT3efa1c581c,TS77f91674dc,58.5
ACTdf56ee0e41,TSda9affbe11,74.2708
ACT40eb021e40,TS5624c05049,37.5
ACTbb0b25175f,TS0e2a47f426,31.1458
ACTd5458f1a75,TSf450088623,19.5
ACT5343f6092d,TS3f4a752d20,6.5
ACT5d8ccafc96,TSe5a8bddd9e,32.5
ACTb7080364de,TS4447a8fd1d,31.1458
ACT2dcfc69454,TSfa31d84579,74.2708
ACTcc4530697f,TS478fa29d45,55.1042
ACT4eba25f42a,TS7cb9d4122f,112.604
ACTcc27cf63d6,TS2f96a4be85,83.8542
ACT4c3f88e92c,TS4d5a110698,16.7708
ACT2232449468,TS2e3a4076ec,62.5
ACT2c3569f495,TS24132c2e53,45.5
ACT11a1073d04,TSda9affbe11,57.5
ACT8b8b940a92,TS0e5dfbabce,41.6667
ACT34ce58bbdc,TS543272cc34,37.5
ACT39f1ee2462,TSfa31d84579,112.604
ACTa97b29055a,TS055580bf5d,26.3542
ACTfd2297888b,TSd29e70c128,59.8958
ACTf66a7c17bd,TS3f6b29d3d4,31.1458
ACT4614391032,TS4aff6b5863,7.1875
ACT59ee4cbcbe,TSf5bb5644d6,6.5
ACT7df8df76dc,TS2e3a4076ec,19.5
ACTfd2002242b,TS0c0829db4c,50.0
ACT619ce621c3,TS5624c05049,59.8958
ACTdd9bd40186,TSf98c56f109,21.5625
ACT72646a72db,TS4447a8fd1d,15.0
ACTff11de47ec,TSd29e70c128,45.5
ACT6f1dc1e1ec,TS55c54cd19d,1.05
ACT9dd2ff54bb,TSbc57395db7,11.9792
ACTf2b6f4d99d,TS0afeb9f6ae,45.5
ACTd263859de3,TS2130a64621,12.5
ACT2648a48551,TS50f763e077,32.5
ACT735a70a41c,TSda410e142f,26.3542
ACTdc9d7b2fd5,TSea8ddd055f,32.5
ACTcc81817669,TS0064756dcb,8.33333
ACTbb0b25175f,TSc9b8f16ba0,59.8958
ACT1ed63a7265,TS4f3da44342,12.5
ACT4042de0873,TSf988146cfc,88.6458
ACT4d3aa6202e,TS7cf3133006,32.5
ACT44b4f98b03,TS31df6c22e6,88.6458
ACT96d06514c2,TS4447a8fd1d,35.9375
ACTcef871de4b,TS04fcc74874,45.0
ACT8a5af908a1,TS0e0b71e89c,103.021
ACT8a3ad35786,TSe9c90cedfa,58.5
ACTf684597157,TS4d5a110698,45.5
ACTe5386c5922,TSe9c90cedfa,6.5
ACTb7203884d5,TSda410e142f,6.5
ACT4e006c7fc0,TSa790cd60e5,45.0
ACT03552bcc4b,TSda9affbe11,127.5
ACT2fc8285be9,TS3f4a752d20,19.5
ACT2cf7a61dd2,TS432824cef5,12.5
ACT410e576b83,TS030306ac46,127.5
ACT8e2072b4a7,TS42d0b628c0,155.0
ACT702a5d15b6,TSe5a8bddd9e,155.0
ACT77c083a39c,TS5f1586151b,74.2708
ACTf152a153e8,TS55c54cd19d,6.5
ACTeb0855ea37,TS32530bb46a,59.8958
ACT0ed0f910c5,TS030306ac46,2.968
ACTd9ab4daacf,TSf0553561e8,103.021
ACT2609c767f8,TS7c3e8eda03,55.1042
ACTa7abd90873,TSeb9415d128,32.5
ACTc0465175f9,TSfa31d84579,75.0
ACT1a3d169022,TS25116cbe77,45.5
ACTdf56ee0e41,TS07d3a63e2b,107.813
ACT8aa03e68a2,TS7143fb07ff,50.3125
ACTf46887efab,TSf6619c37bf,7.1875
ACT78539feaaf,TSf5bb5644d6,93.4375
ACT78443f197d,TSec107a29d2,32.5
ACT5089eac479,TS04fcc74874,19.5
ACT5b0b98faa4,TS5c28dfa9ca,2.968
ACTf56716e7c2,TS4447a8fd1d,0.731
ACTba187917fb,TS4aff6b5863,6.5
ACT812948e2ef,TSf450088623,7.1875
ACT4abfb42dee,TS7143fb07ff,15.0
ACT812948e2ef,TS8a4ad29ceb,107.813
ACT8359eca401,TS242b6d35a5,57.5
ACT61f9ae7cba,TScbb1097136,92.5
ACTc60877e762,TS0ae713d1a5,64.6875
ACT38abca4348,TS478fa29d45,64.6875
ACT7e1cab3d66,TS7b7bafb0fa,57.5
ACT6d4db3afd6,TS5f1586151b,77.55
ACT0cf2837382,TS632a2e8ee3,11.9792
ACT3a035e24d3,TS7376d266d9,41.6667
ACT2f1ada55c2,TS8895174cf3,57.5
ACTd9e1a46c38,TS6f1fc6830c,69.4792
ACT7c55872e53,TS7c3e8eda03,75.0
ACTf27963f41e,TSda9affbe11,83.8542
ACT3d1e8e2dc2,TSa18c1ed2d2,37.5
ACT183d6e5fae,TS9dba1a3b01,19.5
ACT09aadc6c3f,TS055580bf5d,3.1
ACTb8bb31d944,TS632a2e8ee3,59.8958
ACT9df0ebd677,TSc99f6324df,155.1
ACT65abe52282,TSfa3e5079a3,155.0
ACT936a03b9e4,TS8a860b9b72,2.968
ACT316b0a6560,TS5624c05049,5.0
ACT2dcfc69454,TS37ff698958,107.813
ACTf939fb35a7,TSf0e592f52c,69.4792
ACT20f9fbcc9f,TS0e5dfbabce,5.0
ACT3a02d947b3,TS49044e168e,64.6875
ACTa72cc8ea62,TSda410e142f,11.9792
ACTf9da9269be,TSf7c05ecaf1,59.8958
ACT8267df307c,TS4447a8fd1d,41.6667
ACT13f45d5588,TSd29e70c128,45.5
ACTfde0943515,TS1f1def30c4,31.1458
