Local_Resource_ID,Limit
1,6750.0
2,6750.0
3,12300.0
4,12300.0
5,12300.0
6,12300.0
7,12300.0
8,12150.0
9,12150.0
10,12150.0
11,12150.0
12,12150.0
13,2250.0
14,2250.0
15,2250.0
16,2250.0
17,2250.0
18,2250.0
19,5700.0
20,5700.0
21,5700.0
22,5700.0
23,5700.0
24,4800.0
25,4800.0
26,4800.0
27,4800.0
28,4800.0
29,4800.0
30,6300.0
31,6300.0
32,6300.0
33,6300.0
34,6300.0
35,6300.0
36,22950.0
37,22950.0
38,22950.0
39,22950.0
40,22950.0
41,22950.0
42,16350.0
43,16350.0
44,16350.0
45,16350.0
46,16350.0
47,16350.0
48,8250.0
49,8250.0
50,8250.0
51,8250.0
52,8250.0
53,8250.0
54,38550.0
55,38550.0
56,38550.0
57,38550.0
58,38550.0
59,38550.0
60,18750.0
61,18750.0
62,18750.0
63,18750.0
64,18750.0
65,18750.0
66,5700.0
67,5700.0
68,5700.0
69,5700.0
70,5700.0
71,5700.0
72,10050.0
73,10050.0
74,10050.0
75,10050.0
76,10050.0
77,10050.0
78,6000.0
79,6000.0
80,6000.0
81,6000.0
82,6000.0
83,6000.0
84,4050.0
85,4050.0
86,4050.0
87,4050.0
88,4050.0
89,4050.0
90,900.0
91,900.0
92,900.0
93,900.0
94,900.0
95,900.0
96,2250.0
97,2250.0
98,2250.0
99,2250.0
100,2250.0
101,2100.0
102,2100.0
103,2100.0
104,2100.0
105,2100.0
106,11266.666667
107,11266.666667
108,11266.666667
109,11266.666667
110,11266.666667
111,11266.666667
112,3466.6666667
113,3466.6666667
114,3466.6666667
115,3466.6666667
116,3466.6666667
117,3466.6666667
118,6283.3333333
119,6283.3333333
120,6283.3333333
121,6283.3333333
122,6283.3333333
123,12566.666667
124,12566.666667
125,12566.666667
126,12566.666667
127,12566.666667
128,12566.666667
129,7366.6666667
130,7366.6666667
131,7366.6666667
132,7366.6666667
133,7366.6666667
134,23616.666667
135,23616.666667
136,23616.666667
137,23616.666667
138,23616.666667
139,3900.0
140,3900.0
141,3900.0
142,3900.0
143,3900.0
144,3466.6666667
145,3466.6666667
146,3466.6666667
147,3466.6666667
148,3466.6666667
149,3466.6666667
150,14733.333333
151,14733.333333
152,14733.333333
153,14733.333333
154,14733.333333
155,10616.666667
156,10616.666667
157,10616.666667
158,10616.666667
159,10616.666667
160,10616.666667
161,1300.0
162,1300.0
163,1300.0
164,1300.0
165,1300.0
166,1300.0
