piece_id,top_edge,right_edge,bottom_edge,left_edge
0,5,14,14,1
1,1,11,7,2
2,15,19,17,1
3,5,5,14,22
4,0,13,15,25
5,22,3,17,19
6,7,5,14,2
7,5,15,19,7
8,24,7,0,9
9,14,19,15,16
10,0,7,23,18
11,12,0,23,1
12,5,4,19,15
13,9,0,20,15
14,22,17,1,24
15,7,1,19,5
16,20,0,20,2
17,23,5,15,5
18,7,3,10,0
19,1,24,6,2
20,23,4,17,2
21,24,7,7,3
22,0,0,7,6
23,0,6,23,23
24,1,24,16,15
25,0,20,23,21
26,7,15,15,5
27,2,3,5,5
28,19,1,19,7
29,14,3,11,23
30,14,22,1,23
31,2,8,0,6
32,7,0,21,23
33,17,24,23,7
34,17,6,16,24
35,6,2,15,2
36,0,8,22,13
37,3,17,5,15
38,14,11,4,7
39,1,24,15,2
40,24,5,23,15
41,2,17,5,1
42,9,0,12,11
43,17,5,7,22
44,1,2,4,14
45,0,13,16,24
46,24,24,13,0
47,7,0,15,3
48,16,4,6,23
49,19,22,6,16
50,6,19,17,5
51,19,14,3,7
52,11,19,4,17
53,7,0,10,5
54,4,11,23,14
55,23,16,0,18
56,14,7,6,22
57,7,23,21,0
58,7,0,0,15
59,22,14,19,5
60,22,19,24,22
61,16,0,18,23
62,0,21,1,13
63,25,15,23,0
64,0,16,15,0
65,6,4,23,14
66,20,0,16,3
67,17,15,23,7
68,6,0,7,22
69,5,18,0,9
70,17,17,1,7
71,24,3,14,1
72,10,0,16,11
73,7,12,0,18
74,16,7,19,11
75,13,14,20,0
76,5,5,11,11
77,1,24,23,11
78,1,2,24,3
79,2,15,15,5
80,7,19,23,19
81,24,4,7,24
82,15,0,16,17
83,23,7,15,16
84,18,0,24,19
85,19,23,7,15
86,1,7,2,15
87,5,7,5,22
88,11,16,17,17
89,7,5,1,23
90,12,7,16,0
91,16,0,10,24
92,1,22,11,2
93,23,24,0,0
94,4,3,19,2
95,6,15,4,17
96,15,15,14,1
97,2,23,5,11
98,7,16,23,4
99,24,6,5,14
