arc_id,start_node,end_node
a0001,n292,n485
a0002,n485,n292
a0003,n292,n269
a0004,n269,n292
a0005,n334,n485
a0006,n485,n334
a0007,n334,n294
a0008,n294,n334
a0009,n465,n485
a0010,n485,n465
a0011,n173,n485
a0012,n485,n173
a0013,n276,n269
a0014,n269,n276
a0015,n194,n334
a0016,n334,n194
a0017,n276,n179
a0018,n179,n276
a0019,n276,n328
a0020,n328,n276
a0021,n465,n177
a0022,n177,n465
a0023,n177,n335
a0024,n335,n177
a0025,n223,n179
a0026,n179,n223
a0027,n173,n338
a0028,n338,n173
a0029,n179,n304
a0030,n304,n179
a0031,n179,n072
a0032,n072,n179
a0033,n485,n443
a0034,n443,n485
a0035,n223,n003
a0036,n003,n223
a0037,n072,n470
a0038,n470,n072
a0039,n223,n423
a0040,n423,n223
a0041,n357,n338
a0042,n338,n357
a0043,n179,n032
a0044,n032,n179
a0045,n105,n177
a0046,n177,n105
a0047,n209,n032
a0048,n032,n209
a0049,n458,n194
a0050,n194,n458
a0051,n144,n177
a0052,n177,n144
a0053,n173,n021
a0054,n021,n173
a0055,n186,n032
a0056,n032,n186
a0057,n479,n485
a0058,n485,n479
a0059,n422,n485
a0060,n485,n422
a0061,n099,n292
a0062,n292,n099
a0063,n269,n059
a0064,n059,n269
a0065,n072,n347
a0066,n347,n072
a0067,n440,n470
a0068,n470,n440
a0069,n346,n422
a0070,n422,n346
a0071,n148,n470
a0072,n470,n148
a0073,n269,n329
a0074,n329,n269
a0075,n357,n480
a0076,n480,n357
a0077,n329,n271
a0078,n271,n329
a0079,n347,n270
a0080,n270,n347
a0081,n122,n443
a0082,n443,n122
a0083,n020,n485
a0084,n485,n020
a0085,n105,n432
a0086,n432,n105
a0087,n380,n003
a0088,n003,n380
a0089,n120,n179
a0090,n179,n120
a0091,n485,n087
a0092,n087,n485
a0093,n059,n222
a0094,n222,n059
a0095,n278,n021
a0096,n021,n278
a0097,n073,n278
a0098,n278,n073
a0099,n059,n039
a0100,n039,n059
a0101,n465,n297
a0102,n297,n465
a0103,n099,n061
a0104,n061,n099
a0105,n072,n277
a0106,n277,n072
a0107,n334,n363
a0108,n363,n334
a0109,n363,n019
a0110,n019,n363
a0111,n390,n479
a0112,n479,n390
a0113,n422,n473
a0114,n473,n422
a0115,n059,n419
a0116,n419,n059
a0117,n334,n033
a0118,n033,n334
a0119,n250,n173
a0120,n173,n250
a0121,n120,n499
a0122,n499,n120
a0123,n412,n269
a0124,n269,n412
a0125,n278,n113
a0126,n113,n278
a0127,n222,n169
a0128,n169,n222
a0129,n171,n033
a0130,n033,n171
a0131,n269,n200
a0132,n200,n269
a0133,n223,n372
a0134,n372,n223
a0135,n327,n335
a0136,n335,n327
a0137,n357,n162
a0138,n162,n357
a0139,n250,n150
a0140,n150,n250
a0141,n276,n204
a0142,n204,n276
a0143,n254,n061
a0144,n061,n254
a0145,n172,n390
a0146,n390,n172
a0147,n304,n444
a0148,n444,n304
a0149,n368,n473
a0150,n473,n368
a0151,n223,n125
a0152,n125,n223
a0153,n495,n412
a0154,n412,n495
a0155,n223,n373
a0156,n373,n223
