arc_id,x_var,y_var,fixed_cost
a0001,flow_a0001,open_a0001,10.0
a0002,flow_a0002,open_a0002,10.0
a0003,flow_a0003,open_a0003,2.0
a0004,flow_a0004,open_a0004,2.0
a0005,flow_a0005,open_a0005,1.0
a0006,flow_a0006,open_a0006,1.0
a0007,flow_a0007,open_a0007,9.0
a0008,flow_a0008,open_a0008,9.0
a0009,flow_a0009,open_a0009,6.0
a0010,flow_a0010,open_a0010,6.0
a0011,flow_a0011,open_a0011,5.0
a0012,flow_a0012,open_a0012,5.0
a0013,flow_a0013,open_a0013,3.0
a0014,flow_a0014,open_a0014,3.0
a0015,flow_a0015,open_a0015,8.0
a0016,flow_a0016,open_a0016,8.0
a0017,flow_a0017,open_a0017,4.0
a0018,flow_a0018,open_a0018,4.0
a0019,flow_a0019,open_a0019,9.0
a0020,flow_a0020,open_a0020,9.0
a0021,flow_a0021,open_a0021,2.0
a0022,flow_a0022,open_a0022,2.0
a0023,flow_a0023,open_a0023,4.0
a0024,flow_a0024,open_a0024,4.0
a0025,flow_a0025,open_a0025,5.0
a0026,flow_a0026,open_a0026,5.0
a0027,flow_a0027,open_a0027,8.0
a0028,flow_a0028,open_a0028,8.0
a0029,flow_a0029,open_a0029,3.0
a0030,flow_a0030,open_a0030,3.0
a0031,flow_a0031,open_a0031,10.0
a0032,flow_a0032,open_a0032,10.0
a0033,flow_a0033,open_a0033,2.0
a0034,flow_a0034,open_a0034,2.0
a0035,flow_a0035,open_a0035,4.0
a0036,flow_a0036,open_a0036,4.0
a0037,flow_a0037,open_a0037,7.0
a0038,flow_a0038,open_a0038,7.0
a0039,flow_a0039,open_a0039,4.0
a0040,flow_a0040,open_a0040,4.0
a0041,flow_a0041,open_a0041,7.0
a0042,flow_a0042,open_a0042,7.0
a0043,flow_a0043,open_a0043,6.0
a0044,flow_a0044,open_a0044,6.0
a0045,flow_a0045,open_a0045,1.0
a0046,flow_a0046,open_a0046,1.0
a0047,flow_a0047,open_a0047,3.0
a0048,flow_a0048,open_a0048,3.0
a0049,flow_a0049,open_a0049,8.0
a0050,flow_a0050,open_a0050,8.0
a0051,flow_a0051,open_a0051,5.0
a0052,flow_a0052,open_a0052,5.0
a0053,flow_a0053,open_a0053,2.0
a0054,flow_a0054,open_a0054,2.0
a0055,flow_a0055,open_a0055,9.0
a0056,flow_a0056,open_a0056,9.0
a0057,flow_a0057,open_a0057,1.0
a0058,flow_a0058,open_a0058,1.0
a0059,flow_a0059,open_a0059,7.0
a0060,flow_a0060,open_a0060,7.0
a0061,flow_a0061,open_a0061,1.0
a0062,flow_a0062,open_a0062,1.0
a0063,flow_a0063,open_a0063,4.0
a0064,flow_a0064,open_a0064,4.0
a0065,flow_a0065,open_a0065,3.0
a0066,flow_a0066,open_a0066,3.0
a0067,flow_a0067,open_a0067,3.0
a0068,flow_a0068,open_a0068,3.0
a0069,flow_a0069,open_a0069,8.0
a0070,flow_a0070,open_a0070,8.0
a0071,flow_a0071,open_a0071,8.0
a0072,flow_a0072,open_a0072,8.0
a0073,flow_a0073,open_a0073,3.0
a0074,flow_a0074,open_a0074,3.0
a0075,flow_a0075,open_a0075,6.0
a0076,flow_a0076,open_a0076,6.0
a0077,flow_a0077,open_a0077,9.0
a0078,flow_a0078,open_a0078,9.0
a0079,flow_a0079,open_a0079,4.0
a0080,flow_a0080,open_a0080,4.0
a0081,flow_a0081,open_a0081,10.0
a0082,flow_a0082,open_a0082,10.0
a0083,flow_a0083,open_a0083,8.0
a0084,flow_a0084,open_a0084,8.0
a0085,flow_a0085,open_a0085,7.0
a0086,flow_a0086,open_a0086,7.0
a0087,flow_a0087,open_a0087,8.0
a0088,flow_a0088,open_a0088,8.0
a0089,flow_a0089,open_a0089,5.0
a0090,flow_a0090,open_a0090,5.0
a0091,flow_a0091,open_a0091,6.0
a0092,flow_a0092,open_a0092,6.0
a0093,flow_a0093,open_a0093,8.0
a0094,flow_a0094,open_a0094,8.0
a0095,flow_a0095,open_a0095,7.0
a0096,flow_a0096,open_a0096,7.0
a0097,flow_a0097,open_a0097,7.0
a0098,flow_a0098,open_a0098,7.0
a0099,flow_a0099,open_a0099,3.0
a0100,flow_a0100,open_a0100,3.0
a0101,flow_a0101,open_a0101,2.0
a0102,flow_a0102,open_a0102,2.0
a0103,flow_a0103,open_a0103,5.0
a0104,flow_a0104,open_a0104,5.0
a0105,flow_a0105,open_a0105,2.0
a0106,flow_a0106,open_a0106,2.0
a0107,flow_a0107,open_a0107,7.0
a0108,flow_a0108,open_a0108,7.0
a0109,flow_a0109,open_a0109,5.0
a0110,flow_a0110,open_a0110,5.0
a0111,flow_a0111,open_a0111,1.0
a0112,flow_a0112,open_a0112,1.0
a0113,flow_a0113,open_a0113,5.0
a0114,flow_a0114,open_a0114,5.0
a0115,flow_a0115,open_a0115,10.0
a0116,flow_a0116,open_a0116,10.0
a0117,flow_a0117,open_a0117,5.0
a0118,flow_a0118,open_a0118,5.0
a0119,flow_a0119,open_a0119,10.0
a0120,flow_a0120,open_a0120,10.0
a0121,flow_a0121,open_a0121,8.0
a0122,flow_a0122,open_a0122,8.0
a0123,flow_a0123,open_a0123,4.0
a0124,flow_a0124,open_a0124,4.0
a0125,flow_a0125,open_a0125,9.0
a0126,flow_a0126,open_a0126,9.0
a0127,flow_a0127,open_a0127,8.0
a0128,flow_a0128,open_a0128,8.0
a0129,flow_a0129,open_a0129,4.0
a0130,flow_a0130,open_a0130,4.0
a0131,flow_a0131,open_a0131,10.0
a0132,flow_a0132,open_a0132,10.0
a0133,flow_a0133,open_a0133,1.0
a0134,flow_a0134,open_a0134,1.0
a0135,flow_a0135,open_a0135,6.0
a0136,flow_a0136,open_a0136,6.0
a0137,flow_a0137,open_a0137,9.0
a0138,flow_a0138,open_a0138,9.0
a0139,flow_a0139,open_a0139,7.0
a0140,flow_a0140,open_a0140,7.0
a0141,flow_a0141,open_a0141,1.0
a0142,flow_a0142,open_a0142,1.0
a0143,flow_a0143,open_a0143,7.0
a0144,flow_a0144,open_a0144,7.0
a0145,flow_a0145,open_a0145,6.0
a0146,flow_a0146,open_a0146,6.0
a0147,flow_a0147,open_a0147,8.0
a0148,flow_a0148,open_a0148,8.0
a0149,flow_a0149,open_a0149,8.0
a0150,flow_a0150,open_a0150,8.0
a0151,flow_a0151,open_a0151,3.0
a0152,flow_a0152,open_a0152,3.0
a0153,flow_a0153,open_a0153,9.0
a0154,flow_a0154,open_a0154,9.0
