source,target,var_cost_fwd,fixed_cost_fwd,var_cost_bwd,fixed_cost_bwd
0,1,0.0,45.0,0.0,45.0
0,20,0.0,39.0,0.0,39.0
1,2,0.0,42.0,0.0,42.0
1,21,0.0,43.0,0.0,43.0
2,3,0.0,42.0,0.0,42.0
2,22,0.0,44.0,0.0,44.0
3,4,0.0,45.0,0.0,45.0
3,23,0.0,41.0,0.0,41.0
4,5,0.0,42.0,0.0,42.0
4,24,0.0,37.0,0.0,37.0
5,6,0.0,45.0,0.0,45.0
5,25,0.0,43.0,0.0,43.0
6,7,0.0,45.0,0.0,45.0
6,26,0.0,43.0,0.0,43.0
7,8,0.0,41.0,0.0,41.0
7,27,0.0,43.0,0.0,43.0
8,9,0.0,40.0,0.0,40.0
8,28,0.0,41.0,0.0,41.0
9,10,0.0,40.0,0.0,40.0
9,29,0.0,38.0,0.0,38.0
10,11,0.0,45.0,0.0,45.0
10,30,0.0,39.0,0.0,39.0
11,12,0.0,40.0,0.0,40.0
11,31,0.0,43.0,0.0,43.0
12,13,0.0,43.0,0.0,43.0
12,32,0.0,39.0,0.0,39.0
13,14,0.0,42.0,0.0,42.0
13,33,0.0,43.0,0.0,43.0
14,15,0.0,37.0,0.0,37.0
14,34,0.0,38.0,0.0,38.0
15,16,0.0,42.0,0.0,42.0
15,35,0.0,45.0,0.0,45.0
16,17,0.0,37.0,0.0,37.0
16,36,0.0,43.0,0.0,43.0
17,18,0.0,43.0,0.0,43.0
17,37,0.0,41.0,0.0,41.0
18,19,0.0,44.0,0.0,44.0
18,38,0.0,43.0,0.0,43.0
19,39,0.0,39.0,0.0,39.0
20,21,0.0,44.0,0.0,44.0
20,40,0.0,39.0,0.0,39.0
21,22,0.0,41.0,0.0,41.0
21,41,0.0,45.0,0.0,45.0
22,23,0.0,45.0,0.0,45.0
22,42,0.0,43.0,0.0,43.0
23,24,0.0,45.0,0.0,45.0
23,43,0.0,41.0,0.0,41.0
24,25,0.0,45.0,0.0,45.0
24,44,0.0,39.0,0.0,39.0
25,26,0.0,42.0,0.0,42.0
25,45,0.0,37.0,0.0,37.0
26,27,0.0,41.0,0.0,41.0
26,46,0.0,42.0,0.0,42.0
27,28,0.0,42.0,0.0,42.0
27,47,0.0,38.0,0.0,38.0
28,29,0.0,39.0,0.0,39.0
28,48,0.0,39.0,0.0,39.0
29,30,0.0,41.0,0.0,41.0
29,49,0.0,42.0,0.0,42.0
30,31,0.0,42.0,0.0,42.0
30,50,0.0,43.0,0.0,43.0
31,32,0.0,41.0,0.0,41.0
31,51,0.0,38.0,0.0,38.0
32,33,0.0,41.0,0.0,41.0
32,52,0.0,39.0,0.0,39.0
33,34,0.0,37.0,0.0,37.0
33,53,0.0,43.0,0.0,43.0
34,35,0.0,43.0,0.0,43.0
34,54,0.0,39.0,0.0,39.0
35,36,0.0,42.0,0.0,42.0
35,55,0.0,43.0,0.0,43.0
36,37,0.0,43.0,0.0,43.0
36,56,0.0,44.0,0.0,44.0
37,38,0.0,40.0,0.0,40.0
37,57,0.0,37.0,0.0,37.0
38,39,0.0,37.0,0.0,37.0
38,58,0.0,38.0,0.0,38.0
39,59,0.0,37.0,0.0,37.0
