id,unit_value,max_batches
1,800.0,2
2,651.0,3
3,680.0,4
4,610.0,4
5,1186.0,1
6,202.0,4
7,496.0,3
8,293.0,3
9,38.0,3
10,320.0,3
11,533.0,3
12,325.0,3
13,844.0,1
14,1294.0,2
15,656.0,2
16,188.0,3
17,1462.0,1
18,630.0,2
19,1125.0,1
20,40.0,1
21,283.0,3
22,613.0,1
23,533.0,4
24,610.0,3
25,45.0,3
26,59.0,2
27,390.0,2
28,803.0,4
29,841.0,2
30,174.0,2
31,1227.0,4
32,329.0,3
33,207.0,3
34,1146.0,1
35,391.0,3
36,192.0,1
37,1269.0,1
38,550.0,3
39,519.0,4
40,179.0,1
41,273.0,3
42,1405.0,2
43,223.0,3
44,143.0,1
45,126.0,3
46,88.0,2
47,307.0,3
48,38.0,2
49,508.0,4
50,311.0,3
51,910.0,1
52,380.0,3
53,188.0,1
54,91.0,3
55,150.0,2
56,28.0,1
57,569.0,2
58,105.0,3
59,93.0,4
60,18.0,3
61,978.0,2
62,548.0,4
63,313.0,4
64,17.0,4
65,672.0,2
66,1317.0,4
67,582.0,2
68,1346.0,3
69,836.0,3
70,308.0,1
71,303.0,2
72,994.0,1
73,48.0,1
74,172.0,1
75,1067.0,1
76,912.0,3
77,619.0,2
78,956.0,1
79,596.0,3
80,1248.0,1
81,240.0,1
82,109.0,1
83,525.0,4
84,974.0,4
85,797.0,3
86,1157.0,3
87,708.0,3
88,49.0,4
89,288.0,3
90,27.0,2
91,845.0,2
92,437.0,1
93,42.0,3
94,76.0,4
95,142.0,1
96,96.0,3
97,380.0,4
98,289.0,4
99,164.0,4
100,369.0,2
