id,lab_value,lab_load,base_capacity
1,1529.0,1600.0,981.0
2,1114.0,1400.0,959.0
3,1353.0,1700.0,997.0
4,1188.0,1200.0,997.0
5,1281.0,1300.0,955.0
6,1681.0,1700.0,985.0
7,1482.0,1500.0,977.0
8,831.0,1300.0,963.0
9,935.0,1200.0,967.0
10,1291.0,1300.0,971.0
11,1058.0,1500.0,983.0
12,1284.0,1600.0,979.0
13,1603.0,1700.0,997.0
14,995.0,1400.0,969.0
15,1273.0,1400.0,951.0
16,1388.0,1600.0,987.0
17,1306.0,1600.0,973.0
18,1426.0,1500.0,959.0
19,1013.0,1500.0,989.0
20,928.0,1200.0,991.0
21,924.0,1400.0,979.0
22,1213.0,1600.0,961.0
23,701.0,1100.0,963.0
24,1432.0,1700.0,977.0
25,1287.0,1600.0,959.0
26,987.0,1400.0,951.0
27,1075.0,1400.0,967.0
28,973.0,1300.0,991.0
29,529.0,1000.0,983.0
30,1013.0,1200.0,987.0
31,1079.0,1300.0,975.0
32,1083.0,1300.0,951.0
33,1494.0,1800.0,983.0
34,1577.0,1800.0,973.0
35,1457.0,1800.0,965.0
36,586.0,1000.0,981.0
37,985.0,1400.0,969.0
38,1449.0,1700.0,997.0
39,1561.0,1700.0,979.0
40,1177.0,1600.0,989.0
41,862.0,1100.0,953.0
42,1018.0,1300.0,965.0
43,728.0,1000.0,957.0
44,1000.0,1400.0,965.0
45,1195.0,1400.0,989.0
46,1099.0,1100.0,975.0
47,1449.0,1600.0,963.0
48,1114.0,1600.0,989.0
49,1364.0,1700.0,983.0
50,945.0,1400.0,963.0
51,727.0,1100.0,981.0
52,821.0,1200.0,971.0
53,926.0,1400.0,955.0
54,1401.0,1500.0,991.0
55,710.0,1200.0,987.0
56,1195.0,1500.0,993.0
57,1216.0,1600.0,971.0
58,930.0,1100.0,977.0
59,1701.0,1800.0,999.0
60,1689.0,1700.0,997.0
61,858.0,1100.0,969.0
62,864.0,1100.0,953.0
63,1366.0,1500.0,957.0
64,1370.0,1600.0,981.0
65,1452.0,1600.0,993.0
66,1249.0,1500.0,991.0
67,1415.0,1700.0,965.0
68,830.0,1200.0,991.0
69,1587.0,1700.0,973.0
70,1139.0,1600.0,957.0
71,988.0,1400.0,969.0
72,1638.0,1700.0,953.0
73,1356.0,1600.0,991.0
74,1632.0,1700.0,961.0
75,1154.0,1400.0,951.0
