id,demand
1,36085.0
2,31408.0
3,27754.0
4,24592.0
5,21508.0
6,18737.0
7,16268.0
8,14268.0
9,12563.0
10,11106.0
11,9861.0
12,8823.0
13,7906.0
14,7081.0
15,6321.0
16,5589.0
17,5028.0
18,4719.0
19,4378.0
20,4000.0
21,3747.0
22,3511.0
23,3295.0
24,3200.0
25,3079.0
26,3017.0
27,3034.0
28,3235.0
29,3479.0
30,3824.0
31,4213.0
32,4715.0
33,5517.0
34,6576.0
35,8004.0
36,10059.0
37,12157.0
38,14791.0
39,17809.0
40,21195.0
41,24919.0
42,29343.0
43,34195.0
44,38573.0
45,42409.0
46,46741.0
47,50712.0
48,54742.0
49,58850.0
50,62396.0
51,65664.0
52,68105.0
53,70411.0
54,71627.0
55,73451.0
56,74909.0
57,76142.0
58,77507.0
59,79237.0
60,81243.0
61,83374.0
62,85175.0
63,86293.0
64,87098.0
65,88582.0
66,88837.0
67,89660.0
68,90787.0
69,90379.0
70,90046.0
71,90375.0
72,90819.0
73,91343.0
74,90760.0
75,89970.0
76,89633.0
77,89961.0
78,90393.0
79,93029.0
80,95265.0
81,95723.0
82,95420.0
83,94760.0
84,93913.0
85,92639.0
86,91348.0
87,90266.0
88,89284.0
89,88211.0
90,87583.0
91,87773.0
92,86931.0
93,86541.0
94,86085.0
95,86099.0
96,85975.0
97,86293.0
98,86356.0
99,86846.0
100,88480.0
101,89047.0
102,90412.0
103,92773.0
104,94498.0
105,96964.0
106,100355.0
107,103619.0
108,107127.0
109,111208.0
110,113727.0
111,117459.0
112,121927.0
113,128423.0
114,136076.0
115,144482.0
116,151278.0
117,155701.0
118,159808.0
119,161999.0
120,162632.0
121,164296.0
122,166314.0
123,166171.0
124,165293.0
125,166665.0
126,167940.0
127,167241.0
128,165101.0
129,161337.0
130,159232.0
131,154210.0
132,147027.0
133,139904.0
134,129898.0
135,118625.0
136,106991.0
137,95730.0
138,85644.0
139,76796.0
140,67836.0
141,60614.0
142,53639.0
143,47918.0
144,43656.0
