course_id,slot_label
7,D0P0
7,D0P4
7,D1P0
7,D1P4
7,D2P0
7,D2P4
7,D3P0
7,D4P0
15,D0P0
15,D0P2
15,D1P0
15,D1P2
15,D2P0
15,D2P2
15,D3P2
15,D4P2
19,D0P0
19,D0P1
19,D0P2
19,D0P3
19,D0P4
19,D1P0
19,D2P0
19,D3P0
20,D0P0
20,D0P1
20,D1P0
20,D2P0
20,D3P0
20,D4P0
20,D4P2
20,D4P3
20,D4P4
23,D0P0
23,D0P1
23,D0P2
23,D0P3
23,D0P4
23,D1P0
23,D1P1
23,D1P2
23,D4P2
23,D4P3
23,D4P4
24,D0P0
24,D0P1
24,D0P2
24,D1P0
24,D2P0
24,D3P0
24,D4P0
24,D4P4
44,D0P0
44,D0P1
44,D3P4
44,D4P0
44,D4P1
44,D4P2
44,D4P3
44,D4P4
47,D0P0
47,D0P1
47,D0P2
47,D0P3
47,D0P4
47,D4P2
47,D4P3
47,D4P4
49,D0P0
49,D0P1
49,D0P2
49,D4P0
49,D4P1
49,D4P2
49,D4P3
49,D4P4
53,D1P2
53,D1P3
53,D1P4
53,D4P0
53,D4P1
53,D4P2
53,D4P3
53,D4P4
56,D0P2
56,D0P3
56,D0P4
56,D1P2
56,D1P3
56,D1P4
56,D2P2
56,D2P3
56,D2P4
56,D3P2
56,D3P3
56,D3P4
56,D4P2
56,D4P3
56,D4P4
58,D0P0
58,D1P0
58,D2P0
58,D2P2
58,D2P3
58,D2P4
58,D3P0
58,D3P1
58,D3P2
58,D3P3
58,D3P4
61,D0P0
61,D1P0
61,D3P0
61,D4P0
61,D4P1
61,D4P2
61,D4P3
61,D4P4
62,D0P0
62,D0P1
62,D1P0
62,D4P0
62,D4P1
62,D4P2
62,D4P3
62,D4P4
69,D1P2
69,D1P3
69,D1P4
69,D4P0
69,D4P1
69,D4P2
69,D4P3
69,D4P4
72,D0P0
72,D0P1
72,D0P2
72,D0P3
72,D0P4
72,D4P0
72,D4P1
72,D4P2
72,D4P3
72,D4P4
88,D0P0
88,D0P2
88,D1P2
88,D2P2
88,D3P2
88,D3P4
88,D4P2
88,D4P4
95,D3P0
95,D3P1
95,D3P2
95,D3P3
95,D3P4
95,D4P0
95,D4P1
95,D4P2
95,D4P3
95,D4P4
103,D1P4
103,D2P4
103,D3P4
103,D4P0
103,D4P1
103,D4P2
103,D4P3
103,D4P4
110,D0P0
110,D1P0
110,D2P0
110,D2P2
110,D2P3
110,D2P4
110,D3P0
110,D3P1
110,D3P2
110,D3P3
110,D3P4
113,D4P0
113,D4P1
113,D4P2
113,D4P3
113,D4P4
115,D1P2
115,D1P3
115,D1P4
115,D2P2
115,D2P3
115,D2P4
118,D1P0
118,D1P1
118,D1P2
118,D1P3
118,D1P4
118,D4P2
118,D4P3
118,D4P4
129,D3P2
129,D4P2
129,D4P4
131,D2P0
131,D2P1
131,D2P2
131,D2P3
131,D2P4
131,D3P2
131,D4P2
131,D4P4
132,D0P2
132,D1P2
132,D1P4
132,D3P2
132,D3P3
132,D3P4
132,D4P0
132,D4P1
132,D4P2
132,D4P3
132,D4P4
133,D0P2
133,D1P2
133,D1P4
133,D2P0
133,D2P1
133,D2P2
133,D2P3
133,D2P4
133,D3P1
133,D3P2
133,D3P3
152,D0P0
152,D0P1
152,D0P2
152,D3P2
152,D4P0
152,D4P1
152,D4P2
152,D4P3
152,D4P4
153,D0P2
153,D1P2
153,D1P4
153,D2P2
153,D2P3
153,D2P4
153,D3P2
153,D4P2
162,D1P0
162,D1P1
162,D1P2
178,D0P0
178,D0P2
178,D0P3
178,D0P4
178,D1P2
178,D2P2
178,D4P2
191,D0P0
191,D0P1
191,D4P0
191,D4P1
191,D4P2
