course_id,course_name,lectures,min_days
7,C7,3,3
9,C9,3,3
15,C15,3,3
19,C19,3,3
20,C20,3,3
23,C23,3,3
24,C24,3,3
44,C44,3,3
47,C47,3,3
49,C49,3,3
53,C53,3,3
56,C56,3,3
58,C58,3,3
61,C61,3,3
62,C62,3,3
69,C69,3,3
72,C72,3,2
74,C74,3,3
88,C88,5,4
95,C95,3,3
103,C103,3,3
106,C106,3,3
108,C108,3,3
110,C110,3,3
113,C113,3,3
115,C115,3,3
118,C118,3,3
127,C127,3,3
129,C129,3,3
131,C131,3,2
132,C132,3,2
133,C133,5,3
152,C152,3,3
153,C153,3,2
162,C162,3,3
178,C178,3,3
191,C191,3,2
193,C193,3,3
195,C195,3,3
201,C201,3,2
203,C203,3,3
206,C206,3,3
211,C211,3,3
213,C213,3,3
217,C217,3,3
219,C219,3,3
221,C221,3,3
225,C225,3,3
230,C230,3,3
232,C232,3,3
238,C238,3,3
252,C252,3,3
253,C253,3,3
257,C257,3,3
279,C279,3,3
411,C411,3,3
412,C412,3,3
423,C423,3,3
428,C428,3,3
430,C430,3,3
432,C432,3,3
443,C443,3,3
444,C444,3,3
449,C449,3,3
455,C455,3,3
464,C464,3,2
467,C467,3,3
478,C478,3,2
479,C479,3,3
487,C487,3,3
489,C489,3,3
496,C496,3,3
497,C497,3,3
503,C503,3,3
504,C504,3,3
512,C512,3,3
515,C515,4,3
520,C520,3,3
526,C526,3,3
530,C530,3,3
532,C532,3,3
534,C534,3,3
535,C535,3,3
537,C537,3,3
538,C538,3,3
539,C539,3,3
554,C554,3,3
602,C602,3,3
722,C722,3,3
723,C723,3,3
725,C725,3,3
730,C730,3,3
737,C737,3,3
742,C742,3,3
746,C746,3,3
789,C789,3,3
794,C794,3,3
795,C795,3,3
804,C804,3,3
807,C807,3,3
808,C808,3,3
812,C812,3,3
813,C813,3,3
822,C822,3,3
835,C835,3,3
847,C847,3,3
849,C849,3,2
860,C860,7,3
862,C862,7,3
883,C883,7,3
897,C897,3,3
932,C932,3,3
936,C936,3,3
955,C955,7,3
963,C963,7,3
975,C975,7,3
980,C980,7,3
983,C983,7,3
998,C998,3,3
1005,C1005,3,2
1022,C1022,3,3
1041,C1041,3,3
1053,C1053,3,2
1062,C1062,3,3
1064,C1064,7,3
1065,C1065,3,3
1066,C1066,3,3
1069,C1069,3,3
1072,C1072,3,3
1074,C1074,3,3
1077,C1077,3,3
