course_id,capacity,penalty_weight
19,30,1
23,30,10
23,40,2
23,42,6
23,48,2
23,50,10
23,60,5
23,65,5
23,70,5
23,75,3
23,78,22
23,100,11
24,30,8
44,30,10
44,40,2
44,42,6
44,48,2
44,50,10
44,60,5
44,65,5
44,70,5
44,75,3
44,78,22
44,100,10
47,30,10
47,40,2
47,42,6
47,48,2
47,50,10
47,60,5
47,65,5
47,70,5
47,75,3
47,78,22
49,30,10
49,40,2
49,42,6
49,48,2
49,50,5
53,30,10
53,40,2
53,42,6
53,48,2
53,50,10
56,30,10
56,40,2
56,42,6
56,48,2
56,50,10
56,60,5
56,65,5
56,70,5
56,75,3
56,78,22
56,100,10
58,30,10
58,40,2
58,42,6
58,48,2
58,50,10
58,60,5
58,65,5
58,70,5
58,75,3
58,78,22
61,30,10
61,40,2
61,42,6
61,48,2
61,50,5
62,30,10
62,40,2
62,42,6
62,48,2
62,50,5
69,30,10
69,40,2
69,42,6
69,48,2
69,50,10
69,60,5
69,65,5
69,70,5
69,75,3
69,78,22
69,100,10
72,30,10
72,40,2
72,42,6
72,48,2
72,50,10
72,60,5
72,65,5
72,70,5
72,75,3
72,78,22
72,100,27
88,30,10
88,40,2
88,42,6
88,48,2
88,50,10
88,60,5
88,65,5
88,70,5
88,75,3
88,78,7
95,30,10
95,40,2
95,42,6
95,48,2
95,50,10
95,60,5
95,65,5
95,70,5
95,75,3
95,78,12
103,30,10
103,40,2
103,42,6
103,48,2
103,50,10
103,60,5
103,65,5
103,70,5
103,75,3
103,78,2
106,30,10
106,40,2
106,42,6
106,48,2
106,50,10
106,60,5
106,65,5
106,70,5
106,75,3
106,78,22
106,100,47
108,30,10
108,40,2
108,42,6
108,48,2
108,50,10
108,60,5
108,65,5
108,70,5
108,75,3
108,78,12
110,30,10
110,40,2
110,42,6
110,48,2
110,50,10
110,60,5
110,65,5
110,70,5
110,75,3
110,78,22
110,100,60
113,30,10
113,40,2
113,42,6
113,48,2
113,50,10
113,60,5
113,65,5
113,70,5
113,75,3
113,78,22
113,100,25
115,30,10
115,40,2
115,42,6
115,48,2
115,50,10
115,60,5
115,65,5
115,70,5
115,75,3
115,78,22
115,100,36
118,30,3
127,30,10
127,40,2
127,42,6
127,48,2
127,50,10
127,60,5
127,65,5
127,70,5
127,75,3
127,78,12
129,30,10
129,40,2
129,42,6
129,48,2
129,50,10
129,60,5
129,65,5
129,70,5
129,75,3
129,78,22
129,100,5
131,30,10
131,40,2
131,42,6
131,48,2
131,50,10
131,60,5
131,65,5
131,70,5
131,75,3
131,78,22
131,100,5
132,30,10
132,40,2
132,42,6
132,48,2
132,50,10
132,60,5
132,65,5
132,70,5
132,75,3
132,78,22
132,100,5
133,30,10
133,40,2
133,42,6
133,48,2
133,50,10
133,60,5
133,65,5
133,70,5
133,75,3
133,78,22
152,30,10
152,40,2
152,42,6
152,48,2
152,50,10
152,60,5
152,65,5
152,70,5
152,75,3
152,78,22
152,100,5
153,30,10
153,40,2
153,42,6
153,48,2
153,50,10
153,60,5
153,65,5
153,70,5
153,75,3
153,78,22
153,100,5
162,30,10
162,40,2
162,42,6
162,48,2
162,50,10
162,60,5
162,65,5
162,70,5
162,75,3
162,78,22
162,100,2
178,30,10
178,40,2
178,42,6
178,48,2
178,50,10
178,60,5
178,65,5
178,70,5
178,75,3
178,78,12
191,30,10
191,40,2
191,42,6
191,48,2
191,50,10
191,60,5
191,65,5
191,70,5
191,75,3
191,78,2
193,30,10
193,40,2
193,42,6
193,48,2
193,50,10
193,60,5
193,65,5
193,70,5
193,75,3
193,78,22
193,100,6
195,30,10
195,40,2
195,42,6
195,48,2
195,50,10
195,60,5
195,65,5
195,70,5
195,75,3
195,78,12
201,30,10
201,40,2
201,42,6
201,48,2
201,50,10
201,60,5
201,65,5
201,70,5
201,75,3
201,78,22
201,100,5
203,30,10
203,40,2
203,42,6
203,48,2
203,50,10
203,60,5
203,65,5
203,70,5
206,30,10
206,40,2
206,42,6
206,48,2
206,50,10
206,60,5
206,65,5
206,70,5
206,75,3
206,78,12
211,30,10
211,40,2
211,42,6
211,48,2
211,50,10
211,60,5
211,65,5
211,70,5
211,75,3
211,78,22
211,100,30
213,30,10
213,40,2
213,42,6
213,48,2
213,50,10
213,60,5
213,65,5
213,70,5
213,75,3
213,78,22
213,100,30
217,30,10
217,40,2
217,42,6
217,48,2
217,50,10
217,60,5
217,65,5
217,70,5
217,75,3
217,78,20
219,30,10
219,40,2
219,42,6
219,48,2
219,50,10
219,60,5
219,65,5
219,70,5
219,75,3
219,78,5
221,30,10
221,40,2
221,42,6
221,48,2
221,50,10
221,60,5
221,65,5
221,70,5
221,75,3
221,78,20
225,30,10
225,40,2
225,42,6
225,48,2
225,50,10
225,60,5
225,65,5
225,70,5
225,75,3
225,78,5
230,30,10
230,40,2
230,42,6
230,48,2
230,50,10
230,60,5
230,65,5
230,70,5
230,75,3
230,78,22
230,100,13
232,30,10
232,40,2
232,42,6
232,48,2
238,30,10
238,40,2
238,42,6
238,48,2
238,50,10
238,60,5
238,65,5
238,70,5
238,75,3
238,78,22
238,100,30
252,30,10
252,40,2
252,42,6
252,48,2
252,50,10
252,60,5
252,65,5
252,70,5
252,75,3
252,78,22
252,100,20
253,30,10
253,40,2
253,42,6
253,48,2
253,50,10
253,60,5
253,65,5
253,70,5
253,75,3
253,78,7
257,30,10
257,40,2
257,42,6
257,48,2
257,50,10
257,60,5
257,65,5
257,70,5
257,75,3
257,78,22
257,100,57
279,30,10
279,40,2
279,42,6
279,48,2
279,50,10
279,60,5
279,65,5
279,70,5
279,75,3
279,78,22
279,100,5
411,30,10
411,40,2
411,42,6
411,48,2
411,50,7
423,30,10
430,30,10
430,40,2
430,42,6
430,48,2
430,50,10
430,60,5
430,65,3
432,30,10
455,30,10
455,40,2
455,42,6
455,48,2
455,50,10
455,60,5
464,30,10
464,40,2
464,42,6
464,48,2
464,50,10
464,60,5
478,30,10
478,40,2
478,42,6
478,48,2
478,50,3
479,30,7
487,30,8
496,30,1
503,30,1
512,30,10
512,40,2
512,42,6
512,48,2
512,50,10
512,60,5
512,65,4
515,30,10
515,40,2
515,42,6
515,48,2
515,50,10
515,60,5
515,65,5
515,70,5
515,75,3
515,78,21
520,30,10
520,40,2
520,42,6
520,48,2
520,50,10
520,60,5
520,65,5
520,70,5
520,75,3
520,78,22
520,100,12
602,30,10
602,40,1
722,30,10
722,40,2
722,42,6
722,48,2
722,50,10
722,60,5
722,65,5
722,70,5
722,75,3
722,78,2
725,30,10
725,40,2
725,42,6
725,48,2
725,50,10
725,60,5
725,65,4
737,30,7
742,30,5
746,30,10
746,40,2
746,42,6
746,48,2
746,50,10
746,60,5
746,65,5
746,70,5
746,75,3
746,78,22
847,30,10
847,40,2
847,42,6
847,48,2
847,50,10
897,30,10
897,40,2
897,42,6
897,48,2
897,50,1
932,30,10
932,40,2
932,42,6
932,48,2
932,50,10
932,60,5
932,65,5
932,70,5
932,75,3
932,78,12
936,30,10
936,40,1
955,30,10
963,30,10
963,40,2
963,42,6
963,48,2
963,50,5
980,30,10
980,40,2
980,42,6
980,48,2
980,50,10
983,30,10
983,40,2
983,42,6
983,48,2
998,30,10
998,40,2
998,42,6
998,48,2
998,50,10
998,60,5
998,65,5
998,70,5
998,75,3
998,78,9
1005,30,10
1005,40,2
1005,42,6
1005,48,2
1005,50,10
1005,60,5
1005,65,2
1041,30,10
1041,40,2
1041,42,6
1041,48,2
1041,50,10
1041,60,5
1041,65,5
1041,70,5
1041,75,3
1041,78,22
1041,100,60
1062,30,10
1072,30,10
1072,40,2
1072,42,6
1072,48,2
1072,50,10
1077,30,10
1077,40,2
1077,42,2
