course1,course2
7,9
7,23
7,230
9,19
9,23
9,217
9,230
15,19
15,20
15,24
15,230
15,795
15,897
19,20
19,23
19,24
19,88
19,221
19,253
19,835
20,24
23,217
23,219
23,230
24,257
24,520
24,532
24,1005
44,56
44,69
47,53
47,58
47,252
47,730
47,746
49,61
49,62
49,72
49,74
49,479
49,742
49,1069
53,58
53,69
53,746
56,69
56,195
58,110
58,252
58,746
61,62
61,72
61,74
61,742
61,1069
62,72
62,74
62,742
62,1022
62,1069
72,113
72,201
72,203
72,257
72,279
72,464
72,478
72,479
72,520
72,526
72,737
72,1005
74,478
74,479
88,221
88,225
88,232
88,253
88,411
88,412
88,432
88,443
88,932
88,1074
95,108
95,127
103,110
103,113
103,722
106,115
106,118
106,201
106,257
106,279
106,455
106,515
106,520
106,723
106,998
106,1077
108,127
110,113
110,191
110,193
110,252
110,722
113,464
113,520
113,526
113,722
115,118
115,279
115,455
115,467
115,723
115,998
115,1077
118,998
129,131
129,152
129,955
129,975
129,983
131,132
131,152
131,955
131,975
131,983
132,133
132,153
132,883
132,897
132,963
132,980
133,153
133,883
133,963
133,980
152,203
152,955
152,975
152,983
152,1065
153,428
153,478
153,554
153,883
153,897
153,963
153,980
162,221
162,1041
178,195
178,206
191,193
191,252
193,252
193,512
193,515
193,725
193,737
193,936
195,206
201,203
201,257
201,279
201,467
201,515
203,257
203,515
203,1065
211,213
211,238
213,238
217,219
217,230
217,897
219,230
219,860
219,897
221,225
221,232
221,253
221,932
225,232
225,253
225,932
230,430
230,795
230,897
232,411
232,432
232,443
232,932
252,746
253,423
253,428
253,430
253,432
253,449
253,932
257,279
257,467
257,515
257,520
257,526
257,532
257,1005
279,455
279,464
279,467
279,478
279,487
279,496
279,503
279,504
279,602
279,737
279,1053
411,412
411,423
411,432
411,443
411,602
411,795
411,812
411,813
411,835
411,932
411,1074
412,932
412,1074
423,428
423,430
423,432
423,444
423,449
428,430
428,432
428,478
428,554
430,432
430,444
430,449
430,512
430,530
430,725
432,443
432,932
443,932
444,449
455,467
455,478
455,503
455,602
464,489
464,496
464,520
464,554
467,515
467,602
467,794
467,795
467,835
467,1022
478,479
478,497
478,503
478,554
478,602
478,737
478,1069
479,497
479,737
479,1069
487,489
487,496
487,503
487,504
487,730
487,737
487,1053
489,496
489,730
489,737
489,1053
496,737
496,746
496,1053
497,1069
503,504
503,602
512,515
512,530
512,535
512,539
512,725
512,936
515,725
515,936
520,526
520,532
520,534
520,537
520,538
520,1005
526,1005
530,725
532,1005
534,537
534,538
534,1005
535,539
535,725
535,936
535,1077
537,538
537,1005
538,1005
539,725
539,936
602,794
602,795
602,812
602,813
602,835
602,1022
722,936
723,998
725,936
730,737
730,1053
737,1053
789,795
789,808
794,795
794,835
794,1022
795,812
795,813
795,835
795,897
795,1022
804,807
804,808
807,808
808,822
812,813
812,835
813,835
835,1022
847,862
847,897
847,980
847,1041
847,1062
847,1066
847,1072
849,860
849,862
849,1064
849,1065
860,1065
862,1065
897,963
897,980
897,1041
897,1062
897,1072
932,1074
980,1041
980,1072
998,1077
1041,1062
1041,1066
1041,1072
1062,1066
1062,1072
1064,1065
1066,1072
