curriculum_id,course_ids
0,"95,108,127"
1,"103,110,113,722"
2,"106,115,118,998"
3,"106,115,998,1077"
5,"106,115,723,998"
6,"211,213,238"
7,"7,9,23,230"
8,"23,217,230"
9,"9,19,23"
10,"15,19,20,24"
11,"19,88,221,253"
12,"15,230,795,897"
13,"44,56,69"
14,"47,53,58,746"
15,"49,61,62,742"
16,"49,61,62,74"
17,"49,61,62,1069"
18,"49,61,62,72"
20,"23,217,219,230"
21,"217,219,230,897"
22,"88,221,225,232"
23,"221,225,253,932"
24,"221,225"
25,"178,195,206"
26,"110,191,193,252"
27,"201,203,257,515"
28,"201,257,467,515"
29,"106,201,257,515"
30,"129,131,152,975"
31,"129,131,152,955"
32,"129,131,152,983"
33,"132,133,153,883"
34,"132,133,153,980"
35,"132,153,897,963"
36,"132,133,153,963"
37,"162,1041"
38,162
41,"47,58,252,746"
42,"72,201,203,257"
43,"72,201,257"
44,"72,201,257,279"
45,"455,478,503,602"
46,"279,455,478,503,602"
47,"106,115,279,455"
48,"115,279,455,467"
49,"279,464,496"
50,"464,489,496"
51,"72,113,464,520"
52,"464,554"
53,"88,411,412,932,1074"
54,"88,232,411,432,443,932"
55,"253,423,428,430,432"
56,"423,430,444,449"
57,"74,478,479"
58,"478,479,497,1069"
59,"72,478,479,737"
60,"487,489,730,737,1053"
61,"279,487,496,737,1053"
62,"279,487,503,504"
63,"193,512,515,725,936"
64,"430,512,530,725"
65,"512,535,539,725,936"
66,"72,257,520,526,1005"
67,"24,257,520,532,1005"
68,"520,534,537,538,1005"
69,"467,602,794,795,835,1022"
70,"411,602,812,813,835"
71,"411,602,795,812,813,835"
72,"804,807,808"
73,"808,822"
74,"789,808"
75,"847,897,980,1041,1072"
76,"847,897,1041,1062,1072"
77,"847,1041,1062,1066,1072"
78,"849,862,1065"
79,"849,860,1065"
80,"849,1064,1065"
