time_id,demand,spinning_reserve_requirement
1,1579000.0,78.95
2,1557000.0,77.85
3,1558000.0,77.9
4,1551000.0,77.55
5,1546000.0,77.3
6,1553000.0,77.65
7,1550000.0,77.5
8,1543000.0,77.15
9,1552000.0,77.6
10,1551000.0,77.55
11,1585000.0,79.25
12,1590000.0,79.5
13,1587000.0,79.35
14,1572000.0,78.6
15,1573000.0,78.65
16,1587000.0,79.35
17,1566000.0,78.3
18,1562000.0,78.1
19,1592000.0,79.6
20,1599000.0,79.95
21,1601000.0,80.05
22,1601000.0,80.05
23,1594000.0,79.7
24,1585000.0,79.25
25,1545000.0,77.25
26,1496000.0,74.8
27,1546000.0,77.3
28,1545000.0,77.25
29,1539000.0,76.95
30,1540000.0,77.0
31,1546000.0,77.3
32,1540000.0,77.0
33,1550000.0,77.5
34,1548000.0,77.4
35,1583000.0,79.15
36,1590000.0,79.5
37,1593000.0,79.65
38,1572000.0,78.6
39,1578000.0,78.9
40,1594000.0,79.7
41,1575000.0,78.75
42,1571000.0,78.55
43,1575000.0,78.75
44,1564000.0,78.2
45,1578000.0,78.9
46,1595000.0,79.75
47,1581000.0,79.05
48,1576000.0,78.8
49,1596000.0,79.8
50,1575000.0,78.75
51,1574000.0,78.7
52,1563000.0,78.15
53,1555000.0,77.75
54,1562000.0,78.1
55,1548000.0,77.4
56,1537000.0,76.85
57,1547000.0,77.35
58,1545000.0,77.25
59,1571000.0,78.55
60,1580000.0,79.0
61,1583000.0,79.15
62,1566000.0,78.3
63,1566000.0,78.3
64,1582000.0,79.1
65,1561000.0,78.05
66,1565000.0,78.25
67,1589000.0,79.45
68,1584000.0,79.2
69,1596000.0,79.8
70,1606000.0,80.3
71,1593000.0,79.65
72,1589000.0,79.45
73,1593000.0,79.65
74,1571000.0,78.55
75,1569000.0,78.45
76,1562000.0,78.1
77,1552000.0,77.6
78,1558000.0,77.9
79,1554000.0,77.7
80,1543000.0,77.15
81,1548000.0,77.4
82,1543000.0,77.15
83,1565000.0,78.25
84,1575000.0,78.75
85,1580000.0,79.0
86,1566000.0,78.3
87,1562000.0,78.1
88,1586000.0,79.3
89,1573000.0,78.65
90,1583000.0,79.15
91,1613000.0,80.65
92,1624000.0,81.2
93,1617000.0,80.85
94,1630000.0,81.5
95,1619000.0,80.95
96,1602000.0,80.1
97,1586000.0,79.3
98,1568000.0,78.4
99,1564000.0,78.2
100,1563000.0,78.15
101,1555000.0,77.75
102,1559000.0,77.95
103,1568000.0,78.4
104,1557000.0,77.85
105,1564000.0,78.2
106,1560000.0,78.0
107,1584000.0,79.2
108,1594000.0,79.7
109,1595000.0,79.75
110,1558000.0,77.9
111,1564000.0,78.2
112,1597000.0,79.85
113,1583000.0,79.15
114,1575000.0,78.75
115,1590000.0,79.5
116,1570000.0,78.5
117,1568000.0,78.4
118,1596000.0,79.8
119,1583000.0,79.15
120,1580000.0,79.0
121,1578000.0,78.9
122,1558000.0,77.9
123,1558000.0,77.9
124,1541000.0,77.05
125,1530000.0,76.5
126,1538000.0,76.9
127,1526000.0,76.3
128,1501000.0,75.05
129,1470000.0,73.5
130,1482000.0,74.1
131,1503000.0,75.15
132,1508000.0,75.4
133,1525000.0,76.25
134,1507000.0,75.35
135,1506000.0,75.3
136,1522000.0,76.1
137,1507000.0,75.35
138,1501000.0,75.05
139,1521000.0,76.05
140,1567000.0,78.35
141,1579000.0,78.95
142,1590000.0,79.5
143,1575000.0,78.75
144,1574000.0,78.7
145,1575000.0,78.75
146,1555000.0,77.75
147,1555000.0,77.75
148,1551000.0,77.55
149,1542000.0,77.1
150,1550000.0,77.5
151,1553000.0,77.65
152,1543000.0,77.15
153,1497000.0,74.85
154,1497000.0,74.85
155,1516000.0,75.8
156,1523000.0,76.15
157,1523000.0,76.15
158,1508000.0,75.4
159,1510000.0,75.5
160,1525000.0,76.25
161,1527000.0,76.35
162,1528000.0,76.4
163,1544000.0,77.2
164,1545000.0,77.25
165,1580000.0,79.0
166,1570000.0,78.5
167,1550000.0,77.5
168,1551000.0,77.55
