unit_id,event_type,start_time_id,end_time_id,event_cost
ASSET_13,START,2,2,3.399975
ASSET_13,START,3,168,4.5333
ASSET_14,START,2,2,3.399975
ASSET_14,START,3,168,4.5333
ASSET_15,START,2,2,5.3352
ASSET_15,START,3,168,7.1136
ASSET_18,START,2,168,1.29315
ASSET_19,START,2,168,1.29315
ASSET_20,START,2,2,2.461125
ASSET_20,START,3,168,3.2815
ASSET_21,START,2,2,3.2625
ASSET_21,START,3,168,4.35
ASSET_22,START,2,2,3.2878125
ASSET_22,START,3,168,4.38375
ASSET_26,START,2,2,2.938455
ASSET_26,START,3,3,5.22392
ASSET_26,START,4,4,6.856395
ASSET_26,START,5,5,7.83588
ASSET_26,START,6,168,8.162375
ASSET_13,STOP,1,1,7.65624
ASSET_13,STOP,2,167,4.5333
ASSET_13,STOP,168,168,3.399975
ASSET_14,STOP,1,1,8.0592
ASSET_14,STOP,2,167,4.5333
ASSET_14,STOP,168,168,3.399975
ASSET_15,STOP,2,167,7.1136
ASSET_15,STOP,168,168,5.3352
ASSET_18,STOP,1,168,1.29315
ASSET_19,STOP,2,168,1.29315
ASSET_20,STOP,2,167,3.2815
ASSET_20,STOP,168,168,2.461125
ASSET_21,STOP,1,1,6.786
ASSET_21,STOP,2,167,4.35
ASSET_21,STOP,168,168,3.2625
ASSET_22,STOP,1,1,6.95555
ASSET_22,STOP,2,167,4.38375
ASSET_22,STOP,168,168,3.2878125
ASSET_26,STOP,1,1,16.199175
ASSET_26,STOP,2,164,8.162375
ASSET_26,STOP,165,165,7.83588
ASSET_26,STOP,166,166,6.856395
ASSET_26,STOP,167,167,5.22392
ASSET_26,STOP,168,168,2.938455
