unit_id,mode_id,marginal_cost,fixed_cost
ASSET_01,1,0.01798,0.0
ASSET_01,2,0.01695,0.0
ASSET_01,3,0.01621,0.0
ASSET_01,4,0.01568,0.0
ASSET_02,1,0.05543,0.0
ASSET_02,2,0.05439,0.0
ASSET_02,3,0.05462,0.0
ASSET_03,1,0.53244,0.0
ASSET_03,2,0.41802,0.0
ASSET_03,3,0.37596,0.0
ASSET_03,4,0.34076,0.0
ASSET_03,5,0.32706,0.0
ASSET_04,1,0.2448,0.0
ASSET_05,1,0.29532,0.0
ASSET_06,1,0.22914,0.0
ASSET_07,1,0.23423,0.0
ASSET_08,1,0.23352,0.0
ASSET_09,1,0.16238,0.0
ASSET_10,1,0.23975,0.0
ASSET_11,1,0.1406,0.0
ASSET_12,1,0.2584,0.0
ASSET_13,1,0.05037,0.0
ASSET_13,2,0.0489,0.0
ASSET_13,3,0.04954,0.0
ASSET_13,4,0.04959,0.0
ASSET_14,1,0.05037,0.0
ASSET_14,2,0.0489,0.0
ASSET_14,3,0.04954,0.0
ASSET_14,4,0.04959,0.0
ASSET_15,1,0.04121,0.0
ASSET_15,2,0.04067,0.0
ASSET_15,3,0.0398,0.0
ASSET_15,4,0.03917,0.0
ASSET_15,5,0.03803,0.0
ASSET_16,1,0.28004,0.0
ASSET_17,1,0.30765,0.0
ASSET_18,1,0.17242,0.0
ASSET_18,2,0.16357,0.0
ASSET_18,3,0.15372,0.0
ASSET_18,4,0.1493,0.0
ASSET_19,1,0.17242,0.0
ASSET_19,2,0.16357,0.0
ASSET_19,3,0.15372,0.0
ASSET_19,4,0.1493,0.0
ASSET_20,1,0.06563,0.0
ASSET_20,2,0.0655,0.0
ASSET_21,1,0.058,0.0
ASSET_21,2,0.05716,0.0
ASSET_22,1,0.05845,0.0
ASSET_22,2,0.05618,0.0
ASSET_22,3,0.05512,0.0
ASSET_23,1,0.03904,0.0
ASSET_24,1,0.1749,0.0
ASSET_25,1,0.25865,0.0
ASSET_26,1,0.05023,0.0
ASSET_26,2,0.04785,0.0
ASSET_26,3,0.04635,0.0
