C0001,C0002,C0409,4.0,-1.68
C0002,C0003,C0362,4.0,-1.14
C0003,C0004,C0405,4.0,-2.8
C0004,C0005,C0427,4.0,-2.47
C0005,C0006,0,0,1.29
C0006,C0007,C0391,4.0,-2.46
C0007,C0008,C0418,4.0,-2.35
C0008,C0009,C0359,4.0,-1.41
C0009,C0010,0,0,1.35
C0010,C0011,C0400,4.0,-2.08
C0011,C0012,0,0,2.59
C0012,C0013,C0399,4.0,-1.68
C0013,C0014,C0392,4.0,-2.34
C0014,C0015,C0375,4.0,-1.48
C0016,C0017,C0430,4.0,-1.89
C0017,C0018,C0359,4.0,-2.36
C0018,C0019,0,0,2.69
C0019,C0020,0,0,1.3
C0020,C0021,C0381,4.0,-1.34
C0021,C0022,C0376,4.0,-2.61
C0022,C0023,C0386,4.0,-2.55
C0023,C0024,0,0,1.89
C0024,C0025,C0395,4.0,-2.28
C0025,C0026,C0390,4.0,-1.79
C0026,C0027,C0410,4.0,-1.47
C0027,C0028,C0378,4.0,-2.14
C0028,C0029,C0419,4.0,-2.85
C0029,C0030,C0358,4.0,-1.35
C0030,C0031,C0389,4.0,-2.86
C0031,C0032,C0409,4.0,-2.55
C0033,C0034,C0404,4.0,-1.61
C0034,C0035,C0410,4.0,-2.76
C0035,C0036,0,0,2.77
C0036,C0037,C0430,4.0,-1.0
C0037,C0038,C0379,4.0,-1.96
C0038,C0039,0,0,2.56
C0039,C0040,C0401,4.0,-1.74
C0040,C0041,C0357,4.0,-1.48
C0041,C0042,0,0,2.68
C0042,C0043,C0372,4.0,-2.31
C0043,C0044,C0395,4.0,-1.27
C0044,C0045,C0414,4.0,-2.79
C0045,C0046,C0381,4.0,-1.86
C0046,C0047,C0366,4.0,-1.78
C0047,C0048,C0385,4.0,-2.9
C0048,C0049,0,0,1.25
C0050,C0051,0,0,1.08
C0051,C0052,C0421,4.0,-1.59
C0052,C0053,C0378,4.0,-1.43
C0053,C0054,C0417,4.0,-1.77
C0054,C0055,C0412,4.0,-1.78
C0055,C0056,C0409,4.0,-1.34
C0056,C0057,0,0,2.5
C0057,C0058,C0406,4.0,-2.73
C0058,C0059,C0349,4.0,-2.42
C0059,C0060,C0400,4.0,-1.7
C0060,C0061,C0367,4.0,-2.85
C0061,C0062,C0357,4.0,-1.18
C0062,C0063,C0411,4.0,-2.01
C0063,C0064,C0420,4.0,-2.76
