id,gene_id,value
1,1,-18.983611
1,2,-2.551605
1,3,0.303388
1,4,-5.697814
1,5,-1.082992
1,6,-6.927123
1,7,-4.092016
1,8,4.012441
1,9,-9.801393
1,10,7.751355
1,11,4.544512
1,12,5.802156
1,13,-1.749611
1,14,-2.129238
1,15,-2.040937
1,16,-11.789234
1,17,-2.13455
1,18,6.043751
1,19,7.822643
1,20,-1.544791
1,21,-3.538548
1,22,0.09175
1,23,-2.398558
1,24,0.676242
1,25,-10.37949
1,26,6.448474
1,27,0.222024
1,28,-1.558109
1,29,-6.022215
1,30,0.695811
1,31,-10.003222
1,32,5.099579
1,33,0.393914
1,34,1.223398
1,35,-8.225445
1,36,2.646038
1,37,-2.196977
1,38,-8.954453
1,39,-3.596812
1,40,-8.048845
1,41,-3.268725
1,42,4.854752
1,43,-10.410543
1,44,0.982668
1,45,1.915824
1,46,-4.788178
1,47,-8.768004
1,48,0.501857
1,49,-13.703379
1,50,-12.441484
1,51,4.174097
1,52,-12.284841
1,53,-11.453452
1,54,-5.626521
1,55,-5.040723
1,56,5.714003
1,57,-12.619889
1,58,-7.711795
1,59,-4.594451
1,60,-6.517727
1,61,-2.851224
1,62,-4.474379
1,63,1.420493
1,64,-0.406939
1,65,3.547807
1,66,-5.466671
1,67,-8.603336
1,68,-1.520548
1,69,-3.410134
1,70,-3.342205
1,71,-2.713632
1,72,-2.905035
1,73,3.116098
1,74,0.91503
1,75,1.243754
1,76,-4.540216
1,77,-2.162697
1,78,-1.753804
1,79,-4.794021
1,80,-2.504828
1,81,-2.754732
1,82,3.82549
1,83,3.095332
1,84,-13.810483
1,85,-4.89985
1,86,-3.279607
1,87,-14.009377
1,88,-16.157278
1,89,3.553027
1,90,-13.471058
1,91,-1.45681
1,92,-8.385676
1,93,1.144044
1,94,-0.955566
1,95,0.231547
1,96,-0.061151
1,97,-4.962978
1,98,-5.91799
1,99,-2.649513
1,100,-10.185642
1,101,-0.679018
1,102,-11.058516
1,103,-3.340284
1,104,4.334092
1,105,-3.365988
1,106,-8.683662
1,107,-7.554483
1,108,-14.605834
1,109,-8.468676
1,110,-10.341396
1,111,-1.254033
1,112,-6.509494
1,113,-1.099821
1,114,-1.80891
1,115,4.941009
1,116,2.597478
1,117,7.113924
1,118,-5.691053
1,119,-0.051548
1,120,-4.725179
1,121,-3.104758
1,122,5.28457
1,123,2.564267
1,124,-8.13112
1,125,-6.931164
1,126,-15.555032
1,127,4.081256
1,128,-4.590728
1,129,3.604785
1,130,-6.604433
1,131,0.553883
1,132,10.463049
1,133,-10.712317
1,134,-3.121246
1,135,-3.822563
1,136,1.003258
1,137,-0.383747
1,138,-1.238406
1,139,-2.984486
1,140,-1.645199
1,141,-7.521323
1,142,-7.222286
1,143,-1.276335
1,144,0.308364
1,145,-0.223774
1,146,-13.425012
1,147,-1.932062
1,148,-5.3212
1,149,-7.198701
1,150,-16.837997
1,151,1.560661
1,152,-7.302893
1,153,-4.810957
1,154,1.783605
1,155,-2.687634
1,156,-10.572874
1,157,-4.42888
1,158,-4.91919
1,159,1.537484
1,160,-7.889738
1,161,1.190561
1,162,-5.417708
1,163,4.039643
1,164,-5.043235
1,165,-11.08334
1,166,0.769172
1,167,4.973832
1,168,-2.712742
1,169,-3.730671
1,170,5.232317
1,171,-0.51635
1,172,-2.01123
1,173,11.19533
1,174,3.590753
1,175,-8.203685
1,176,4.649791
1,177,-10.388427
1,178,-3.546699
1,179,-7.845185
1,180,0.3034
1,181,32.507623
1,182,32.680373
1,183,32.566599
1,184,32.960339
1,185,32.921865
1,186,33.376308
1,187,32.940487
1,188,32.829324
1,189,33.61219
1,190,32.873721
1,191,32.323006
1,192,32.504775
1,193,33.008055
1,194,32.066934
1,195,33.341773
1,196,31.857947
1,197,32.92478
1,198,33.303455
1,199,32.290003
1,200,32.996765
2,1,-2.551605
2,2,-10.462701
2,3,0.854289
2,4,-0.452123
2,5,5.663445
2,6,0.271491
2,7,1.779835
2,8,1.309124
2,9,5.347331
2,10,-1.037829
2,11,2.745862
2,12,3.035936
2,13,-2.49892
2,14,0.906138
2,15,-4.45499
2,16,-6.163255
2,17,-3.652984
2,18,1.191533
2,19,1.808965
2,20,-5.400336
2,21,-0.026423
2,22,-4.274885
2,23,0.644157
2,24,-1.722126
2,25,4.717839
2,26,-3.39578
2,27,-2.528026
2,28,-5.438471
2,29,-2.468256
2,30,1.077064
2,31,-1.874653
2,32,-5.148317
2,33,4.052741
2,34,4.437215
2,35,-0.775229
2,36,8.166515
2,37,-2.199437
2,38,-3.98116
2,39,-5.315572
2,40,-3.562835
2,41,-3.488962
2,42,5.756943
2,43,-2.166452
2,44,0.646561
2,45,-4.700576
2,46,-1.703537
2,47,4.30947
2,48,3.243673
2,49,4.353975
2,50,-4.444772
2,51,0.737422
2,52,-2.684825
2,53,-6.787009
2,54,-0.111672
2,55,-2.887464
2,56,6.123855
2,57,3.299611
2,58,1.066371
2,59,-1.323633
2,60,0.068539
2,61,0.059089
2,62,2.926817
2,63,-0.520042
2,64,3.628976
2,65,-1.312496
2,66,3.093046
2,67,-0.193945
2,68,-4.051816
2,69,-3.883207
2,70,-4.772377
2,71,-8.188856
2,72,-1.732616
2,73,-7.798696
2,74,5.844035
2,75,1.364536
2,76,3.934065
2,77,1.829017
2,78,-3.806894
2,79,-4.182808
2,80,-3.459955
2,81,-2.752556
2,82,6.172793
2,83,-3.958686
2,84,-6.506338
2,85,-1.59893
2,86,0.194644
2,87,-0.527852
2,88,-1.4868
2,89,5.316908
2,90,-3.973404
2,91,-0.726728
2,92,-0.10989
2,93,-1.447939
2,94,-2.836196
2,95,-4.156768
2,96,-2.744931
2,97,-5.402517
2,98,-2.753814
2,99,2.058946
2,100,0.627314
2,101,-2.898628
2,102,-5.868271
2,103,-1.803289
2,104,-5.512863
2,105,-0.876508
2,106,0.194831
2,107,-5.297789
2,108,-6.347946
2,109,-0.542105
2,110,6.579263
2,111,3.548735
2,112,-4.862423
2,113,2.097382
2,114,2.629602
2,115,-3.477809
2,116,0.569456
2,117,4.682116
2,118,-2.634619
2,119,-1.40166
2,120,-4.982152
2,121,1.024071
2,122,-3.581988
2,123,7.19561
2,124,1.133769
2,125,-2.253911
2,126,-7.609508
2,127,-2.872947
2,128,-4.417095
2,129,-3.312817
2,130,-4.341803
2,131,1.983234
2,132,4.88774
2,133,3.849716
2,134,-1.004603
2,135,6.958366
2,136,-0.055244
2,137,-5.174374
2,138,-3.036639
2,139,-4.475503
2,140,1.542653
2,141,2.932842
2,142,0.898826
2,143,-2.784068
2,144,-3.691642
2,145,-7.646606
