unit_id,event_type,start_time_id,end_time_id,event_cost
DH_UNIT_001,START,2,2,2.034572727272727
DH_UNIT_001,START,3,3,3.6170181818181817
DH_UNIT_001,START,4,4,4.7473363636363635
DH_UNIT_001,START,5,5,5.425527272727272
DH_UNIT_001,START,6,168,5.651590909090909
DH_UNIT_002,START,2,2,2.034572727272727
DH_UNIT_002,START,3,3,3.6170181818181817
DH_UNIT_002,START,4,4,4.7473363636363635
DH_UNIT_002,START,5,5,5.425527272727272
DH_UNIT_002,START,6,168,5.651590909090909
DH_UNIT_003,START,2,2,2.034572727272727
DH_UNIT_003,START,3,3,3.6170181818181817
DH_UNIT_003,START,4,4,4.7473363636363635
DH_UNIT_003,START,5,5,5.425527272727272
DH_UNIT_003,START,6,168,5.651590909090909
DH_UNIT_004,START,2,2,2.034572727272727
DH_UNIT_004,START,3,3,3.6170181818181817
DH_UNIT_004,START,4,4,4.7473363636363635
DH_UNIT_004,START,5,5,5.425527272727272
DH_UNIT_004,START,6,168,5.651590909090909
DH_UNIT_005,START,2,2,2.034572727272727
DH_UNIT_005,START,3,3,3.6170181818181817
DH_UNIT_005,START,4,4,4.7473363636363635
DH_UNIT_005,START,5,5,5.425527272727272
DH_UNIT_005,START,6,168,5.651590909090909
DH_UNIT_010,START,2,2,1.978056818181818
DH_UNIT_010,START,3,3,3.390954545454545
DH_UNIT_010,START,4,4,4.238693181818181
DH_UNIT_010,START,5,168,4.521272727272727
DH_UNIT_011,START,2,2,2.0893806818181817
DH_UNIT_011,START,3,3,3.5817954545454542
DH_UNIT_011,START,4,4,4.477244318181818
DH_UNIT_011,START,5,168,4.775727272727273
DH_UNIT_012,START,2,2,2.0893806818181817
DH_UNIT_012,START,3,3,3.5817954545454542
DH_UNIT_012,START,4,4,4.477244318181818
DH_UNIT_012,START,5,168,4.775727272727273
DH_UNIT_013,START,2,2,2.0893806818181817
DH_UNIT_013,START,3,3,3.5817954545454542
DH_UNIT_013,START,4,4,4.477244318181818
DH_UNIT_013,START,5,168,4.775727272727273
DH_UNIT_014,START,2,2,2.0893806818181817
DH_UNIT_014,START,3,3,3.5817954545454542
DH_UNIT_014,START,4,4,4.477244318181818
DH_UNIT_014,START,5,168,4.775727272727273
DH_UNIT_041,START,2,2,0.35468181818181815
DH_UNIT_041,START,3,168,0.4729090909090909
DH_UNIT_042,START,2,2,0.35468181818181815
DH_UNIT_042,START,3,168,0.4729090909090909
DH_UNIT_043,START,2,2,0.35468181818181815
DH_UNIT_043,START,3,168,0.4729090909090909
DH_UNIT_044,START,2,2,0.35468181818181815
DH_UNIT_044,START,3,168,0.4729090909090909
DH_UNIT_045,START,2,2,0.35468181818181815
DH_UNIT_045,START,3,168,0.4729090909090909
DH_UNIT_061,START,2,168,0.3165795454545454
DH_UNIT_062,START,2,168,0.3165795454545454
DH_UNIT_063,START,2,168,0.3165795454545454
DH_UNIT_064,START,2,168,0.3165795454545454
DH_UNIT_065,START,2,168,0.3165795454545454
DH_UNIT_001,STOP,1,164,5.651590909090909
DH_UNIT_001,STOP,165,165,5.425527272727272
DH_UNIT_001,STOP,166,166,4.7473363636363635
DH_UNIT_001,STOP,167,167,3.6170181818181817
DH_UNIT_001,STOP,168,168,2.034572727272727
DH_UNIT_002,STOP,1,164,5.651590909090909
DH_UNIT_002,STOP,165,165,5.425527272727272
DH_UNIT_002,STOP,166,166,4.7473363636363635
DH_UNIT_002,STOP,167,167,3.6170181818181817
DH_UNIT_002,STOP,168,168,2.034572727272727
DH_UNIT_003,STOP,1,164,5.651590909090909
DH_UNIT_003,STOP,165,165,5.425527272727272
DH_UNIT_003,STOP,166,166,4.7473363636363635
DH_UNIT_003,STOP,167,167,3.6170181818181817
DH_UNIT_003,STOP,168,168,2.034572727272727
DH_UNIT_004,STOP,1,164,5.651590909090909
DH_UNIT_004,STOP,165,165,5.425527272727272
DH_UNIT_004,STOP,166,166,4.7473363636363635
DH_UNIT_004,STOP,167,167,3.6170181818181817
DH_UNIT_004,STOP,168,168,2.034572727272727
DH_UNIT_005,STOP,1,164,5.651590909090909
DH_UNIT_005,STOP,165,165,5.425527272727272
DH_UNIT_005,STOP,166,166,4.7473363636363635
DH_UNIT_005,STOP,167,167,3.6170181818181817
DH_UNIT_005,STOP,168,168,2.034572727272727
DH_UNIT_010,STOP,1,165,4.521272727272727
DH_UNIT_010,STOP,166,166,4.238693181818181
DH_UNIT_010,STOP,167,167,3.390954545454545
DH_UNIT_010,STOP,168,168,1.978056818181818
DH_UNIT_011,STOP,1,165,4.775727272727273
DH_UNIT_011,STOP,166,166,4.477244318181818
DH_UNIT_011,STOP,167,167,3.5817954545454542
DH_UNIT_011,STOP,168,168,2.0893806818181817
DH_UNIT_012,STOP,1,165,4.775727272727273
DH_UNIT_012,STOP,166,166,4.477244318181818
DH_UNIT_012,STOP,167,167,3.5817954545454542
DH_UNIT_012,STOP,168,168,2.0893806818181817
DH_UNIT_013,STOP,1,165,4.775727272727273
DH_UNIT_013,STOP,166,166,4.477244318181818
DH_UNIT_013,STOP,167,167,3.5817954545454542
DH_UNIT_013,STOP,168,168,2.0893806818181817
DH_UNIT_014,STOP,1,165,4.775727272727273
DH_UNIT_014,STOP,166,166,4.477244318181818
DH_UNIT_014,STOP,167,167,3.5817954545454542
DH_UNIT_014,STOP,168,168,2.0893806818181817
DH_UNIT_041,STOP,2,167,0.4729090909090909
DH_UNIT_041,STOP,168,168,0.35468181818181815
DH_UNIT_042,STOP,2,167,0.4729090909090909
DH_UNIT_042,STOP,168,168,0.35468181818181815
DH_UNIT_043,STOP,2,167,0.4729090909090909
DH_UNIT_043,STOP,168,168,0.35468181818181815
DH_UNIT_044,STOP,2,167,0.4729090909090909
DH_UNIT_044,STOP,168,168,0.35468181818181815
DH_UNIT_045,STOP,2,167,0.4729090909090909
DH_UNIT_045,STOP,168,168,0.35468181818181815
DH_UNIT_061,STOP,2,168,0.3165795454545454
DH_UNIT_062,STOP,2,168,0.3165795454545454
DH_UNIT_063,STOP,2,168,0.3165795454545454
DH_UNIT_064,STOP,2,168,0.3165795454545454
DH_UNIT_065,STOP,2,168,0.3165795454545454
