time_id,demand,spinning_reserve_requirement
1,7000.0,700.0
2,7500.0,750.0
3,8500.0,850.0
4,9500.0,950.0
5,10000.0,1000.0
6,11000.0,1100.0
7,11500.0,1150.0
8,12000.0,1200.0
9,13000.0,1300.0
10,14000.0,1400.0
11,14500.0,1450.0
12,15000.0,1500.0
13,14000.0,1400.0
14,13000.0,1300.0
15,12000.0,1200.0
16,10500.0,1050.0
17,10000.0,1000.0
18,11000.0,1100.0
19,12000.0,1200.0
20,14000.0,1400.0
21,13000.0,1300.0
22,11000.0,1100.0
23,9000.0,900.0
24,8000.0,800.0
25,7000.0,700.0
26,7500.0,750.0
27,8500.0,850.0
28,9500.0,950.0
29,10000.0,1000.0
30,11000.0,1100.0
31,11500.0,1150.0
32,12000.0,1200.0
33,13000.0,1300.0
34,14000.0,1400.0
35,14500.0,1450.0
36,15000.0,1500.0
37,14000.0,1400.0
38,13000.0,1300.0
39,12000.0,1200.0
40,10500.0,1050.0
41,10000.0,1000.0
42,11000.0,1100.0
43,12000.0,1200.0
44,14000.0,1400.0
45,13000.0,1300.0
46,11000.0,1100.0
47,9000.0,900.0
48,8000.0,800.0
49,7000.0,700.0
50,7500.0,750.0
51,8500.0,850.0
52,9500.0,950.0
53,10000.0,1000.0
54,11000.0,1100.0
55,11500.0,1150.0
56,12000.0,1200.0
57,13000.0,1300.0
58,14000.0,1400.0
59,14500.0,1450.0
60,15000.0,1500.0
61,14000.0,1400.0
62,13000.0,1300.0
63,12000.0,1200.0
64,10500.0,1050.0
65,10000.0,1000.0
66,11000.0,1100.0
67,12000.0,1200.0
68,14000.0,1400.0
69,13000.0,1300.0
70,11000.0,1100.0
71,9000.0,900.0
72,8000.0,800.0
73,7000.0,700.0
74,7500.0,750.0
75,8500.0,850.0
76,9500.0,950.0
77,10000.0,1000.0
78,11000.0,1100.0
79,11500.0,1150.0
80,12000.0,1200.0
81,13000.0,1300.0
82,14000.0,1400.0
83,14500.0,1450.0
84,15000.0,1500.0
85,14000.0,1400.0
86,13000.0,1300.0
87,12000.0,1200.0
88,10500.0,1050.0
89,10000.0,1000.0
90,11000.0,1100.0
91,12000.0,1200.0
92,14000.0,1400.0
93,13000.0,1300.0
94,11000.0,1100.0
95,9000.0,900.0
96,8000.0,800.0
97,7000.0,700.0
98,7500.0,750.0
99,8500.0,850.0
100,9500.0,950.0
101,10000.0,1000.0
102,11000.0,1100.0
103,11500.0,1150.0
104,12000.0,1200.0
105,13000.0,1300.0
106,14000.0,1400.0
107,14500.0,1450.0
108,15000.0,1500.0
109,14000.0,1400.0
110,13000.0,1300.0
111,12000.0,1200.0
112,10500.0,1050.0
113,10000.0,1000.0
114,11000.0,1100.0
115,12000.0,1200.0
116,14000.0,1400.0
117,13000.0,1300.0
118,11000.0,1100.0
119,9000.0,900.0
120,8000.0,800.0
121,7000.0,700.0
122,7500.0,750.0
123,8500.0,850.0
124,9500.0,950.0
125,10000.0,1000.0
126,11000.0,1100.0
127,11500.0,1150.0
128,12000.0,1200.0
129,13000.0,1300.0
130,14000.0,1400.0
131,14500.0,1450.0
132,15000.0,1500.0
133,14000.0,1400.0
134,13000.0,1300.0
135,12000.0,1200.0
136,10500.0,1050.0
137,10000.0,1000.0
138,11000.0,1100.0
139,12000.0,1200.0
140,14000.0,1400.0
141,13000.0,1300.0
142,11000.0,1100.0
143,9000.0,900.0
144,8000.0,800.0
145,7000.0,700.0
146,7500.0,750.0
147,8500.0,850.0
148,9500.0,950.0
149,10000.0,1000.0
150,11000.0,1100.0
151,11500.0,1150.0
152,12000.0,1200.0
153,13000.0,1300.0
154,14000.0,1400.0
155,14500.0,1450.0
156,15000.0,1500.0
157,14000.0,1400.0
158,13000.0,1300.0
159,12000.0,1200.0
160,10500.0,1050.0
161,10000.0,1000.0
162,11000.0,1100.0
163,12000.0,1200.0
164,14000.0,1400.0
165,13000.0,1300.0
166,11000.0,1100.0
167,9000.0,900.0
168,8000.0,800.0
