unit_id,mode_id,marginal_cost,fixed_cost
DH_UNIT_001,1,0.0,0.0
DH_UNIT_002,1,0.0,0.0
DH_UNIT_003,1,0.0,0.0
DH_UNIT_004,1,0.0,0.0
DH_UNIT_005,1,0.0,0.0
DH_UNIT_006,1,0.0,0.0
DH_UNIT_007,1,0.0,0.0
DH_UNIT_008,1,0.0,0.0
DH_UNIT_009,1,0.0,0.0
DH_UNIT_010,1,0.0,0.0
DH_UNIT_011,1,0.0,0.0
DH_UNIT_012,1,0.0,0.0
DH_UNIT_013,1,0.0,0.0
DH_UNIT_014,1,0.0,0.0
DH_UNIT_015,1,0.0,0.0
DH_UNIT_016,1,0.0,0.0
DH_UNIT_017,1,0.0,0.0
DH_UNIT_018,1,0.0,0.0
DH_UNIT_019,1,0.0,0.0
DH_UNIT_020,1,0.0,0.0
DH_UNIT_021,1,0.0,0.0
DH_UNIT_022,1,0.0,0.0
DH_UNIT_023,1,0.0,0.0
DH_UNIT_024,1,0.0,0.0
DH_UNIT_025,1,0.0,0.0
DH_UNIT_026,1,0.0,0.0
DH_UNIT_027,1,0.0,0.0
DH_UNIT_028,1,0.0,0.0
DH_UNIT_029,1,0.0,0.0
DH_UNIT_030,1,0.0,0.0
DH_UNIT_031,1,0.0,0.0
DH_UNIT_032,1,0.0,0.0
DH_UNIT_033,1,0.0,0.0
DH_UNIT_034,1,0.0,0.0
DH_UNIT_035,1,0.0,0.0
DH_UNIT_036,1,0.0,0.0
DH_UNIT_037,1,0.0,0.0
DH_UNIT_038,1,0.0,0.0
DH_UNIT_039,1,0.0,0.0
DH_UNIT_040,1,0.0,0.0
DH_UNIT_041,1,0.0,0.0
DH_UNIT_042,1,0.0,0.0
DH_UNIT_043,1,0.0,0.0
DH_UNIT_044,1,0.0,0.0
DH_UNIT_045,1,0.0,0.0
DH_UNIT_046,1,0.0,0.0
DH_UNIT_047,1,0.0,0.0
DH_UNIT_048,1,0.0,0.0
DH_UNIT_049,1,0.0,0.0
DH_UNIT_050,1,0.0,0.0
DH_UNIT_051,1,0.0,0.0
DH_UNIT_052,1,0.0,0.0
DH_UNIT_053,1,0.0,0.0
DH_UNIT_054,1,0.0,0.0
DH_UNIT_055,1,0.0,0.0
DH_UNIT_056,1,0.0,0.0
DH_UNIT_057,1,0.0,0.0
DH_UNIT_058,1,0.0,0.0
DH_UNIT_059,1,0.0,0.0
DH_UNIT_060,1,0.0,0.0
DH_UNIT_061,1,0.0,0.0
DH_UNIT_062,1,0.0,0.0
DH_UNIT_063,1,0.0,0.0
DH_UNIT_064,1,0.0,0.0
DH_UNIT_065,1,0.0,0.0
DH_UNIT_066,1,0.0,0.0
DH_UNIT_067,1,0.0,0.0
DH_UNIT_068,1,0.0,0.0
DH_UNIT_069,1,0.0,0.0
DH_UNIT_070,1,0.0,0.0
DH_UNIT_071,1,0.0,0.0
DH_UNIT_072,1,0.0,0.0
DH_UNIT_073,1,0.0,0.0
DH_UNIT_074,1,0.0,0.0
DH_UNIT_075,1,0.0,0.0
DH_UNIT_076,1,0.0,0.0
DH_UNIT_077,1,0.0,0.0
DH_UNIT_078,1,0.0,0.0
DH_UNIT_079,1,0.0,0.0
DH_UNIT_080,1,0.0,0.0
DH_UNIT_081,1,0.0,0.0
DH_UNIT_082,1,0.0,0.0
DH_UNIT_083,1,0.0,0.0
DH_UNIT_084,1,0.0,0.0
DH_UNIT_085,1,0.0,0.0
DH_UNIT_086,1,0.0,0.0
DH_UNIT_087,1,0.0,0.0
DH_UNIT_088,1,0.0,0.0
DH_UNIT_089,1,0.0,0.0
DH_UNIT_090,1,0.0,0.0
DH_UNIT_091,1,0.0,0.0
DH_UNIT_092,1,0.0,0.0
DH_UNIT_093,1,0.0,0.0
DH_UNIT_094,1,0.0,0.0
DH_UNIT_095,1,0.0,0.0
DH_UNIT_096,1,0.0,0.0
DH_UNIT_097,1,0.0,0.0
DH_UNIT_098,1,0.0,0.0
DH_UNIT_099,1,0.0,0.0
DH_UNIT_100,1,0.0,0.0
