warehouse_id,store_id,variable_cost,fixed_cost,capacity
0,0,1.0,225.0,2.0
0,1,1.0,91.0,8.0
0,2,7.0,203.0,2.0
0,3,7.0,179.0,3.0
0,4,7.0,233.0,19.0
0,5,10.0,77.0,5.0
0,6,10.0,240.0,15.0
0,7,10.0,147.0,24.0
0,8,9.0,180.0,24.0
0,9,9.0,227.0,9.0
0,10,5.0,200.0,3.0
0,11,9.0,87.0,21.0
0,12,2.0,263.0,2.0
0,13,3.0,250.0,24.0
0,14,8.0,121.0,5.0
0,15,8.0,101.0,24.0
0,16,2.0,156.0,9.0
0,17,10.0,170.0,7.0
0,18,7.0,219.0,24.0
0,19,4.0,189.0,7.0
0,20,9.0,102.0,24.0
1,0,4.0,187.0,2.0
1,1,10.0,170.0,8.0
1,2,1.0,132.0,2.0
1,3,1.0,171.0,3.0
1,4,3.0,81.0,19.0
1,5,10.0,112.0,5.0
1,6,2.0,157.0,15.0
1,7,2.0,172.0,19.0
1,8,7.0,167.0,19.0
1,9,9.0,206.0,9.0
1,10,10.0,76.0,3.0
1,11,5.0,105.0,19.0
1,12,6.0,84.0,2.0
1,13,9.0,242.0,19.0
1,14,2.0,143.0,5.0
1,15,10.0,170.0,19.0
1,16,5.0,212.0,9.0
1,17,3.0,91.0,7.0
1,18,4.0,246.0,19.0
1,19,2.0,196.0,7.0
1,20,3.0,91.0,19.0
2,0,10.0,123.0,2.0
2,1,4.0,202.0,8.0
2,2,1.0,237.0,2.0
2,3,3.0,81.0,3.0
2,4,10.0,136.0,19.0
2,5,1.0,199.0,5.0
2,6,8.0,162.0,15.0
2,7,8.0,244.0,31.0
2,8,6.0,98.0,31.0
2,9,2.0,157.0,9.0
2,10,7.0,220.0,3.0
2,11,2.0,196.0,21.0
2,12,4.0,68.0,2.0
2,13,2.0,183.0,29.0
2,14,5.0,117.0,5.0
2,15,9.0,122.0,31.0
2,16,7.0,150.0,9.0
2,17,6.0,137.0,7.0
2,18,10.0,170.0,27.0
2,19,4.0,70.0,7.0
