unit_id,mode_id,marginal_cost,fixed_cost
GEN_019,1,0.05543,0.0
GEN_019,2,0.05439,0.0
GEN_019,3,0.05462,0.0
GEN_024,1,0.2448,0.0
GEN_027,1,0.22914,0.0
GEN_028,1,0.23423,0.0
GEN_029,1,0.23352,0.0
GEN_030,1,0.16238,0.0
GEN_031,1,0.23975,0.0
GEN_035,1,0.05037,0.0
GEN_035,2,0.0489,0.0
GEN_035,3,0.04954,0.0
GEN_035,4,0.04959,0.0
GEN_038,1,0.05037,0.0
GEN_038,2,0.0489,0.0
GEN_038,3,0.04954,0.0
GEN_038,4,0.04959,0.0
GEN_051,1,0.17242,0.0
GEN_051,2,0.16357,0.0
GEN_051,3,0.15372,0.0
GEN_051,4,0.1493,0.0
GEN_052,1,0.17242,0.0
GEN_052,2,0.16357,0.0
GEN_052,3,0.15372,0.0
GEN_052,4,0.1493,0.0
GEN_054,1,0.06563,0.0
GEN_054,2,0.0655,0.0
GEN_057,1,0.06209,0.0
GEN_057,2,0.06248,0.0
GEN_057,3,0.06274,0.0
GEN_061,1,0.12649,0.0
GEN_064,1,0.12649,0.0
GEN_072,1,0.1749,0.0
GEN_081,1,0.1749,0.0
GEN_089,1,0.17783,0.0
GEN_089,2,0.16807,0.0
GEN_097,1,0.25865,0.0
GEN_099,1,0.0507,0.0
GEN_099,2,0.04828,0.0
GEN_099,3,0.04681,0.0
GEN_102,1,0.05023,0.0
GEN_102,2,0.04785,0.0
GEN_102,3,0.04635,0.0
