unit_id,mode_id,min_output,max_output
GEN_019,1,100.0,112.6
GEN_019,2,112.7,135.2
GEN_019,3,135.3,158.0
GEN_024,1,2.1,16.8
GEN_027,1,2.1,8.4
GEN_028,1,0.999,2.997
GEN_029,1,1.462,2.924
GEN_030,1,5.936,5.937
GEN_031,1,1.462,2.924
GEN_035,1,90.0,96.9
GEN_035,2,97.0,134.9
GEN_035,3,135.0,152.4
GEN_035,4,152.5,165.9
GEN_038,1,90.0,96.9
GEN_038,2,97.0,134.9
GEN_038,3,135.0,152.4
GEN_038,4,152.5,175.0
GEN_051,1,15.0,18.5
GEN_051,2,18.6,26.0
GEN_051,3,26.1,33.6
GEN_051,4,33.7,37.5
GEN_052,1,15.0,18.5
GEN_052,2,18.6,26.0
GEN_052,3,26.1,33.6
GEN_052,4,33.7,37.5
GEN_054,1,50.0,70.0
GEN_054,2,70.1,85.3
GEN_057,1,50.0,70.0
GEN_057,2,70.1,75.0
GEN_057,3,75.1,85.5
GEN_061,1,90.0,128.3
GEN_064,1,75.0,130.3
GEN_072,1,155.0,196.81
GEN_081,1,155.0,196.81
GEN_089,1,310.0,328.0
GEN_089,2,328.1,330.0
GEN_097,1,1.03,5.16
GEN_099,1,65.0,79.4
GEN_099,2,79.5,105.8
GEN_099,3,105.9,136.3
GEN_102,1,65.0,79.4
GEN_102,2,79.5,105.8
GEN_102,3,105.9,141.04
