time_id,lower_bound,upper_bound
0,15055.0,22255.0
1,20410.0,27610.0
2,19501.0,26701.0
3,24113.0,31313.0
4,17637.0,24837.0
5,10268.0,17468.0
6,25137.0,32337.0
7,21255.0,28455.0
8,25776.0,32976.0
9,28635.0,35835.0
10,3600.0,8732.0
11,29188.0,36388.0
12,11858.0,19058.0
13,26581.0,33781.0
14,29129.0,36329.0
15,24330.0,31530.0
16,10118.0,17318.0
17,13424.0,20624.0
18,7026.0,14226.0
19,25476.0,32676.0
20,19124.0,26324.0
21,14411.0,21611.0
22,18367.0,25567.0
23,29851.0,37051.0
24,11368.0,18568.0
25,7890.0,15090.0
26,21869.0,29069.0
27,30712.0,37912.0
28,11229.0,18429.0
29,19227.0,26427.0
30,11582.0,18782.0
31,18012.0,25212.0
32,15565.0,22765.0
33,9173.0,16373.0
34,31352.0,38552.0
35,11701.0,18901.0
36,19929.0,27129.0
37,32779.0,39979.0
38,9685.0,16885.0
39,27311.0,34511.0
40,13194.0,20394.0
41,34074.0,41274.0
42,6763.0,13963.0
43,12362.0,19562.0
44,20970.0,28170.0
45,5841.0,13041.0
46,22739.0,29939.0
47,5336.0,12536.0
48,33621.0,40821.0
49,17169.0,24369.0
50,19238.0,26438.0
51,10613.0,17813.0
52,23256.0,30456.0
53,4882.0,12082.0
54,22790.0,29990.0
55,5693.0,12893.0
56,27189.0,34389.0
57,10665.0,17865.0
58,13984.0,21184.0
59,20104.0,27304.0
60,3769.0,10228.0
61,9780.0,16980.0
62,24783.0,31983.0
63,19663.0,26863.0
64,27207.0,34407.0
