chassis_id,time_id,assignment_coefficient
40,0,37358.3999633789
41,1,37358.3999633789
42,2,37358.3999633789
43,3,38400.6003570557
44,4,38400.6003570557
45,5,37358.3999633789
46,6,37358.3999633789
47,7,37358.3999633789
48,8,37358.3999633789
49,9,37358.3999633789
50,10,37358.3999633789
51,11,37358.3999633789
52,12,37358.3999633789
53,13,37358.3999633789
54,14,38683.800201416
55,15,37358.3999633789
56,16,38400.6003570557
57,17,37358.3999633789
58,18,37358.3999633789
59,19,38546.9145584106
60,20,38400.6003570557
61,21,38400.6003570557
62,22,37358.3999633789
63,23,38400.6003570557
64,24,37358.3999633789
65,25,37358.3999633789
66,26,38400.6003570557
67,27,38400.6003570557
68,28,37358.3999633789
69,29,37358.3999633789
70,30,37358.3999633789
71,31,37358.3999633789
72,32,37358.3999633789
73,33,37358.3999633789
74,34,37358.3999633789
75,35,38400.6003570557
76,36,38683.800201416
77,37,38400.6003570557
78,38,37358.3999633789
79,39,38400.6003570557
80,40,38400.6003570557
81,41,38400.6003570557
82,42,37358.3999633789
83,43,38400.6003570557
84,44,38400.6003570557
85,45,37358.3999633789
86,46,38400.6003570557
87,47,37358.3999633789
88,48,38400.6003570557
89,49,37358.3999633789
90,50,37358.3999633789
91,51,38400.6003570557
92,52,37358.3999633789
93,53,37358.3999633789
94,54,38400.6003570557
95,55,37358.3999633789
96,56,38400.6003570557
97,57,37358.3999633789
98,58,38400.6003570557
99,59,37358.3999633789
100,60,37358.3999633789
101,61,38400.6003570557
102,62,38400.6003570557
103,63,37358.3999633789
104,64,38400.6003570557
