unit_id,start_location_id
0,148
1,159
2,150
3,146
4,155
5,145
6,156
7,152
8,154
9,151
10,149
11,158
12,147
13,153
14,157
15,13
16,22
17,0
18,20
19,23
20,19
21,4
22,8
23,5
24,16
25,7
26,1
27,11
28,21
29,3
30,6
31,14
32,15
33,10
34,2
35,17
36,24
37,12
38,9
39,18
40,31
41,30
42,32
43,38
44,39
45,44
46,46
47,40
48,42
49,26
50,47
51,37
52,36
53,28
54,35
55,49
56,43
57,34
58,48
59,25
60,33
61,27
62,41
63,29
64,45
65,73
66,59
67,58
68,56
69,69
70,57
71,50
72,61
73,71
74,65
75,72
76,70
77,63
78,74
79,67
80,51
81,64
82,52
83,62
84,60
85,53
86,68
87,66
88,54
89,55
90,84
91,90
92,86
93,78
94,98
95,88
96,97
97,79
98,81
99,94
100,93
101,99
102,75
103,77
104,76
105,82
106,96
107,92
108,85
109,80
110,91
111,87
112,89
113,95
114,83
115,102
116,109
117,114
118,107
119,104
120,105
121,110
122,108
123,100
124,106
125,112
126,113
127,101
128,111
129,103
130,127
131,123
132,129
133,115
134,122
135,118
136,128
137,126
138,116
139,125
140,119
141,121
142,117
143,124
144,120
145,136
146,138
147,133
148,135
149,141
150,134
151,142
152,132
153,140
154,131
155,130
156,137
157,139
158,144
159,143
