rule_id,location_id,wave_id,rule_kind
br_000_0,0,0,EXCHANGE_ONLY
br_000_1,0,1,EXCHANGE_ONLY
br_000_3,0,3,EXCHANGE_ONLY
br_001_0,1,0,EXCHANGE_ONLY
br_001_1,1,1,EXCHANGE_ONLY
br_001_2,1,2,EXCHANGE_ONLY
br_001_3,1,3,EXCHANGE_ONLY
br_001_4,1,4,EXCHANGE_ONLY
br_002_1,2,1,EXCHANGE_ONLY
br_002_2,2,2,EXCHANGE_ONLY
br_002_3,2,3,EXCHANGE_ONLY
br_002_4,2,4,EXCHANGE_ONLY
br_003_0,3,0,EXCHANGE_ONLY
br_003_2,3,2,EXCHANGE_ONLY
br_004_0,4,0,EXCHANGE_ONLY
br_004_1,4,1,EXCHANGE_ONLY
br_004_3,4,3,EXCHANGE_ONLY
br_004_4,4,4,EXCHANGE_ONLY
br_005_0,5,0,EXCHANGE_ONLY
br_005_1,5,1,EXCHANGE_ONLY
br_005_3,5,3,EXCHANGE_ONLY
br_006_1,6,1,EXCHANGE_ONLY
br_006_4,6,4,EXCHANGE_ONLY
br_007_0,7,0,EXCHANGE_ONLY
br_007_1,7,1,EXCHANGE_ONLY
br_007_2,7,2,EXCHANGE_ONLY
br_007_3,7,3,EXCHANGE_ONLY
br_007_4,7,4,EXCHANGE_ONLY
br_008_4,8,4,EXCHANGE_ONLY
br_009_1,9,1,EXCHANGE_ONLY
br_009_3,9,3,EXCHANGE_ONLY
br_009_4,9,4,EXCHANGE_ONLY
br_010_0,10,0,EXCHANGE_ONLY
br_010_2,10,2,EXCHANGE_ONLY
br_010_3,10,3,EXCHANGE_ONLY
br_011_1,11,1,EXCHANGE_ONLY
br_011_2,11,2,EXCHANGE_ONLY
br_011_3,11,3,EXCHANGE_ONLY
br_012_0,12,0,EXCHANGE_ONLY
br_012_2,12,2,EXCHANGE_ONLY
br_012_3,12,3,EXCHANGE_ONLY
br_012_4,12,4,EXCHANGE_ONLY
br_013_2,13,2,EXCHANGE_ONLY
br_013_3,13,3,EXCHANGE_ONLY
br_013_4,13,4,EXCHANGE_ONLY
br_014_0,14,0,EXCHANGE_ONLY
br_014_1,14,1,EXCHANGE_ONLY
br_014_2,14,2,EXCHANGE_ONLY
br_014_3,14,3,EXCHANGE_ONLY
br_014_4,14,4,EXCHANGE_ONLY
br_015_1,15,1,EXCHANGE_ONLY
br_015_2,15,2,EXCHANGE_ONLY
br_015_3,15,3,EXCHANGE_ONLY
br_015_4,15,4,EXCHANGE_ONLY
br_016_0,16,0,EXCHANGE_ONLY
br_016_1,16,1,EXCHANGE_ONLY
br_016_2,16,2,EXCHANGE_ONLY
br_016_4,16,4,EXCHANGE_ONLY
br_017_1,17,1,EXCHANGE_ONLY
br_017_2,17,2,EXCHANGE_ONLY
br_018_2,18,2,EXCHANGE_ONLY
br_018_3,18,3,EXCHANGE_ONLY
br_018_4,18,4,EXCHANGE_ONLY
br_019_0,19,0,EXCHANGE_ONLY
br_019_1,19,1,EXCHANGE_ONLY
br_019_3,19,3,EXCHANGE_ONLY
br_019_4,19,4,EXCHANGE_ONLY
br_020_1,20,1,EXCHANGE_ONLY
br_020_2,20,2,EXCHANGE_ONLY
br_020_3,20,3,EXCHANGE_ONLY
br_021_2,21,2,EXCHANGE_ONLY
br_021_3,21,3,EXCHANGE_ONLY
br_022_0,22,0,EXCHANGE_ONLY
br_022_1,22,1,EXCHANGE_ONLY
br_022_2,22,2,EXCHANGE_ONLY
br_022_3,22,3,EXCHANGE_ONLY
br_022_4,22,4,EXCHANGE_ONLY
br_023_0,23,0,EXCHANGE_ONLY
br_023_1,23,1,EXCHANGE_ONLY
br_023_2,23,2,EXCHANGE_ONLY
br_023_3,23,3,EXCHANGE_ONLY
br_023_4,23,4,EXCHANGE_ONLY
br_024_2,24,2,EXCHANGE_ONLY
br_024_3,24,3,EXCHANGE_ONLY
br_025_0,25,0,EXCHANGE_ONLY
br_025_1,25,1,EXCHANGE_ONLY
br_025_3,25,3,EXCHANGE_ONLY
br_025_4,25,4,EXCHANGE_ONLY
br_026_0,26,0,EXCHANGE_ONLY
br_026_1,26,1,EXCHANGE_ONLY
br_026_3,26,3,EXCHANGE_ONLY
br_026_4,26,4,EXCHANGE_ONLY
br_027_1,27,1,EXCHANGE_ONLY
br_028_1,28,1,EXCHANGE_ONLY
br_028_2,28,2,EXCHANGE_ONLY
br_028_3,28,3,EXCHANGE_ONLY
br_029_0,29,0,EXCHANGE_ONLY
br_029_4,29,4,EXCHANGE_ONLY
br_030_1,30,1,EXCHANGE_ONLY
br_030_3,30,3,EXCHANGE_ONLY
br_030_4,30,4,EXCHANGE_ONLY
br_031_0,31,0,EXCHANGE_ONLY
br_031_1,31,1,EXCHANGE_ONLY
br_031_2,31,2,EXCHANGE_ONLY
br_031_3,31,3,EXCHANGE_ONLY
br_031_4,31,4,EXCHANGE_ONLY
br_032_1,32,1,EXCHANGE_ONLY
br_033_0,33,0,EXCHANGE_ONLY
br_033_2,33,2,EXCHANGE_ONLY
br_033_3,33,3,EXCHANGE_ONLY
br_034_2,34,2,EXCHANGE_ONLY
br_034_3,34,3,EXCHANGE_ONLY
br_034_4,34,4,EXCHANGE_ONLY
br_035_0,35,0,EXCHANGE_ONLY
br_035_4,35,4,EXCHANGE_ONLY
br_036_1,36,1,EXCHANGE_ONLY
br_036_3,36,3,EXCHANGE_ONLY
br_037_2,37,2,EXCHANGE_ONLY
br_037_3,37,3,EXCHANGE_ONLY
br_037_4,37,4,EXCHANGE_ONLY
br_038_0,38,0,EXCHANGE_ONLY
br_038_1,38,1,EXCHANGE_ONLY
br_038_2,38,2,EXCHANGE_ONLY
br_038_3,38,3,EXCHANGE_ONLY
br_039_0,39,0,EXCHANGE_ONLY
br_039_1,39,1,EXCHANGE_ONLY
br_039_2,39,2,EXCHANGE_ONLY
br_039_3,39,3,EXCHANGE_ONLY
br_039_4,39,4,EXCHANGE_ONLY
br_040_0,40,0,EXCHANGE_ONLY
br_040_1,40,1,EXCHANGE_ONLY
br_040_4,40,4,EXCHANGE_ONLY
br_041_0,41,0,EXCHANGE_ONLY
br_041_2,41,2,EXCHANGE_ONLY
br_042_0,42,0,EXCHANGE_ONLY
br_042_1,42,1,EXCHANGE_ONLY
br_042_3,42,3,EXCHANGE_ONLY
br_043_2,43,2,EXCHANGE_ONLY
br_043_3,43,3,EXCHANGE_ONLY
br_043_4,43,4,EXCHANGE_ONLY
br_044_0,44,0,EXCHANGE_ONLY
br_044_1,44,1,EXCHANGE_ONLY
br_044_2,44,2,EXCHANGE_ONLY
br_044_3,44,3,EXCHANGE_ONLY
br_044_4,44,4,EXCHANGE_ONLY
br_045_2,45,2,EXCHANGE_ONLY
br_045_4,45,4,EXCHANGE_ONLY
br_046_1,46,1,EXCHANGE_ONLY
br_046_2,46,2,EXCHANGE_ONLY
br_046_3,46,3,EXCHANGE_ONLY
br_047_0,47,0,EXCHANGE_ONLY
br_047_1,47,1,EXCHANGE_ONLY
br_047_3,47,3,EXCHANGE_ONLY
br_047_4,47,4,EXCHANGE_ONLY
br_048_0,48,0,EXCHANGE_ONLY
br_048_3,48,3,EXCHANGE_ONLY
br_049_0,49,0,EXCHANGE_ONLY
br_049_1,49,1,EXCHANGE_ONLY
br_049_3,49,3,EXCHANGE_ONLY
br_050_0,50,0,EXCHANGE_ONLY
br_050_3,50,3,EXCHANGE_ONLY
br_050_4,50,4,EXCHANGE_ONLY
br_051_1,51,1,EXCHANGE_ONLY
br_051_2,51,2,EXCHANGE_ONLY
br_051_3,51,3,EXCHANGE_ONLY
br_052_0,52,0,EXCHANGE_ONLY
br_052_1,52,1,EXCHANGE_ONLY
br_053_2,53,2,EXCHANGE_ONLY
