id1,id2,fixed_cost,variable_cost
1,2,50.0,1.0
1,3,3739.986631,74.799733
1,4,1563.649577,31.272992
1,5,2215.287792,44.305756
1,6,4274.049602,85.480992
1,7,4954.543369,99.090867
1,8,1134.680572,22.693611
1,9,2082.066281,41.641326
1,10,4368.352092,87.367042
1,11,3450.724562,69.014491
1,12,2159.861107,43.197222
1,13,2080.264406,41.605288
1,14,3538.714456,70.774289
1,15,5396.989902,107.939798
1,16,3981.833748,79.636675
1,17,1971.040334,39.420807
1,18,2587.469807,51.749396
1,19,1867.48494,37.349699
1,20,2327.015256,46.540305
1,21,4403.123891,88.062478
1,22,2419.194081,48.383882
1,23,3645.202326,72.904047
1,24,474.341649,9.486833
1,25,1472.243186,29.444864
1,26,1858.76303,37.175261
1,27,972.111105,19.442222
1,28,4847.164119,96.943282
1,29,2574.393132,51.487863
1,30,4031.438949,80.628779
1,31,364.005494,7.28011
1,32,4562.345888,91.246918
1,33,273.861279,5.477226
1,34,3129.696471,62.593929
1,35,2865.745976,57.31492
1,36,1790.949469,35.818989
1,37,2861.380786,57.227616
1,38,2673.013281,53.460266
1,39,2514.955268,50.299105
1,40,1662.828915,33.256578
1,41,1961.504525,39.23009
1,42,3436.931771,68.738635
1,43,1836.436767,36.728735
1,44,3524.911346,70.498227
1,45,2662.235902,53.244718
1,46,2890.501687,57.810034
1,47,1238.951169,24.779023
1,48,3571.414286,71.428286
1,49,353.553391,7.071068
1,50,3928.740256,78.574805
2,2,50.0,1.0
2,3,2663.64412,53.272882
2,4,2202.839077,44.056782
2,5,3688.156721,73.763134
2,6,1803.46888,36.069378
2,7,2640.549185,52.810984
2,8,2401.041441,48.020829
2,9,5032.643441,100.652869
2,10,1911.151485,38.22303
2,11,3463.379852,69.267597
2,12,2506.491572,50.129831
2,13,852.936105,17.058722
2,14,2309.220648,46.184413
2,15,3460.491295,69.209826
2,16,4407.380174,88.147603
2,17,1554.027027,31.080541
2,18,3500.357125,70.007142
2,19,2396.872963,47.937459
2,20,3189.435687,63.788714
2,21,3001.24974,60.024995
2,22,2126.617032,42.532341
2,23,3985.599077,79.711982
2,24,3523.137806,70.462756
2,25,2504.99501,50.0999
2,26,2831.077533,56.621551
2,27,1701.469953,34.029399
2,28,2983.70575,59.674115
2,29,2479.415254,49.588305
2,30,4065.402809,81.308056
2,31,4798.437246,95.968745
2,32,3533.411949,70.668239
2,33,1168.332145,23.366643
2,34,1961.504525,39.23009
2,35,1970.40605,39.408121
2,36,1650.0,33.0
2,37,2548.528987,50.97058
2,38,4037.945022,80.7589
2,39,2110.687092,42.213742
2,40,1844.586675,36.891733
2,41,1359.227722,27.184554
2,42,4157.82395,83.156479
2,43,254.950976,5.09902
2,44,2062.159063,41.243181
2,45,1566.843962,31.336879
2,46,4208.919101,84.178382
2,47,1027.131929,20.542639
2,48,3440.203482,68.80407
2,49,874.642784,17.492856
2,50,4527.968639,90.559373
3,3,50.0,1.0
3,4,2207.940217,44.158804
3,5,4584.212037,91.684241
3,6,4250.294107,85.005882
3,7,1181.101181,23.622024
3,8,2214.158983,44.28318
3,9,5188.930526,103.778611
