variant_id,checkpoint_id,budget_coefficient,rhs,sense_id
0,0,51484.0,48434.0,0
0,1,47352.0,43236.0,0
0,2,47256.0,42901.0,0
0,3,47039.0,42875.0,0
0,4,46856.0,42692.0,0
0,5,46454.0,42680.0,0
0,6,41809.0,38754.0,0
0,7,41809.0,38754.0,0
0,8,36173.0,32009.0,0
0,9,35123.0,32020.0,0
0,10,35042.0,30878.0,0
0,11,35042.0,30878.0,0
0,12,34705.0,31665.0,0
0,13,34594.0,31491.0,0
0,14,34427.0,31209.0,0
0,15,34010.0,30942.0,0
0,16,33754.0,30672.0,0
0,17,33621.0,30539.0,0
0,18,33332.0,30292.0,0
0,19,33312.0,30231.0,0
0,20,30899.0,27811.0,0
0,21,30558.0,27470.0,0
0,22,30461.0,27391.0,0
1,0,51484.0,48624.0,0
1,1,47352.0,42976.0,0
1,2,47256.0,42589.0,0
1,3,47039.0,42962.0,0
1,4,46856.0,42779.0,0
1,5,46454.0,41011.0,0
1,6,41809.0,38790.0,0
1,7,41809.0,38790.0,0
1,8,36173.0,32096.0,0
1,9,35123.0,31993.0,0
1,10,35042.0,30965.0,0
1,11,35042.0,30965.0,0
1,12,34705.0,31609.0,0
1,13,34594.0,31577.0,0
1,14,34427.0,31420.0,0
1,15,34010.0,30965.0,0
1,16,33754.0,30804.0,0
1,17,33621.0,30671.0,0
1,18,33332.0,30146.0,0
1,19,33312.0,30320.0,0
1,20,30899.0,27887.0,0
1,21,30558.0,27546.0,0
1,22,30461.0,27492.0,0
2,0,51484.0,48284.0,0
2,1,47352.0,44152.0,0
2,2,47256.0,44056.0,0
2,3,47039.0,43839.0,0
2,4,46856.0,43656.0,0
2,5,46454.0,43254.0,0
2,6,41809.0,38609.0,0
2,7,41809.0,38609.0,0
2,8,36173.0,32973.0,0
2,9,35123.0,31923.0,0
2,10,35042.0,31842.0,0
2,11,35042.0,31842.0,0
2,12,34705.0,31505.0,0
2,13,34594.0,31394.0,0
2,14,34427.0,31227.0,0
2,15,34010.0,30810.0,0
2,16,33754.0,30554.0,0
2,17,33621.0,30421.0,0
2,18,33332.0,30132.0,0
2,19,33312.0,30112.0,0
2,20,30899.0,27699.0,0
2,21,30558.0,27358.0,0
2,22,30461.0,27261.0,0
3,0,51484.0,46340.0,0
3,1,47352.0,38009.0,0
3,2,47256.0,36735.0,0
3,3,47039.0,31715.0,0
3,4,46856.0,28532.0,0
3,5,46454.0,36533.0,0
3,6,41809.0,36640.0,0
3,7,41809.0,36640.0,0
3,8,36173.0,20849.0,0
3,9,35123.0,28226.0,0
3,10,35042.0,22718.0,0
3,11,35042.0,22718.0,0
3,12,34705.0,28323.0,0
3,13,34594.0,27697.0,0
3,14,34427.0,28120.0,0
3,15,34010.0,25852.0,0
3,16,33754.0,28578.0,0
3,17,33621.0,28445.0,0
3,18,33332.0,25825.0,0
3,19,33312.0,26937.0,0
3,20,30899.0,22809.0,0
3,21,30558.0,25468.0,0
3,22,30461.0,25277.0,0
4,0,51484.0,44674.0,0
4,1,47352.0,36645.0,0
4,2,47256.0,35049.0,0
4,3,47039.0,36636.0,0
4,4,46856.0,34649.0,0
4,5,46454.0,34247.0,0
4,6,41809.0,36172.0,0
4,7,41809.0,36172.0,0
4,8,36173.0,24866.0,0
4,9,35123.0,27772.0,0
4,10,35042.0,26139.0,0
4,11,35042.0,26139.0,0
4,12,34705.0,27343.0,0
4,13,34594.0,25585.0,0
4,14,34427.0,27065.0,0
4,15,34010.0,26639.0,0
4,16,33754.0,26393.0,0
4,17,33621.0,25960.0,0
4,18,33332.0,26269.0,0
4,19,33312.0,25950.0,0
4,20,30899.0,21844.0,0
4,21,30558.0,22858.0,0
4,22,30461.0,21744.0,0
