variant_id,checkpoint_id,denominator,rhs,sense_id
0,0,220.0,220.0,1
0,1,179.0,179.0,1
0,2,180.0,180.0,1
0,3,187.0,187.0,1
0,4,188.0,188.0,1
0,5,184.0,184.0,1
0,6,160.0,160.0,1
0,7,160.0,160.0,1
0,8,130.0,130.0,1
0,9,135.0,135.0,1
0,10,139.0,139.0,1
0,11,139.0,139.0,1
0,12,140.0,140.0,1
0,13,135.0,135.0,1
0,14,134.0,134.0,1
0,15,123.0,123.0,1
0,16,121.0,121.0,1
0,17,126.0,126.0,1
0,18,117.0,117.0,1
0,19,120.0,120.0,1
0,20,115.0,115.0,1
0,21,116.0,116.0,1
0,22,115.0,115.0,1
1,0,220.0,220.0,1
1,1,180.0,180.0,1
1,2,179.0,179.0,1
1,3,180.0,180.0,1
1,4,183.0,183.0,1
1,5,180.0,180.0,1
1,6,161.0,161.0,1
1,7,161.0,161.0,1
1,8,140.0,140.0,1
1,9,120.0,120.0,1
1,10,140.0,140.0,1
1,11,140.0,140.0,1
1,12,118.0,118.0,1
1,13,120.0,120.0,1
1,14,114.0,114.0,1
1,15,120.0,120.0,1
1,16,121.0,121.0,1
1,17,120.0,120.0,1
1,18,115.0,115.0,1
1,19,120.0,120.0,1
1,20,110.0,110.0,1
1,21,100.0,100.0,1
1,22,97.0,97.0,1
2,0,90.0,90.0,1
2,1,84.0,84.0,1
2,2,80.0,80.0,1
2,3,60.0,60.0,1
2,4,72.0,72.0,1
2,5,84.0,84.0,1
2,6,80.0,80.0,1
2,7,80.0,80.0,1
2,8,60.0,60.0,1
2,9,55.0,55.0,1
2,10,46.0,46.0,1
2,11,46.0,46.0,1
2,12,56.0,56.0,1
2,13,53.0,53.0,1
2,14,57.0,57.0,1
2,15,55.0,55.0,1
2,16,58.0,58.0,1
2,17,54.0,54.0,1
2,18,51.0,51.0,1
2,19,44.0,44.0,1
2,20,48.0,48.0,1
2,21,47.0,47.0,1
2,22,43.0,43.0,1
3,0,78.0,78.0,1
3,1,66.0,66.0,1
3,2,66.0,66.0,1
3,3,54.0,54.0,1
3,4,46.0,46.0,1
3,5,60.0,60.0,1
3,6,60.0,60.0,1
3,7,60.0,60.0,1
3,8,30.0,30.0,1
3,9,47.0,47.0,1
3,10,36.0,36.0,1
3,11,36.0,36.0,1
3,12,43.0,43.0,1
3,13,34.0,34.0,1
3,14,43.0,43.0,1
3,15,39.0,39.0,1
3,16,46.0,46.0,1
3,17,48.0,48.0,1
3,18,42.0,42.0,1
3,19,33.0,33.0,1
3,20,36.0,36.0,1
3,21,42.0,42.0,1
3,22,36.0,36.0,1
4,0,5.0,5.0,1
4,1,10.0,10.0,1
4,2,12.0,12.0,1
4,3,12.0,12.0,1
4,4,14.0,14.0,1
4,5,12.0,12.0,1
4,6,5.0,5.0,1
4,7,5.0,5.0,1
4,8,10.0,10.0,1
4,9,7.0,7.0,1
4,10,7.0,7.0,1
4,11,7.0,7.0,1
4,12,7.0,7.0,1
4,13,7.0,7.0,1
4,14,6.0,6.0,1
4,15,7.0,7.0,1
4,16,8.0,8.0,1
4,17,7.0,7.0,1
4,18,5.0,5.0,1
4,19,5.0,5.0,1
4,20,4.0,4.0,1
4,21,4.0,4.0,1
4,22,4.0,4.0,1
