id,lab_value,lab_load,base_capacity
1,1185.0,1600.0,991.0
2,1017.0,1200.0,959.0
3,1215.0,1400.0,959.0
4,1030.0,1200.0,973.0
5,600.0,1000.0,951.0
6,1362.0,1600.0,965.0
7,830.0,1300.0,965.0
8,1574.0,1700.0,993.0
9,1510.0,1700.0,973.0
10,1078.0,1300.0,967.0
11,942.0,1100.0,993.0
12,1435.0,1800.0,985.0
13,670.0,1100.0,987.0
14,1489.0,1700.0,997.0
15,684.0,1100.0,995.0
16,917.0,1200.0,971.0
17,1203.0,1500.0,999.0
18,1195.0,1300.0,981.0
19,1401.0,1500.0,993.0
20,1075.0,1300.0,969.0
21,1275.0,1400.0,973.0
22,1192.0,1300.0,969.0
23,932.0,1200.0,961.0
24,1234.0,1600.0,953.0
25,1719.0,1800.0,993.0
26,1503.0,1700.0,975.0
27,1276.0,1600.0,979.0
28,1382.0,1800.0,991.0
29,1464.0,1700.0,979.0
30,1183.0,1400.0,981.0
31,1323.0,1400.0,975.0
32,1273.0,1500.0,989.0
33,982.0,1100.0,951.0
34,1022.0,1100.0,977.0
35,1352.0,1700.0,959.0
36,1238.0,1300.0,983.0
37,1001.0,1200.0,987.0
38,733.0,1200.0,997.0
39,1497.0,1800.0,983.0
40,1412.0,1500.0,991.0
41,1647.0,1700.0,999.0
42,1730.0,1800.0,993.0
43,1368.0,1400.0,995.0
44,1374.0,1700.0,953.0
45,1478.0,1600.0,959.0
46,892.0,1100.0,999.0
47,1285.0,1400.0,959.0
48,1226.0,1700.0,971.0
49,622.0,1100.0,995.0
50,1142.0,1200.0,971.0
51,971.0,1200.0,961.0
52,1374.0,1600.0,989.0
53,1158.0,1600.0,963.0
54,1334.0,1700.0,987.0
55,1471.0,1800.0,985.0
56,974.0,1300.0,951.0
57,1105.0,1300.0,983.0
58,931.0,1400.0,995.0
59,1070.0,1100.0,983.0
60,1424.0,1700.0,963.0
61,1093.0,1100.0,983.0
62,1336.0,1500.0,959.0
63,1120.0,1300.0,969.0
64,995.0,1300.0,991.0
65,991.0,1100.0,987.0
66,1466.0,1500.0,975.0
67,1195.0,1500.0,955.0
68,1047.0,1200.0,955.0
69,1563.0,1600.0,999.0
70,943.0,1200.0,985.0
71,1598.0,1600.0,975.0
72,1343.0,1400.0,979.0
73,1002.0,1100.0,983.0
74,1401.0,1700.0,955.0
75,1020.0,1300.0,959.0
