chassis_id,time_id,assignment_coefficient
40,0,38400.6003570557
41,1,38683.800201416
42,2,37358.3999633789
43,3,37358.3999633789
44,4,38683.800201416
45,5,37358.3999633789
46,6,37358.3999633789
47,7,37358.3999633789
48,8,37358.3999633789
49,9,38546.9145584106
50,10,37358.3999633789
51,11,37358.3999633789
52,12,37358.3999633789
53,13,37358.3999633789
54,14,37358.3999633789
55,15,38683.800201416
56,16,38400.6003570557
57,17,37358.3999633789
58,18,38546.9145584106
59,19,37358.3999633789
60,20,37358.3999633789
61,21,37358.3999633789
62,22,37358.3999633789
63,23,38400.6003570557
64,24,37358.3999633789
65,25,38400.6003570557
66,26,37358.3999633789
67,27,37358.3999633789
68,28,38400.6003570557
69,29,37358.3999633789
70,30,38546.9145584106
71,31,37358.3999633789
72,32,37358.3999633789
73,33,38400.6003570557
74,34,37358.3999633789
75,35,38400.6003570557
76,36,37358.3999633789
77,37,37358.3999633789
78,38,37358.3999633789
79,39,37358.3999633789
80,40,38400.6003570557
81,41,37358.3999633789
82,42,38400.6003570557
83,43,38400.6003570557
84,44,37358.3999633789
85,45,37358.3999633789
86,46,37358.3999633789
87,47,38400.6003570557
88,48,38400.6003570557
89,49,38400.6003570557
90,50,38400.6003570557
91,51,37358.3999633789
92,52,37358.3999633789
93,53,37358.3999633789
94,54,38400.6003570557
95,55,37358.3999633789
96,56,38400.6003570557
97,57,37358.3999633789
98,58,37358.3999633789
99,59,37358.3999633789
100,60,38482.2003936768
101,61,37358.3999633789
102,62,38400.6003570557
103,63,38400.6003570557
104,64,37358.3999633789
