rhs,order_id,chassis_alternative,time_from,time_to,fixed_choice_coefficient
-47550.0009155273,40,41,0,1,12449.9990844727
-46478.9151763916,40,42,0,2,13521.0848236084
-46478.9151763916,40,43,0,3,13521.0848236084
-47550.0009155273,40,44,0,4,12449.9990844727
-46478.9151763916,40,45,0,5,13521.0848236084
-46478.9151763916,40,46,0,6,13521.0848236084
-46478.9151763916,40,47,0,7,13521.0848236084
-46478.9151763916,40,48,0,8,13521.0848236084
-47917.1151351929,40,49,0,9,12082.8848648071
-46478.9151763916,40,50,0,10,13521.0848236084
-46478.9151763916,40,51,0,11,13521.0848236084
-46478.9151763916,40,52,0,12,13521.0848236084
-46478.9151763916,40,53,0,13,13521.0848236084
-46478.9151763916,40,54,0,14,13521.0848236084
-47550.0009155273,40,55,0,15,12449.9990844727
-48607.2006225586,40,56,0,16,11392.7993774414
-46478.9151763916,40,57,0,17,13521.0848236084
-47917.1151351929,40,58,0,18,12082.8848648071
-46478.9151763916,40,59,0,19,13521.0848236084
-46478.9151763916,40,60,0,20,13521.0848236084
-46478.9151763916,40,61,0,21,13521.0848236084
-46478.9151763916,40,62,0,22,13521.0848236084
-48607.2006225586,40,63,0,23,11392.7993774414
-46478.9151763916,40,64,0,24,13521.0848236084
-48607.2006225586,40,65,0,25,11392.7993774414
-46478.9151763916,40,66,0,26,13521.0848236084
-46478.9151763916,40,67,0,27,13521.0848236084
-48607.2006225586,40,68,0,28,11392.7993774414
-46478.9151763916,40,69,0,29,13521.0848236084
-47917.1151351929,40,70,0,30,12082.8848648071
-46478.9151763916,40,71,0,31,13521.0848236084
-46478.9151763916,40,72,0,32,13521.0848236084
-48607.2006225586,40,73,0,33,11392.7993774414
-46478.9151763916,40,74,0,34,13521.0848236084
-48607.2006225586,40,75,0,35,11392.7993774414
-46478.9151763916,40,76,0,36,13521.0848236084
-46478.9151763916,40,77,0,37,13521.0848236084
-46478.9151763916,40,78,0,38,13521.0848236084
-46478.9151763916,40,79,0,39,13521.0848236084
-48607.2006225586,40,80,0,40,11392.7993774414
-46478.9151763916,40,81,0,41,13521.0848236084
-48607.2006225586,40,82,0,42,11392.7993774414
-48607.2006225586,40,83,0,43,11392.7993774414
-46478.9151763916,40,84,0,44,13521.0848236084
-46478.9151763916,40,85,0,45,13521.0848236084
-46478.9151763916,40,86,0,46,13521.0848236084
-48607.2006225586,40,87,0,47,11392.7993774414
-48607.2006225586,40,88,0,48,11392.7993774414
-48607.2006225586,40,89,0,49,11392.7993774414
-48607.2006225586,40,90,0,50,11392.7993774414
-46478.9151763916,40,91,0,51,13521.0848236084
-46478.9151763916,40,92,0,52,13521.0848236084
-46478.9151763916,40,93,0,53,13521.0848236084
-48607.2006225586,40,94,0,54,11392.7993774414
-46478.9151763916,40,95,0,55,13521.0848236084
-48607.2006225586,40,96,0,56,11392.7993774414
-46478.9151763916,40,97,0,57,13521.0848236084
-46478.9151763916,40,98,0,58,13521.0848236084
-46478.9151763916,40,99,0,59,13521.0848236084
-48285.600643158,40,100,0,60,11714.399356842
-46478.9151763916,40,101,0,61,13521.0848236084
-48607.2006225586,40,102,0,62,11392.7993774414
-48607.2006225586,40,103,0,63,11392.7993774414
-46478.9151763916,40,104,0,64,13521.0848236084
-47377.7140045166,41,40,1,0,12622.2859954834
-46518.342590332,41,42,1,2,13481.657409668
-46518.342590332,41,43,1,3,13481.657409668
-47196.5140914917,41,44,1,4,12803.4859085083
-46518.342590332,41,45,1,5,13481.657409668
-46518.342590332,41,46,1,6,13481.657409668
-46518.342590332,41,47,1,7,13481.657409668
-46518.342590332,41,48,1,8,13481.657409668
-48031.1139678955,41,49,1,9,11968.8860321045
-46518.342590332,41,50,1,10,13481.657409668
-46518.342590332,41,51,1,11,13481.657409668
-46518.342590332,41,52,1,12,13481.657409668
-46518.342590332,41,53,1,13,13481.657409668
-46518.342590332,41,54,1,14,13481.657409668
-47196.5140914917,41,55,1,15,12803.4859085083
-47377.7140045166,41,56,1,16,12622.2859954834
-46518.342590332,41,57,1,17,13481.657409668
-48031.1139678955,41,58,1,18,11968.8860321045
-46518.342590332,41,59,1,19,13481.657409668
-46518.342590332,41,60,1,20,13481.657409668
-46518.342590332,41,61,1,21,13481.657409668
