team_id,researcher_id
0,21
0,65
0,81
1,24
1,27
1,62
1,80
2,1
2,24
2,48
3,15
3,24
3,50
3,76
4,10
4,60
4,61
4,76
5,7
5,29
5,75
6,34
6,48
6,61
6,79
7,2
7,6
7,39
7,86
8,8
8,15
8,36
8,85
9,37
9,53
9,74
10,43
10,84
11,57
11,67
12,10
12,22
12,67
12,88
13,42
13,64
13,87
14,3
14,8
14,11
14,46
15,45
15,48
16,9
16,33
16,35
16,52
17,3
17,7
17,40
18,6
18,9
18,28
18,83
19,0
19,38
19,73
20,34
20,82
21,4
21,27
21,50
21,56
22,1
22,68
23,40
23,82
24,2
24,18
24,19
24,76
25,3
25,26
25,29
25,54
26,41
26,45
27,37
27,42
27,43
27,61
28,70
28,72
28,81
29,60
29,71
29,72
29,85
30,8
30,65
31,14
31,65
32,26
32,47
32,71
33,4
33,29
33,74
34,17
34,28
34,34
35,18
35,32
35,35
35,64
36,31
36,51
36,56
37,47
37,49
37,55
37,57
38,18
38,28
38,37
38,77
39,20
39,25
39,34
40,13
40,16
40,51
40,72
41,13
41,15
42,12
42,20
42,38
42,84
43,16
43,59
44,31
44,81
45,23
45,49
46,7
46,32
46,35
46,70
47,24
47,49
48,13
48,20
48,46
48,59
49,10
49,24
49,71
50,60
50,75
51,58
51,66
51,85
52,70
52,74
53,78
53,86
54,4
54,5
54,30
54,31
55,15
55,52
55,63
56,18
56,69
57,5
57,10
57,43
57,53
58,17
58,30
58,39
58,44
59,17
59,34
59,51
