row,col,required_intensity
1,1,9
1,2,0
1,3,3
1,4,3
1,5,3
1,6,8
1,7,0
1,8,6
1,9,10
1,10,8
1,11,9
1,12,2
1,13,11
1,14,6
1,15,11
1,16,6
1,17,8
1,18,3
2,1,11
2,2,11
2,3,1
2,4,4
2,5,9
2,6,12
2,7,4
2,8,12
2,9,12
2,10,5
2,11,8
2,12,12
2,13,6
2,14,2
2,15,7
2,16,4
2,17,9
2,18,12
3,1,8
3,2,0
3,3,10
3,4,0
3,5,8
3,6,7
3,7,4
3,8,4
3,9,10
3,10,12
3,11,9
3,12,1
3,13,12
3,14,6
3,15,4
3,16,12
3,17,7
3,18,0
4,1,12
4,2,6
4,3,4
4,4,0
4,5,9
4,6,10
4,7,6
4,8,6
4,9,6
4,10,5
4,11,2
4,12,9
4,13,2
4,14,1
4,15,0
4,16,6
4,17,11
4,18,9
5,1,6
5,2,1
5,3,0
5,4,12
5,5,9
5,6,0
5,7,2
5,8,1
5,9,8
5,10,6
5,11,9
5,12,3
5,13,6
5,14,3
5,15,3
5,16,3
5,17,6
5,18,7
6,1,0
6,2,0
6,3,8
6,4,3
6,5,7
6,6,12
6,7,10
6,8,12
6,9,1
6,10,9
6,11,7
6,12,3
6,13,7
6,14,3
6,15,2
6,16,10
6,17,4
6,18,10
7,1,8
7,2,12
7,3,11
7,4,3
7,5,3
7,6,5
7,7,8
7,8,8
7,9,6
7,10,8
7,11,7
7,12,1
7,13,9
7,14,8
7,15,11
7,16,6
7,17,8
7,18,5
8,1,12
8,2,8
8,3,6
8,4,3
8,5,12
8,6,4
8,7,3
8,8,4
8,9,10
8,10,0
8,11,5
8,12,9
8,13,1
8,14,6
8,15,7
8,16,3
8,17,0
8,18,7
9,1,6
9,2,10
9,3,6
9,4,1
9,5,3
9,6,7
9,7,12
9,8,6
9,9,7
9,10,12
9,11,3
9,12,10
9,13,11
9,14,8
9,15,2
9,16,8
9,17,12
9,18,8
10,1,4
10,2,6
10,3,1
10,4,2
10,5,0
10,6,1
10,7,1
10,8,7
10,9,2
10,10,3
10,11,4
10,12,5
10,13,2
10,14,2
10,15,11
10,16,4
10,17,8
10,18,6
11,1,6
11,2,12
11,3,6
11,4,8
11,5,9
11,6,11
11,7,5
11,8,1
11,9,1
11,10,11
11,11,8
11,12,7
11,13,12
11,14,11
11,15,12
11,16,4
11,17,3
11,18,5
12,1,0
12,2,8
12,3,8
12,4,5
12,5,3
12,6,4
12,7,1
12,8,10
12,9,7
12,10,0
12,11,5
12,12,1
12,13,0
12,14,9
12,15,3
12,16,11
12,17,7
12,18,5
13,1,10
13,2,9
13,3,0
13,4,1
13,5,11
13,6,11
13,7,7
13,8,5
13,9,7
13,10,4
13,11,5
13,12,7
13,13,3
13,14,5
13,15,10
13,16,6
13,17,9
13,18,7
14,1,3
14,2,6
14,3,1
14,4,4
14,5,5
14,6,7
14,7,2
14,8,4
14,9,2
14,10,8
14,11,8
14,12,10
14,13,0
14,14,11
14,15,1
14,16,3
14,17,11
14,18,4
15,1,3
15,2,9
15,3,11
15,4,1
15,5,6
15,6,2
15,7,12
15,8,0
15,9,7
15,10,12
15,11,1
15,12,2
15,13,0
15,14,7
15,15,0
15,16,4
15,17,2
15,18,6
16,1,9
16,2,5
16,3,4
16,4,11
16,5,6
16,6,1
16,7,2
16,8,7
16,9,10
16,10,4
16,11,6
16,12,6
16,13,9
16,14,7
16,15,8
16,16,8
16,17,12
16,18,1
17,1,10
17,2,7
17,3,8
17,4,9
17,5,12
17,6,12
17,7,6
17,8,4
17,9,12
17,10,4
17,11,6
17,12,12
17,13,4
17,14,2
17,15,5
17,16,11
17,17,11
17,18,7
18,1,4
18,2,5
18,3,6
18,4,9
18,5,12
18,6,3
18,7,6
18,8,8
18,9,12
18,10,0
18,11,12
18,12,1
18,13,5
18,14,10
18,15,12
18,16,9
18,17,11
18,18,5
